#Steps,score
6000,18.6
12000,21.4
18000,23.6
24000,24.8
30000,18.4
36000,29.4
42000,29.2
48000,38.2
54000,46.4
60000,46.0
66000,47.0
72000,57.0
78000,60.8
84000,58.2
90000,47.8
96000,61.4
102000,62.6
108000,65.6
114000,61.2
120000,77.6
126000,61.8
132000,65.8
138000,70.6
144000,62.8
150000,70.4
156000,68.6
162000,76.0
168000,70.8
174000,76.8
180000,75.0
186000,76.2
192000,79.4
198000,75.4
204000,76.0
210000,73.4
216000,81.4
222000,83.0
228000,78.6
234000,78.6
240000,80.6
246000,87.4
252000,83.8
258000,83.2
264000,89.4
270000,87.0
276000,84.4
282000,92.8
288000,90.8
294000,89.8
300000,84.6
306000,92.2
312000,99.4
318000,99.2
324000,91.4
330000,94.6
336000,88.2
342000,97.2
348000,96.0
354000,92.2
360000,91.6
366000,97.6
372000,96.0
378000,96.2
384000,96.2
390000,98.8
396000,92.6
402000,102.0
408000,100.4
414000,97.4
420000,94.4
426000,97.4
432000,92.0
438000,95.8
444000,96.8
450000,97.4
456000,95.4
462000,101.6
468000,97.4
474000,101.6
480000,94.4
486000,100.6
492000,99.2
498000,102.8
504000,98.4
510000,97.0
516000,98.6
522000,94.2
528000,98.2
534000,100.0
540000,99.2
546000,93.8
552000,98.2
558000,97.4
564000,100.4
570000,92.4
576000,98.6
582000,95.4
588000,105.0
594000,96.0
600000,99.8
606000,100.4
612000,97.6
618000,97.2
624000,98.2
630000,99.4
636000,97.2
642000,98.8
648000,104.0
654000,98.4
660000,97.6
666000,99.4
672000,101.6
678000,100.0
684000,101.4
690000,100.0
696000,101.2
702000,97.8
708000,98.6
714000,103.6
720000,98.0
726000,94.8
732000,105.2
738000,103.4
744000,104.2
750000,97.2
756000,102.0
762000,99.2
768000,99.0
774000,99.4
780000,105.8
786000,99.0
792000,99.4
798000,96.8
804000,106.8
810000,105.6
816000,97.0
822000,104.2
828000,101.2
834000,105.0
840000,104.4
846000,100.6
852000,96.0
858000,95.8
864000,103.6
870000,104.0
876000,100.0
882000,100.0
888000,101.6
894000,100.2
900000,96.0
906000,103.2
912000,101.6
918000,99.4
924000,98.8
930000,101.8
936000,97.4
942000,98.2
948000,103.6
954000,102.8
960000,101.4
966000,103.2
972000,105.2
978000,106.2
984000,98.8
990000,103.4
996000,100.4
1002000,102.6
1008000,97.4
1014000,96.0
1020000,101.8
1026000,103.0
1032000,108.2
1038000,102.8
1044000,101.4
1050000,105.0
1056000,101.6
1062000,96.0
1068000,106.8
1074000,100.8
1080000,104.6
1086000,99.8
1092000,101.2
1098000,100.6
1104000,101.6
1110000,103.0
1116000,101.2
1122000,99.8
1128000,104.2
1134000,101.8
1140000,102.6
1146000,101.6
1152000,99.8
1158000,96.4
1164000,97.4
1170000,106.8
1176000,102.4
1182000,93.6
1188000,102.8
1194000,102.8
1200000,103.6
1206000,101.4
1212000,104.8
1218000,106.2
1224000,98.8
1230000,103.4
1236000,107.6
1242000,103.8
1248000,106.0
1254000,101.4
1260000,103.2
1266000,101.0
1272000,101.6
1278000,102.8
1284000,101.8
1290000,101.8
1296000,104.6
1302000,101.2
1308000,103.2
1314000,105.2
1320000,103.6
1326000,100.0
1332000,106.0
1338000,107.6
1344000,100.0
1350000,100.4
1356000,102.6
1362000,100.2
1368000,97.6
1374000,107.8
1380000,103.4
1386000,104.6
1392000,109.8
1398000,101.0
1404000,103.2
1410000,103.4
1416000,106.2
1422000,99.6
1428000,101.0
1434000,108.4
1440000,103.8
1446000,101.4
1452000,103.2
1458000,105.0
1464000,103.4
1470000,106.4
1476000,103.0
1482000,100.2
1488000,102.2
1494000,101.6
1500000,100.0
1506000,102.0
1512000,106.4
1518000,104.2
1524000,100.6
1530000,103.8
1536000,98.6
1542000,103.0
1548000,105.2
1554000,102.4
1560000,101.4
1566000,105.6
1572000,103.6
1578000,105.4
1584000,105.4
1590000,107.8
1596000,92.2
1602000,101.6
1608000,103.4
1614000,102.2
1620000,109.0
1626000,102.4
1632000,106.0
1638000,103.6
1644000,104.2
1650000,105.8
1656000,106.4
1662000,101.8
1668000,104.8
1674000,101.2
1680000,104.0
1686000,101.0
1692000,101.2
1698000,103.2
1704000,103.0
1710000,97.4
1716000,101.0
1722000,107.4
1728000,102.0
1734000,101.6
1740000,107.0
1746000,101.6
1752000,100.2
1758000,103.8
1764000,105.8
1770000,101.0
1776000,104.6
1782000,103.4
1788000,103.4
1794000,90.8
1800000,94.8
1806000,104.0
1812000,105.6
1818000,99.6
1824000,105.2
1830000,103.8
1836000,98.8
1842000,97.8
1848000,105.0
1854000,103.4
1860000,105.2
1866000,102.8
1872000,104.8
1878000,102.8
1884000,108.6
1890000,97.6
1896000,105.2
1902000,102.4
1908000,105.0
1914000,103.4
1920000,102.6
1926000,103.6
1932000,107.2
1938000,104.4
1944000,100.4
1950000,106.0
1956000,104.2
1962000,100.8
1968000,101.0
1974000,100.0
1980000,99.2
1986000,104.6
1992000,103.4
1998000,102.4
2004000,101.0
2010000,100.2
2016000,103.6
2022000,101.0
2028000,101.0
2034000,100.8
2040000,104.8
2046000,103.6
2052000,103.4
2058000,104.6
2064000,103.4
2070000,96.8
2076000,99.0
2082000,105.8
2088000,97.4
2094000,105.6
2100000,109.8
2106000,102.2
2112000,104.8
2118000,104.2
2124000,98.2
2130000,109.2
2136000,111.2
2142000,100.0
2148000,103.6
2154000,107.2
2160000,106.4
2166000,101.4
2172000,103.6
2178000,107.6
2184000,104.8
2190000,106.6
2196000,108.8
2202000,103.6
2208000,106.4
2214000,105.2
2220000,106.2
2226000,88.2
2232000,106.2
2238000,102.2
2244000,100.0
2250000,106.2
2256000,105.0
2262000,106.2
2268000,104.2
2274000,102.2
2280000,105.0
2286000,98.6
2292000,108.4
2298000,107.4
2304000,103.4
2310000,103.4
2316000,104.2
2322000,104.2
2328000,107.0
2334000,104.4
2340000,105.0
2346000,107.0
2352000,104.0
2358000,102.8
2364000,105.6
2370000,106.0
2376000,107.0
2382000,107.0
2388000,103.6
2394000,106.8
2400000,104.8
2406000,107.4
2412000,102.4
2418000,102.2
2424000,104.0
2430000,106.4
2436000,103.6
2442000,104.6
2448000,101.2
2454000,106.2
2460000,103.4
2466000,101.4
2472000,104.2
2478000,107.2
2484000,104.8
2490000,108.2
2496000,105.4
2502000,103.2
2508000,106.4
2514000,105.2
2520000,104.4
2526000,110.4
2532000,107.0
2538000,108.2
2544000,100.0
2550000,102.8
2556000,103.8
2562000,105.8
2568000,101.0
2574000,105.0
2580000,100.8
2586000,107.4
2592000,106.0
2598000,102.4
2604000,105.6
2610000,107.6
2616000,105.6
2622000,104.4
2628000,106.8
2634000,100.4
2640000,109.0
2646000,103.8
2652000,109.4
2658000,107.8
2664000,97.2
2670000,100.2
2676000,103.8
2682000,104.0
2688000,105.2
2694000,104.2
2700000,109.0
2706000,104.4
2712000,101.4
2718000,109.2
2724000,104.8
2730000,103.0
2736000,107.4
2742000,102.6
2748000,105.4
2754000,104.0
2760000,106.4
2766000,100.2
2772000,104.6
2778000,103.6
2784000,106.8
2790000,104.8
2796000,105.6
