#Steps,score
6000,20.4
12000,24.0
18000,25.2
24000,28.0
30000,27.6
36000,36.6
42000,37.8
48000,48.6
54000,45.4
60000,50.4
66000,57.4
72000,57.6
78000,58.2
84000,66.6
90000,65.8
96000,68.2
102000,65.8
108000,56.6
114000,56.4
120000,70.8
126000,71.8
132000,77.2
138000,75.6
144000,72.2
150000,77.8
156000,70.4
162000,77.4
168000,74.8
174000,80.4
180000,74.6
186000,83.2
192000,81.6
198000,75.6
204000,77.6
210000,79.2
216000,80.6
222000,80.6
228000,77.6
234000,83.0
240000,79.0
246000,81.6
252000,79.8
258000,81.2
264000,85.6
270000,87.0
276000,88.2
282000,86.6
288000,87.0
294000,90.6
300000,89.2
306000,97.2
312000,98.0
318000,92.8
324000,91.0
330000,92.6
336000,95.0
342000,90.4
348000,93.2
354000,90.6
360000,94.0
366000,99.2
372000,95.2
378000,93.8
384000,98.8
390000,94.4
396000,95.4
402000,95.8
408000,95.0
414000,99.0
420000,97.4
426000,97.4
432000,99.8
438000,99.0
444000,97.2
450000,102.6
456000,94.6
462000,99.8
468000,104.2
474000,90.8
480000,94.0
486000,97.6
492000,98.0
498000,97.6
504000,100.8
510000,97.6
516000,98.2
522000,101.0
528000,103.0
534000,105.6
540000,105.2
546000,98.0
552000,94.6
558000,94.0
564000,100.4
570000,100.2
576000,96.8
582000,101.8
588000,104.6
594000,98.6
600000,101.2
606000,97.2
612000,102.2
618000,105.2
624000,97.0
630000,104.0
636000,104.2
642000,101.4
648000,97.4
654000,103.0
660000,102.8
666000,96.6
672000,94.6
678000,97.6
684000,107.2
690000,99.6
696000,96.4
702000,101.6
708000,103.0
714000,100.4
720000,100.2
726000,99.0
732000,101.8
738000,100.6
744000,102.0
750000,97.8
756000,100.2
762000,102.6
768000,106.2
774000,98.6
780000,104.8
786000,104.0
792000,104.0
798000,99.6
804000,99.0
810000,105.0
816000,105.8
822000,99.6
828000,97.4
834000,100.2
840000,102.2
846000,103.2
852000,101.4
858000,94.4
864000,98.8
870000,103.6
876000,94.0
882000,102.4
888000,102.0
894000,102.6
900000,98.2
906000,103.4
912000,102.0
918000,96.2
924000,103.6
930000,103.4
936000,106.2
942000,103.6
948000,103.4
954000,105.4
960000,100.4
966000,102.6
972000,100.8
978000,100.6
984000,100.2
990000,101.2
996000,99.6
1002000,102.4
1008000,101.2
1014000,105.2
1020000,105.4
1026000,99.4
1032000,103.6
1038000,100.2
1044000,97.8
1050000,101.0
1056000,95.0
1062000,106.2
1068000,102.0
1074000,98.8
1080000,108.6
1086000,105.6
1092000,99.8
1098000,102.2
1104000,104.2
1110000,105.2
1116000,101.2
1122000,104.4
1128000,103.2
1134000,102.0
1140000,103.8
1146000,104.6
1152000,103.2
1158000,98.6
1164000,102.2
1170000,100.2
1176000,103.0
1182000,103.2
1188000,99.0
1194000,100.4
1200000,93.0
1206000,103.2
1212000,103.0
1218000,103.8
1224000,101.8
1230000,100.4
1236000,104.6
1242000,100.0
1248000,105.0
1254000,105.2
1260000,108.2
1266000,105.2
1272000,104.6
1278000,109.8
1284000,105.2
1290000,101.0
1296000,107.2
1302000,107.6
1308000,104.8
1314000,101.8
1320000,99.2
1326000,105.6
1332000,107.2
1338000,103.4
1344000,103.2
1350000,103.2
1356000,106.0
1362000,106.8
1368000,103.0
1374000,105.4
1380000,105.0
1386000,102.8
1392000,104.6
1398000,96.2
1404000,107.6
1410000,102.2
1416000,100.2
1422000,104.6
1428000,102.8
1434000,103.0
1440000,104.4
1446000,108.6
1452000,101.4
1458000,102.8
1464000,105.2
1470000,102.0
1476000,106.4
1482000,99.6
1488000,102.0
1494000,102.6
1500000,105.8
1506000,106.6
1512000,102.4
1518000,108.0
1524000,103.6
1530000,101.8
1536000,106.6
1542000,101.8
1548000,104.0
1554000,110.8
1560000,104.8
1566000,100.0
1572000,102.8
1578000,108.6
1584000,106.4
1590000,103.2
1596000,106.2
1602000,104.0
1608000,108.2
1614000,98.8
1620000,103.6
1626000,108.2
1632000,103.2
1638000,104.0
1644000,105.2
1650000,106.6
1656000,104.4
1662000,106.2
1668000,104.0
1674000,101.2
1680000,104.6
1686000,104.4
1692000,103.4
1698000,108.8
1704000,102.0
1710000,108.2
1716000,100.2
1722000,107.0
1728000,101.6
1734000,104.2
1740000,106.4
1746000,99.6
1752000,103.8
1758000,102.2
1764000,96.4
1770000,103.8
1776000,108.4
1782000,103.2
1788000,105.8
1794000,99.6
1800000,102.4
1806000,108.0
1812000,107.8
1818000,104.2
1824000,108.4
1830000,108.2
1836000,106.8
1842000,105.0
1848000,104.2
1854000,106.8
1860000,99.4
1866000,104.4
1872000,104.8
1878000,103.4
1884000,101.4
1890000,106.2
1896000,106.4
1902000,103.8
1908000,99.6
1914000,105.8
1920000,102.8
1926000,104.6
1932000,99.2
1938000,102.8
1944000,105.8
1950000,108.4
1956000,105.0
1962000,106.6
1968000,104.0
1974000,107.2
1980000,102.4
1986000,106.6
1992000,105.0
1998000,106.4
2004000,99.0
2010000,107.2
2016000,107.4
2022000,101.4
2028000,108.6
2034000,104.6
2040000,106.8
2046000,100.0
2052000,102.0
2058000,103.2
2064000,112.6
2070000,108.2
2076000,104.4
2082000,104.2
2088000,104.6
2094000,106.4
2100000,104.0
2106000,105.2
2112000,107.8
2118000,99.6
2124000,100.8
2130000,107.0
2136000,101.6
2142000,107.0
2148000,107.2
2154000,105.0
2160000,105.8
2166000,106.4
2172000,104.2
2178000,107.8
2184000,104.2
2190000,102.0
2196000,104.6
2202000,99.6
2208000,107.0
2214000,106.2
2220000,105.2
2226000,105.8
2232000,102.8
2238000,102.4
2244000,100.6
2250000,103.2
2256000,104.0
2262000,104.6
2268000,106.0
2274000,104.4
2280000,107.2
2286000,102.6
2292000,106.0
