#Steps,score
6000,18.8
12000,25.8
18000,30.4
24000,22.2
30000,35.8
36000,29.0
42000,33.2
48000,45.8
54000,46.4
60000,53.4
66000,50.8
72000,54.0
78000,51.6
84000,54.8
90000,57.4
96000,58.8
102000,63.2
108000,61.6
114000,63.4
120000,65.0
126000,63.8
132000,61.0
138000,63.2
144000,68.8
150000,70.6
156000,73.0
162000,66.6
168000,66.2
174000,69.4
180000,67.6
186000,70.6
192000,69.6
198000,74.6
204000,67.4
210000,73.4
216000,74.0
222000,75.6
228000,72.0
234000,74.2
240000,74.6
246000,78.0
252000,75.6
258000,78.8
264000,77.2
270000,83.4
276000,80.4
282000,84.4
288000,83.6
294000,81.2
300000,87.4
306000,83.6
312000,80.4
318000,88.4
324000,84.8
330000,87.2
336000,88.8
342000,89.0
348000,92.0
354000,89.4
360000,92.4
366000,88.0
372000,95.0
378000,91.4
384000,90.4
390000,95.2
396000,95.6
402000,89.8
408000,94.4
414000,92.0
420000,93.8
426000,92.8
432000,91.4
438000,96.4
444000,94.0
450000,97.8
456000,91.8
462000,95.4
468000,92.0
474000,97.8
480000,95.6
486000,96.8
492000,93.4
498000,96.6
504000,100.6
510000,98.8
516000,97.4
522000,101.4
528000,100.6
534000,95.0
540000,98.4
546000,92.2
552000,96.0
558000,98.2
564000,100.6
570000,97.2
576000,96.4
582000,94.2
588000,101.2
594000,97.6
600000,97.6
606000,99.0
612000,97.2
618000,100.6
624000,97.6
630000,91.0
636000,100.2
642000,97.8
648000,100.8
654000,94.8
660000,95.0
666000,100.8
672000,99.8
678000,101.4
684000,99.4
690000,97.6
696000,94.8
702000,94.2
708000,97.8
714000,100.4
720000,103.4
726000,101.2
732000,104.0
738000,99.0
744000,95.8
750000,99.0
756000,104.8
762000,101.0
768000,100.0
774000,101.6
780000,99.2
786000,99.8
792000,104.6
798000,101.2
804000,103.0
810000,100.8
816000,98.4
822000,100.8
828000,106.0
834000,101.8
840000,99.0
846000,104.6
852000,99.2
858000,101.8
864000,104.4
870000,101.8
876000,103.6
882000,94.0
888000,101.6
894000,100.4
900000,104.4
906000,101.6
912000,98.6
918000,102.8
924000,102.8
930000,97.8
936000,99.4
942000,103.6
948000,100.8
954000,106.0
960000,101.0
966000,103.6
972000,101.4
978000,100.6
984000,101.2
990000,97.6
996000,100.0
1002000,101.6
1008000,104.2
1014000,104.0
1020000,100.0
1026000,99.8
1032000,100.6
1038000,103.2
1044000,103.0
1050000,107.4
1056000,103.6
1062000,101.8
1068000,105.6
1074000,101.2
1080000,101.4
1086000,103.8
1092000,103.2
1098000,99.2
1104000,105.8
1110000,100.8
1116000,103.4
1122000,95.4
1128000,106.4
1134000,101.0
1140000,97.0
1146000,101.0
1152000,100.2
1158000,100.6
1164000,99.0
1170000,104.2
1176000,97.4
1182000,102.0
1188000,101.4
1194000,104.2
1200000,101.2
1206000,92.2
1212000,103.6
1218000,102.4
1224000,103.8
1230000,102.4
1236000,101.6
1242000,96.6
1248000,105.4
1254000,102.8
1260000,104.0
1266000,104.0
1272000,98.6
1278000,100.6
1284000,101.0
1290000,96.6
1296000,102.4
1302000,98.4
1308000,101.4
1314000,105.2
1320000,100.0
1326000,102.6
1332000,100.6
1338000,102.4
1344000,102.6
1350000,104.6
1356000,101.0
1362000,106.0
1368000,104.8
1374000,96.0
1380000,97.6
1386000,103.6
1392000,102.4
1398000,103.6
1404000,102.6
1410000,100.4
1416000,97.4
1422000,108.8
1428000,99.6
1434000,103.8
1440000,101.0
1446000,97.6
1452000,100.6
1458000,109.2
1464000,100.2
1470000,100.0
1476000,105.0
1482000,101.0
1488000,103.6
1494000,97.6
1500000,100.2
1506000,104.8
1512000,94.0
1518000,104.2
1524000,100.2
1530000,100.0
1536000,98.8
1542000,97.2
1548000,103.8
1554000,104.6
1560000,105.8
1566000,96.8
1572000,101.6
1578000,101.0
1584000,106.6
1590000,102.4
1596000,102.6
1602000,108.6
1608000,98.4
1614000,101.6
1620000,101.4
1626000,99.4
1632000,96.6
1638000,101.8
1644000,104.6
1650000,106.6
1656000,106.6
1662000,103.4
1668000,102.0
1674000,100.8
1680000,107.8
1686000,104.6
1692000,105.2
1698000,103.4
1704000,99.8
1710000,103.4
1716000,100.4
1722000,104.4
1728000,101.8
1734000,102.4
1740000,107.8
1746000,105.4
1752000,102.6
1758000,103.8
1764000,106.0
1770000,97.4
1776000,101.4
1782000,102.2
1788000,101.4
1794000,104.6
1800000,97.2
1806000,107.6
1812000,105.6
1818000,102.0
1824000,102.0
1830000,98.8
1836000,106.0
1842000,105.4
1848000,106.4
1854000,104.4
1860000,101.4
1866000,103.4
1872000,103.0
1878000,100.4
1884000,103.2
1890000,100.8
1896000,105.2
1902000,99.6
1908000,104.2
1914000,101.0
1920000,105.8
1926000,107.4
1932000,102.8
1938000,103.2
1944000,100.2
1950000,103.2
1956000,101.8
1962000,103.4
1968000,102.6
1974000,103.6
1980000,102.2
1986000,102.8
1992000,101.0
1998000,105.4
2004000,102.6
2010000,106.4
2016000,107.4
2022000,101.6
2028000,105.0
2034000,107.0
2040000,105.4
2046000,103.0
2052000,99.2
2058000,102.2
2064000,101.4
2070000,98.0
2076000,99.6
2082000,100.0
2088000,105.2
2094000,104.4
2100000,99.2
2106000,101.4
2112000,106.0
2118000,98.6
2124000,103.8
2130000,102.6
2136000,93.4
2142000,104.6
2148000,102.4
2154000,107.0
2160000,107.2
2166000,104.8
2172000,102.4
2178000,106.8
2184000,103.6
2190000,104.2
2196000,102.2
2202000,103.2
2208000,107.2
2214000,102.6
2220000,103.8
2226000,101.8
2232000,102.0
2238000,110.4
2244000,106.0
2250000,99.0
2256000,95.4
2262000,105.0
2268000,102.6
2274000,104.8
2280000,106.8
2286000,105.8
2292000,103.8
2298000,102.2
2304000,102.0
2310000,99.6
2316000,105.8
2322000,103.6
2328000,103.2
2334000,104.6
2340000,104.2
2346000,105.6
2352000,102.4
2358000,104.0
2364000,100.4
2370000,104.0
2376000,108.2
2382000,104.0
2388000,103.6
2394000,107.2
2400000,103.6
2406000,101.0
2412000,107.6
2418000,103.8
2424000,103.8
2430000,99.0
2436000,102.6
2442000,105.4
2448000,104.2
2454000,105.4
2460000,97.4
2466000,103.2
2472000,106.6
2478000,102.6
2484000,101.8
2490000,103.4
2496000,104.4
2502000,107.8
2508000,102.4
2514000,105.2
2520000,110.0
2526000,101.4
2532000,100.8
2538000,106.6
2544000,100.4
2550000,105.4
2556000,106.6
2562000,105.4
2568000,102.0
2574000,107.8
2580000,109.6
2586000,100.4
2592000,104.4
2598000,103.4
2604000,100.8
2610000,101.6
2616000,111.8
2622000,107.6
2628000,107.2
2634000,104.0
2640000,106.0
2646000,106.2
2652000,106.8
2658000,102.0
2664000,104.8
2670000,99.8
2676000,99.8
2682000,103.0
2688000,110.8
2694000,104.6
2700000,103.2
2706000,104.2
2712000,104.8
2718000,101.6
2724000,100.4
2730000,104.6
2736000,106.4
2742000,105.0
2748000,100.8
2754000,103.6
2760000,104.4
2766000,108.6
2772000,105.0
2778000,102.0
2784000,103.4
2790000,106.2
2796000,97.8
