#Steps,score
6000,20.4
12000,21.6
18000,21.2
24000,29.2
30000,23.6
36000,26.0
42000,28.4
48000,28.2
54000,35.0
60000,31.4
66000,30.6
72000,36.8
78000,40.6
84000,38.2
90000,34.0
96000,42.6
102000,36.0
108000,32.0
114000,38.0
120000,42.8
126000,40.0
132000,36.6
138000,48.2
144000,39.8
150000,46.2
156000,43.0
162000,45.0
168000,44.4
174000,36.8
180000,37.2
186000,40.4
192000,47.4
198000,42.8
204000,40.4
210000,39.4
216000,48.6
222000,44.4
228000,42.2
234000,44.6
240000,44.0
246000,44.2
252000,38.6
258000,41.2
264000,50.0
270000,44.6
276000,46.4
282000,45.4
288000,44.2
294000,42.6
300000,47.8
306000,41.2
312000,47.8
318000,41.2
324000,43.6
330000,44.8
336000,40.0
342000,49.6
348000,44.4
354000,49.2
360000,49.0
366000,50.2
372000,47.8
378000,47.8
384000,55.4
390000,54.4
396000,50.4
402000,50.2
408000,61.0
414000,51.4
420000,57.8
426000,56.4
432000,58.6
438000,57.4
444000,54.6
450000,63.2
456000,56.6
462000,59.8
468000,61.2
474000,61.8
480000,65.0
486000,63.6
492000,61.0
498000,59.4
504000,62.4
510000,61.6
516000,63.6
522000,63.4
528000,66.8
534000,65.8
540000,65.2
546000,72.4
552000,70.8
558000,64.0
564000,69.6
570000,65.4
576000,68.4
582000,67.4
588000,67.8
594000,68.2
600000,75.2
606000,68.6
612000,74.2
618000,67.0
624000,69.2
630000,71.0
636000,74.2
642000,72.2
648000,63.2
654000,70.2
660000,68.8
666000,69.4
672000,68.2
678000,66.6
684000,81.0
690000,70.6
696000,72.4
702000,73.4
708000,70.4
714000,77.2
720000,69.6
726000,69.2
732000,77.4
738000,73.0
744000,73.0
750000,73.0
756000,75.0
762000,69.8
768000,76.8
774000,74.0
780000,68.8
786000,74.6
792000,70.6
798000,73.4
804000,76.0
810000,77.0
816000,80.6
822000,76.8
828000,74.4
834000,75.2
840000,74.2
846000,76.0
852000,80.8
858000,72.4
864000,78.0
870000,80.0
876000,72.8
882000,77.6
888000,78.0
894000,72.6
900000,73.6
906000,78.6
912000,79.6
918000,74.6
924000,73.6
930000,75.2
936000,75.2
942000,76.6
948000,77.8
954000,76.6
960000,78.4
966000,77.2
972000,77.0
978000,80.2
984000,81.6
990000,75.8
996000,69.6
1002000,77.2
1008000,80.4
1014000,78.8
1020000,71.2
1026000,80.8
1032000,76.6
1038000,77.2
1044000,76.6
1050000,77.6
1056000,77.8
1062000,74.2
1068000,75.2
1074000,76.2
1080000,71.0
1086000,75.0
1092000,81.0
1098000,77.6
1104000,81.8
1110000,81.8
1116000,78.8
1122000,78.6
1128000,76.0
1134000,77.6
1140000,72.8
1146000,77.8
1152000,82.2
1158000,79.2
1164000,81.2
1170000,83.6
1176000,81.2
1182000,83.8
1188000,71.4
1194000,77.4
1200000,83.0
1206000,74.4
1212000,73.6
1218000,78.6
1224000,71.4
1230000,79.8
1236000,80.6
1242000,80.4
1248000,78.8
1254000,81.0
1260000,79.4
1266000,75.8
1272000,75.8
1278000,83.0
1284000,81.2
1290000,85.8
1296000,81.0
1302000,81.4
1308000,78.8
1314000,82.0
1320000,80.6
1326000,80.4
1332000,88.0
1338000,77.2
1344000,81.6
1350000,82.2
1356000,85.8
1362000,78.0
1368000,78.8
1374000,78.2
1380000,58.6
1386000,81.0
1392000,89.2
1398000,82.2
1404000,84.2
1410000,80.6
1416000,81.8
1422000,81.8
1428000,85.8
1434000,77.8
1440000,83.6
1446000,86.4
1452000,84.0
1458000,83.0
1464000,81.2
1470000,85.6
1476000,82.0
1482000,78.2
1488000,80.0
1494000,82.2
1500000,89.2
1506000,82.2
1512000,82.4
1518000,78.2
1524000,80.8
1530000,88.8
1536000,85.8
1542000,81.8
1548000,87.0
1554000,83.0
1560000,84.6
1566000,86.2
1572000,82.4
1578000,85.0
1584000,82.6
1590000,72.2
1596000,82.8
1602000,78.8
1608000,87.4
1614000,85.8
1620000,87.4
1626000,80.6
1632000,80.0
1638000,79.0
1644000,78.6
1650000,88.0
1656000,73.2
1662000,85.2
1668000,79.2
1674000,78.6
1680000,85.2
1686000,84.6
1692000,85.4
1698000,90.2
1704000,84.8
1710000,87.2
1716000,86.2
1722000,83.4
1728000,88.6
1734000,82.2
1740000,82.6
1746000,86.4
1752000,88.8
1758000,88.2
1764000,82.6
1770000,84.6
1776000,89.2
1782000,82.8
1788000,87.8
1794000,86.2
1800000,84.2
1806000,87.2
1812000,88.8
1818000,83.4
1824000,83.4
1830000,90.2
1836000,87.2
1842000,81.8
1848000,90.4
1854000,88.0
1860000,86.8
1866000,85.2
1872000,80.6
1878000,85.8
1884000,85.0
1890000,80.2
1896000,86.8
1902000,90.2
1908000,86.4
1914000,83.2
1920000,85.6
1926000,83.2
1932000,86.6
1938000,85.2
1944000,88.8
1950000,82.8
1956000,83.4
1962000,87.0
1968000,89.6
1974000,82.8
1980000,88.0
1986000,88.4
1992000,85.2
1998000,86.8
2004000,88.6
2010000,87.2
2016000,84.0
2022000,81.8
2028000,89.0
2034000,88.4
2040000,90.4
2046000,82.8
2052000,75.0
2058000,90.8
2064000,90.0
2070000,87.8
2076000,82.8
2082000,86.2
2088000,87.2
2094000,90.8
2100000,88.0
2106000,86.0
2112000,87.2
2118000,89.6
2124000,86.8
2130000,88.4
2136000,91.6
2142000,84.6
2148000,91.8
2154000,86.0
2160000,92.4
2166000,87.0
2172000,89.2
2178000,85.4
2184000,91.4
2190000,92.0
2196000,86.2
2202000,86.8
2208000,88.6
2214000,90.6
2220000,88.2
2226000,86.8
2232000,96.2
2238000,84.6
2244000,83.8
2250000,91.2
2256000,87.0
2262000,92.4
2268000,89.8
2274000,86.2
2280000,89.6
2286000,87.6
2292000,88.8
2298000,88.4
2304000,90.8
2310000,85.0
2316000,90.4
2322000,92.2
2328000,89.0
2334000,85.2
2340000,85.8
2346000,80.8
2352000,83.6
2358000,89.4
2364000,90.4
2370000,84.6
2376000,84.0
2382000,88.0
2388000,83.6
2394000,90.8
2400000,92.4
2406000,86.6
2412000,93.0
2418000,87.6
2424000,87.6
2430000,87.0
2436000,89.8
2442000,82.2
2448000,93.0
2454000,84.2
2460000,91.2
2466000,92.0
2472000,85.8
2478000,89.0
2484000,91.4
2490000,87.4
2496000,93.4
2502000,89.4
2508000,75.2
2514000,89.4
2520000,82.2
2526000,87.8
2532000,81.8
2538000,96.0
2544000,86.6
2550000,88.8
2556000,87.6
2562000,89.0
2568000,87.8
2574000,87.0
2580000,91.0
2586000,92.8
2592000,91.4
2598000,88.6
2604000,95.2
2610000,89.6
2616000,91.8
2622000,86.2
2628000,91.8
2634000,91.0
2640000,89.2
2646000,88.4
2652000,91.6
2658000,91.4
2664000,88.6
2670000,90.6
2676000,90.8
2682000,93.0
2688000,88.8
2694000,87.2
2700000,93.0
2706000,95.2
2712000,90.6
2718000,90.6
2724000,92.2
2730000,92.6
2736000,91.8
2742000,88.6
2748000,91.0
2754000,87.2
2760000,90.2
2766000,89.4
2772000,85.4
2778000,71.8
2784000,81.6
2790000,91.4
2796000,88.4
