#Steps,score
12000,31.2
24000,43.4
36000,45.8
48000,66.0
60000,59.0
72000,58.4
84000,63.8
96000,59.0
108000,65.8
120000,70.2
132000,72.2
144000,63.4
156000,62.6
168000,62.0
180000,61.2
192000,66.4
204000,69.0
216000,68.4
228000,73.8
240000,69.2
252000,77.8
264000,77.0
276000,66.6
288000,73.2
300000,68.6
312000,66.6
324000,73.4
336000,79.6
348000,77.0
360000,76.6
372000,77.4
384000,74.6
396000,79.8
408000,79.4
420000,78.6
432000,81.2
444000,81.2
456000,85.6
468000,87.2
480000,82.8
492000,79.8
504000,87.6
516000,82.0
528000,90.8
540000,92.8
552000,97.4
564000,97.0
576000,96.2
588000,101.2
600000,23.8
