#Steps,score
6000,23.8
12000,25.6
18000,27.2
24000,21.6
30000,28.4
36000,22.4
42000,27.2
48000,32.2
54000,22.2
60000,33.4
66000,47.0
72000,45.2
78000,60.2
84000,52.8
90000,58.8
96000,57.8
102000,55.6
108000,62.8
114000,59.4
120000,57.6
126000,59.2
132000,65.4
138000,59.2
144000,61.8
150000,60.0
156000,67.6
162000,68.2
168000,65.2
174000,68.8
180000,69.0
186000,72.0
192000,70.4
198000,67.2
204000,67.8
210000,69.6
216000,70.6
222000,68.4
228000,68.4
234000,71.6
240000,80.0
246000,73.6
252000,78.4
258000,80.0
264000,79.6
270000,76.2
276000,81.0
282000,77.4
288000,88.0
294000,84.4
300000,84.2
306000,94.4
312000,89.2
318000,88.6
324000,93.0
330000,91.0
336000,92.2
342000,91.0
348000,92.8
354000,90.2
360000,96.2
366000,95.0
372000,90.8
378000,92.2
384000,95.0
390000,95.0
396000,93.6
402000,97.8
408000,98.0
414000,91.2
420000,88.2
426000,93.2
432000,96.8
438000,95.8
444000,92.2
450000,95.6
456000,93.4
462000,95.4
468000,95.2
474000,94.4
480000,97.6
486000,93.8
492000,99.4
498000,94.0
504000,93.8
510000,97.4
516000,95.2
522000,99.0
528000,99.0
534000,98.0
540000,98.0
546000,95.2
552000,98.4
558000,95.4
564000,97.2
570000,92.8
576000,101.4
582000,97.2
588000,101.6
594000,99.2
600000,104.8
606000,98.0
612000,99.8
618000,98.0
624000,97.4
630000,103.0
636000,94.0
642000,94.2
648000,98.2
654000,97.2
660000,101.4
666000,102.8
672000,102.4
678000,96.2
684000,93.8
690000,103.2
696000,98.4
702000,100.2
708000,98.6
714000,101.6
720000,102.4
726000,95.0
732000,96.0
738000,97.2
744000,101.8
750000,100.4
756000,99.6
762000,98.4
768000,97.8
774000,97.0
780000,100.4
786000,100.8
792000,101.8
798000,102.2
804000,97.8
810000,98.2
816000,100.6
822000,101.6
828000,102.8
834000,95.8
840000,104.6
846000,99.4
852000,104.6
858000,99.0
864000,98.2
870000,100.8
876000,100.0
882000,96.2
888000,100.6
