#Steps,score
12000,0.0
24000,0.0
36000,5.0
48000,0.0
60000,0.0
72000,0.0
84000,0.0
96000,0.0
108000,0.0
120000,0.0
132000,0.0
144000,0.0
156000,5.0
168000,0.0
180000,0.0
192000,0.0
204000,0.0
216000,0.0
228000,1.0
240000,1.0
252000,5.0
264000,0.0
276000,5.0
288000,26.0
300000,0.0
312000,0.0
324000,0.0
336000,0.0
348000,0.0
360000,0.0
372000,0.0
384000,0.0
396000,0.0
408000,0.0
420000,0.0
432000,0.0
444000,0.0
456000,0.0
468000,0.0
480000,0.0
492000,0.0
504000,0.0
516000,0.0
528000,0.0
540000,0.0
552000,0.0
564000,0.0
576000,0.0
588000,0.0
600000,0.0
