#Steps,score
12000,20.0
24000,25.8
36000,37.6
48000,0.2
60000,0.4
72000,13.4
84000,27.6
96000,10.6
108000,12.0
120000,4.2
132000,25.2
144000,29.2
156000,25.2
168000,24.8
180000,21.6
192000,13.8
204000,14.0
216000,17.4
228000,36.8
240000,27.0
252000,4.2
264000,7.2
276000,18.2
288000,2.2
300000,16.0
312000,15.6
324000,4.2
336000,29.8
348000,9.2
360000,23.0
372000,7.2
384000,0.0
396000,6.8
408000,27.6
420000,16.2
432000,23.4
444000,9.0
456000,17.6
468000,14.2
480000,18.6
492000,13.6
504000,28.8
516000,20.2
528000,18.0
540000,22.4
552000,6.4
564000,15.0
576000,11.6
588000,13.4
600000,23.6
