#Steps,score
6000,44.6
12000,50.2
18000,41.6
24000,48.8
30000,49.8
36000,51.2
42000,34.2
48000,34.6
54000,41.6
60000,36.2
66000,41.2
72000,48.6
78000,30.0
84000,45.4
90000,29.4
96000,47.6
102000,57.6
108000,47.6
114000,38.2
120000,49.8
126000,46.4
132000,61.0
138000,47.8
144000,77.6
150000,52.6
156000,43.4
162000,47.6
168000,66.6
174000,49.6
180000,52.6
186000,52.2
192000,40.6
198000,37.0
204000,43.4
210000,27.0
216000,47.8
222000,60.8
228000,44.4
234000,46.2
240000,43.8
246000,50.0
252000,37.4
258000,49.0
264000,62.2
270000,58.8
276000,48.8
282000,38.2
288000,52.6
294000,75.2
300000,40.2
306000,49.6
312000,43.4
318000,59.8
324000,58.6
330000,40.2
336000,27.0
342000,39.6
348000,48.8
354000,57.8
360000,54.2
366000,39.2
372000,43.4
378000,55.2
384000,35.2
390000,50.6
396000,41.8
402000,45.4
408000,44.6
414000,47.4
420000,34.2
426000,61.0
432000,46.4
438000,51.6
444000,52.4
450000,51.0
456000,49.4
462000,30.2
468000,43.4
474000,50.4
480000,52.8
486000,59.8
492000,58.8
498000,48.6
504000,46.6
510000,56.0
516000,48.6
522000,43.4
528000,42.2
534000,44.4
540000,53.6
546000,46.4
552000,41.4
558000,56.0
564000,38.2
570000,38.2
576000,43.4
582000,39.2
588000,65.4
594000,48.6
600000,48.6
606000,45.6
612000,47.2
618000,58.0
624000,43.4
630000,41.8
636000,55.6
642000,43.4
648000,51.6
654000,33.2
660000,58.0
666000,50.2
672000,53.6
678000,57.8
684000,41.4
690000,45.4
696000,60.0
702000,60.6
708000,67.2
714000,41.4
720000,54.8
726000,59.0
732000,57.6
738000,60.6
744000,36.8
750000,36.4
756000,37.2
762000,29.0
768000,58.2
774000,51.6
780000,38.2
786000,51.6
792000,59.0
798000,37.2
804000,41.4
810000,64.8
816000,41.4
822000,47.6
828000,46.4
834000,41.2
840000,54.6
846000,55.6
852000,61.8
858000,40.4
864000,57.8
870000,59.0
876000,57.8
882000,50.6
888000,63.8
894000,54.8
900000,50.6
906000,36.4
912000,31.0
918000,50.0
924000,35.6
930000,46.4
936000,68.0
942000,60.0
948000,41.4
954000,42.4
960000,46.2
966000,54.8
972000,63.8
978000,66.6
984000,44.0
990000,44.0
996000,0.0
1002000,0.0
1008000,0.0
1014000,0.0
1020000,0.0
1026000,0.0
1032000,0.0
1038000,0.0
1044000,0.0
1050000,0.0
1056000,0.0
1062000,0.0
1068000,0.0
1074000,0.0
1080000,0.0
1086000,0.0
1092000,0.0
1098000,0.0
1104000,0.0
1110000,0.0
1116000,0.0
1122000,0.0
1128000,0.0
1134000,0.0
1140000,0.0
1146000,0.0
1152000,0.0
1158000,0.0
1164000,0.0
1170000,0.0
1176000,0.0
1182000,0.0
1188000,0.0
1194000,0.0
1200000,0.0
1206000,0.0
1212000,0.0
1218000,0.0
1224000,0.0
1230000,0.0
1236000,0.0
1242000,0.0
1248000,0.0
1254000,59.8
1260000,48.6
1266000,41.6
1272000,48.6
1278000,52.8
1284000,45.4
1290000,43.6
1296000,42.4
1302000,47.6
1308000,49.4
1314000,57.8
1320000,68.0
1326000,44.4
1332000,53.4
1338000,35.2
1344000,54.6
1350000,55.4
1356000,75.0
1362000,56.8
1368000,61.8
1374000,28.0
1380000,57.8
1386000,75.4
1392000,38.2
1398000,44.4
1404000,65.4
1410000,51.6
1416000,50.6
1422000,63.8
1428000,46.4
1434000,55.8
1440000,46.4
1446000,43.8
1452000,45.4
1458000,60.8
1464000,53.4
1470000,45.4
1476000,61.8
1482000,41.4
1488000,43.4
1494000,45.4
1500000,48.6
1506000,46.4
1512000,40.0
1518000,39.6
1524000,43.8
1530000,43.4
1536000,52.0
1542000,35.2
1548000,40.6
1554000,43.6
1560000,67.6
1566000,51.6
1572000,59.8
1578000,55.6
1584000,44.2
1590000,53.8
1596000,67.0
1602000,59.8
1608000,56.8
1614000,53.6
1620000,60.8
1626000,64.8
1632000,51.6
1638000,57.8
1644000,42.4
1650000,74.2
1656000,70.0
1662000,57.0
1668000,50.6
1674000,43.6
1680000,50.4
1686000,50.6
1692000,27.0
1698000,63.0
1704000,66.2
1710000,44.4
1716000,62.0
1722000,47.6
1728000,47.0
1734000,58.8
1740000,48.4
1746000,31.0
1752000,50.6
1758000,49.6
1764000,54.8
1770000,64.8
1776000,44.4
1782000,63.2
1788000,67.0
1794000,71.2
1800000,61.0
1806000,45.4
1812000,49.2
1818000,36.2
1824000,51.6
1830000,36.2
1836000,63.4
1842000,46.4
1848000,62.0
1854000,62.8
1860000,49.6
1866000,59.8
1872000,44.4
1878000,47.4
1884000,52.4
1890000,62.8
1896000,62.0
1902000,56.0
1908000,41.0
1914000,42.4
1920000,67.0
1926000,55.4
1932000,60.0
1938000,62.8
1944000,49.2
1950000,55.8
1956000,70.2
1962000,46.8
1968000,45.4
1974000,48.4
1980000,74.0
1986000,58.6
1992000,44.4
1998000,44.4
2004000,57.0
2010000,46.4
2016000,0.0
2022000,0.0
2028000,0.0
2034000,0.0
2040000,0.0
2046000,0.0
2052000,0.0
2058000,0.0
2064000,0.0
2070000,0.0
2076000,0.0
2082000,0.0
2088000,0.0
2094000,0.0
2100000,0.0
2106000,0.0
2112000,0.0
2118000,0.0
2124000,0.0
2130000,0.0
2136000,0.0
2142000,0.0
2148000,0.0
2154000,0.0
