#Steps,score
6000,33.8
12000,31.0
18000,40.2
24000,39.4
30000,42.4
36000,30.0
42000,52.6
48000,43.4
54000,37.2
60000,36.8
66000,34.4
72000,50.0
78000,27.0
84000,46.8
90000,28.4
96000,32.2
102000,36.2
108000,34.0
114000,42.2
120000,54.6
126000,31.2
132000,32.4
138000,52.6
144000,39.2
150000,42.4
156000,33.4
162000,35.4
168000,51.8
174000,33.4
180000,28.4
186000,56.8
192000,28.2
198000,35.4
204000,34.2
210000,36.2
216000,34.2
222000,34.2
228000,27.2
234000,39.4
240000,42.4
246000,41.4
252000,37.8
258000,23.0
264000,35.2
270000,33.2
276000,43.8
282000,38.2
288000,31.2
294000,38.8
300000,58.6
306000,31.2
312000,44.4
318000,46.0
324000,25.0
330000,23.8
336000,26.4
342000,29.2
348000,33.2
354000,26.2
360000,35.4
366000,36.4
372000,36.6
378000,23.0
384000,32.2
390000,32.2
396000,45.4
402000,58.8
408000,31.2
414000,28.2
420000,21.8
426000,32.2
432000,29.2
438000,36.6
444000,21.0
450000,40.4
456000,24.0
462000,29.2
468000,26.0
474000,56.0
480000,38.4
486000,30.2
492000,23.0
498000,25.4
504000,31.4
510000,31.0
516000,34.2
522000,28.0
528000,40.4
534000,35.4
540000,26.0
546000,32.6
552000,45.2
558000,30.4
564000,34.0
570000,34.2
576000,43.4
582000,34.6
588000,23.4
594000,40.4
600000,34.2
606000,57.0
612000,43.8
618000,28.0
624000,36.2
630000,39.4
636000,32.8
642000,34.2
648000,32.4
654000,30.8
660000,26.4
666000,33.2
672000,31.2
678000,33.2
684000,35.2
690000,42.8
696000,36.8
702000,45.6
708000,26.0
714000,28.6
720000,29.0
726000,28.2
732000,29.4
738000,29.4
744000,35.4
750000,28.0
756000,33.2
762000,34.4
768000,33.2
774000,40.4
780000,34.4
786000,31.4
792000,26.6
798000,28.0
804000,29.2
810000,32.2
816000,50.6
822000,47.8
828000,42.4
834000,28.0
840000,28.2
846000,39.4
852000,24.0
858000,40.4
864000,35.2
870000,38.0
876000,34.4
882000,25.0
888000,26.2
894000,36.4
900000,40.2
906000,35.4
912000,38.2
918000,30.6
924000,35.4
930000,28.0
936000,31.2
942000,34.6
948000,33.2
954000,46.4
960000,28.0
966000,49.4
972000,25.0
978000,44.4
984000,34.2
990000,27.2
996000,43.4
1002000,45.4
1008000,35.2
1014000,23.6
1020000,25.0
1026000,38.4
1032000,34.2
1038000,41.0
1044000,34.2
1050000,39.6
1056000,29.0
1062000,35.4
1068000,41.2
1074000,39.8
1080000,40.0
1086000,25.0
1092000,41.8
1098000,44.0
1104000,32.0
1110000,40.8
1116000,48.4
1122000,46.6
1128000,24.2
1134000,29.0
1140000,43.4
1146000,29.2
1152000,53.6
1158000,32.4
1164000,48.2
1170000,35.2
1176000,41.4
1182000,31.0
1188000,42.6
1194000,39.2
1200000,34.2
1206000,35.8
1212000,58.8
1218000,44.6
1224000,60.0
1230000,42.0
1236000,33.2
1242000,43.4
1248000,37.6
1254000,30.2
1260000,38.2
1266000,37.2
1272000,28.4
1278000,35.2
1284000,32.2
1290000,45.6
1296000,40.4
1302000,34.2
1308000,41.6
1314000,42.4
1320000,52.6
1326000,27.8
1332000,37.2
1338000,33.2
1344000,55.2
1350000,28.0
1356000,34.2
1362000,35.2
1368000,26.2
1374000,37.2
1380000,47.8
1386000,38.4
1392000,36.2
1398000,38.6
1404000,55.8
1410000,33.4
1416000,34.4
1422000,54.0
1428000,38.4
1434000,25.0
1440000,45.4
1446000,37.4
1452000,34.2
1458000,32.2
1464000,27.0
1470000,50.4
1476000,38.2
1482000,41.0
1488000,53.6
1494000,30.0
1500000,59.0
1506000,43.8
1512000,41.4
1518000,49.8
1524000,23.0
1530000,37.8
1536000,32.2
1542000,39.4
1548000,40.6
1554000,39.6
1560000,36.4
1566000,27.2
1572000,39.4
1578000,54.8
1584000,29.6
1590000,54.6
1596000,34.6
1602000,39.8
1608000,53.6
1614000,48.4
1620000,30.2
1626000,41.6
1632000,53.6
1638000,37.2
1644000,41.4
1650000,42.4
1656000,44.6
1662000,33.8
1668000,34.8
1674000,39.8
1680000,40.4
1686000,27.0
1692000,48.6
1698000,45.8
1704000,40.2
1710000,49.6
1716000,46.4
1722000,41.2
1728000,26.0
1734000,37.2
1740000,37.4
1746000,30.2
1752000,49.6
1758000,29.8
1764000,58.6
1770000,30.0
1776000,32.2
1782000,55.6
1788000,46.6
1794000,47.2
1800000,36.4
1806000,51.0
1812000,37.8
1818000,31.2
1824000,28.0
1830000,60.2
1836000,35.2
1842000,28.8
1848000,40.6
1854000,49.6
1860000,37.2
1866000,40.6
1872000,46.4
1878000,31.0
1884000,39.4
1890000,25.0
1896000,32.0
1902000,41.2
1908000,44.4
1914000,36.6
1920000,46.6
1926000,28.0
1932000,37.2
1938000,45.4
1944000,57.8
1950000,52.8
1956000,44.0
1962000,30.0
1968000,52.0
1974000,51.0
1980000,47.4
1986000,38.2
1992000,30.6
1998000,36.4
2004000,35.2
2010000,46.6
2016000,29.0
2022000,36.2
2028000,35.6
2034000,37.2
2040000,45.4
2046000,45.6
2052000,43.4
2058000,42.4
2064000,38.2
2070000,42.4
2076000,31.0
2082000,37.2
2088000,28.0
2094000,30.6
2100000,39.4
2106000,34.2
2112000,52.4
2118000,34.2
2124000,29.0
2130000,42.0
2136000,53.8
2142000,27.0
2148000,44.2
2154000,60.4
2160000,47.8
2166000,31.6
2172000,27.0
2178000,43.4
2184000,46.4
2190000,50.8
2196000,43.2
2202000,28.0
2208000,29.0
2214000,38.2
2220000,41.8
2226000,44.6
2232000,36.2
2238000,53.6
2244000,36.2
2250000,57.8
2256000,53.0
2262000,57.8
2268000,37.6
2274000,35.2
2280000,34.2
2286000,38.2
2292000,39.4
2298000,30.0
2304000,42.2
2310000,39.0
2316000,37.2
2322000,43.4
2328000,25.0
2334000,46.4
2340000,49.8
2346000,46.4
2352000,28.4
2358000,32.6
2364000,42.4
2370000,36.2
2376000,46.6
2382000,43.4
2388000,33.6
2394000,42.2
2400000,35.6
2406000,30.8
2412000,29.8
2418000,35.2
2424000,44.4
2430000,46.6
2436000,41.0
2442000,50.0
2448000,35.2
2454000,44.4
2460000,35.2
2466000,41.8
