#Steps,score
12000,45.0
24000,42.4
36000,35.2
48000,42.4
60000,61.8
72000,66.0
84000,56.8
96000,49.8
108000,44.6
120000,53.6
132000,51.6
144000,62.8
156000,54.8
168000,47.6
180000,54.2
192000,60.8
204000,51.6
216000,50.8
228000,64.2
240000,46.4
252000,46.4
264000,58.8
276000,59.6
288000,45.6
300000,59.8
312000,46.6
324000,41.0
336000,44.4
348000,51.6
360000,44.6
372000,61.4
384000,59.2
396000,59.6
408000,48.4
420000,45.2
432000,29.2
444000,48.2
456000,31.4
468000,57.0
480000,37.8
492000,48.8
504000,53.2
516000,46.8
528000,63.4
540000,45.8
552000,52.0
564000,41.4
576000,57.8
588000,54.2
