#Steps,score
6000,49.0
12000,35.0
18000,34.2
24000,36.8
30000,44.6
36000,50.4
42000,40.6
48000,43.6
54000,33.6
60000,44.2
66000,30.0
72000,40.4
78000,39.2
84000,36.4
90000,46.2
96000,43.4
102000,54.0
108000,35.2
114000,38.2
120000,49.6
126000,40.4
132000,48.2
138000,50.8
144000,42.2
150000,62.8
156000,39.4
162000,68.4
168000,44.4
174000,37.2
180000,53.6
186000,61.2
192000,44.4
198000,36.4
204000,55.8
210000,52.0
216000,50.6
222000,48.4
228000,59.6
234000,42.4
240000,60.0
246000,58.0
252000,34.2
258000,37.6
264000,34.2
270000,28.0
276000,63.4
282000,33.6
288000,36.2
294000,47.4
300000,54.6
306000,59.8
312000,50.4
318000,35.2
324000,46.4
330000,57.6
336000,51.8
342000,63.6
348000,54.6
354000,45.6
360000,49.4
366000,48.0
372000,45.4
378000,56.8
384000,34.6
390000,47.8
396000,46.4
402000,62.8
408000,39.6
414000,48.4
420000,64.0
426000,57.0
432000,57.8
438000,27.0
444000,54.8
450000,32.0
456000,53.2
462000,49.6
468000,29.0
474000,26.0
480000,35.0
486000,34.4
492000,45.4
498000,28.2
504000,35.2
510000,42.4
516000,30.0
522000,36.2
528000,42.6
534000,34.2
540000,33.2
546000,50.6
552000,35.2
558000,28.8
564000,33.2
570000,27.0
576000,43.4
582000,35.2
588000,49.6
594000,50.0
600000,34.2
606000,43.6
612000,39.2
618000,30.2
624000,38.2
630000,35.4
636000,37.2
642000,35.2
648000,55.2
654000,34.2
660000,41.4
666000,45.4
672000,36.2
678000,44.4
684000,47.2
690000,26.0
696000,30.0
702000,35.2
708000,32.0
714000,57.8
720000,55.0
726000,36.2
732000,42.8
738000,39.2
744000,29.0
750000,43.4
756000,25.2
762000,41.0
768000,34.0
774000,34.2
780000,45.8
786000,45.8
792000,34.2
798000,51.4
804000,41.4
810000,48.8
816000,44.4
822000,40.2
828000,45.4
834000,46.8
840000,47.0
846000,42.4
852000,30.0
858000,38.2
864000,43.6
870000,34.4
876000,38.2
882000,60.2
888000,49.4
894000,57.4
900000,47.2
906000,34.2
912000,46.4
918000,28.0
924000,42.8
930000,45.4
936000,29.0
942000,37.4
948000,35.4
954000,38.6
960000,47.6
966000,38.2
972000,33.2
978000,40.6
984000,37.0
990000,31.0
996000,53.8
1002000,50.0
1008000,49.6
1014000,28.0
1020000,39.2
1026000,42.8
1032000,41.4
1038000,44.2
1044000,38.8
1050000,42.0
1056000,49.4
1062000,46.4
1068000,45.4
1074000,29.0
1080000,48.6
1086000,29.6
1092000,43.2
1098000,42.4
1104000,44.4
1110000,36.8
1116000,59.0
1122000,32.2
1128000,36.2
1134000,33.2
1140000,38.8
1146000,30.0
1152000,36.4
1158000,36.6
1164000,42.4
1170000,42.4
1176000,34.2
1182000,38.4
1188000,42.6
1194000,30.0
1200000,39.2
1206000,37.4
1212000,43.4
1218000,31.2
1224000,28.0
1230000,28.0
1236000,27.0
1242000,43.4
1248000,45.2
1254000,48.6
1260000,44.4
1266000,45.4
1272000,38.8
1278000,48.6
1284000,55.6
1290000,36.2
1296000,25.0
1302000,42.4
1308000,39.4
1314000,39.6
1320000,42.4
1326000,41.4
1332000,51.6
1338000,37.2
1344000,37.6
1350000,46.6
1356000,29.0
1362000,38.2
1368000,34.2
1374000,38.2
1380000,55.6
1386000,38.2
1392000,57.8
1398000,48.6
1404000,37.2
1410000,46.0
1416000,41.0
1422000,49.6
1428000,29.0
1434000,44.2
1440000,39.4
1446000,38.8
1452000,35.2
1458000,33.4
1464000,37.8
1470000,47.8
1476000,27.0
1482000,49.4
1488000,52.6
1494000,39.8
1500000,35.2
1506000,35.8
1512000,31.2
1518000,33.2
1524000,45.4
1530000,53.6
1536000,36.6
1542000,33.6
1548000,40.0
1554000,39.4
1560000,26.0
1566000,51.4
1572000,36.8
1578000,40.8
1584000,45.4
1590000,36.2
1596000,41.4
1602000,45.4
1608000,45.4
1614000,38.2
1620000,42.4
1626000,46.0
1632000,34.2
1638000,53.0
1644000,51.6
1650000,43.4
1656000,27.0
1662000,37.0
1668000,63.2
1674000,42.4
1680000,44.2
1686000,58.2
1692000,52.8
1698000,42.4
1704000,41.4
1710000,39.4
1716000,53.6
1722000,44.4
1728000,36.0
1734000,49.6
1740000,39.2
1746000,38.2
1752000,41.4
1758000,58.2
1764000,42.8
1770000,51.6
1776000,34.6
1782000,45.6
1788000,40.4
1794000,30.4
1800000,55.2
1806000,41.4
1812000,38.2
1818000,49.4
1824000,44.4
1830000,46.8
1836000,53.6
1842000,39.2
1848000,37.2
1854000,42.8
1860000,39.4
1866000,58.8
1872000,41.8
1878000,35.4
1884000,44.4
1890000,52.8
1896000,47.4
1902000,41.4
1908000,39.2
1914000,36.2
1920000,45.6
1926000,52.8
1932000,65.8
1938000,42.6
1944000,48.8
1950000,38.2
1956000,48.6
1962000,37.6
1968000,39.2
1974000,47.0
1980000,51.6
1986000,49.8
1992000,26.4
1998000,34.0
2004000,39.2
2010000,43.4
2016000,57.2
2022000,25.0
2028000,37.2
2034000,43.2
2040000,47.4
2046000,59.2
2052000,38.2
2058000,33.2
2064000,47.2
2070000,53.8
2076000,35.4
2082000,59.8
2088000,46.2
2094000,44.6
2100000,42.4
2106000,51.6
2112000,32.2
2118000,33.4
2124000,51.8
2130000,34.2
2136000,47.6
2142000,38.6
2148000,36.2
2154000,52.8
2160000,61.8
2166000,58.6
2172000,60.4
2178000,42.4
2184000,39.6
2190000,35.2
2196000,49.4
2202000,37.4
2208000,45.2
2214000,36.2
2220000,43.0
