#Steps,score
6000,30.4
12000,30.0
18000,27.6
24000,36.6
30000,35.2
36000,33.6
42000,29.0
48000,43.4
54000,55.6
60000,44.6
66000,39.2
72000,61.0
78000,52.6
84000,59.6
90000,51.6
96000,53.6
102000,60.8
108000,47.4
114000,56.8
120000,31.2
126000,26.0
132000,53.6
138000,52.6
144000,56.8
150000,48.8
156000,60.0
162000,39.2
168000,63.2
174000,34.4
180000,48.8
186000,41.6
192000,58.6
198000,34.2
204000,46.6
210000,68.6
216000,60.8
222000,46.4
228000,34.2
234000,41.6
240000,53.8
246000,39.2
252000,55.8
258000,50.6
264000,52.4
270000,51.6
276000,53.8
282000,46.6
288000,74.0
294000,43.6
300000,40.2
306000,73.2
312000,44.4
318000,45.4
324000,52.4
330000,54.0
336000,37.2
342000,51.4
348000,66.8
354000,46.2
360000,44.4
366000,34.4
372000,47.8
378000,33.2
384000,46.2
390000,44.4
396000,56.8
402000,56.0
408000,38.2
414000,39.4
420000,58.8
426000,58.2
432000,44.8
438000,58.8
444000,40.4
450000,36.2
456000,55.8
462000,57.8
468000,43.8
474000,38.4
480000,49.6
486000,62.6
492000,55.8
498000,55.6
504000,49.6
510000,44.4
516000,51.8
522000,45.4
528000,43.4
534000,38.2
540000,31.0
546000,45.6
552000,42.4
558000,54.8
564000,52.8
570000,43.4
576000,41.4
582000,53.6
588000,59.8
594000,49.6
600000,58.6
606000,36.2
612000,49.6
618000,53.6
624000,57.8
630000,50.6
636000,62.8
642000,27.0
648000,64.8
654000,48.8
660000,52.6
666000,35.2
672000,55.6
678000,43.4
684000,50.6
690000,58.8
696000,60.8
702000,50.8
708000,55.8
714000,45.4
720000,43.0
726000,43.4
732000,62.0
738000,57.8
744000,62.2
750000,41.4
756000,57.8
762000,52.8
768000,42.4
774000,62.0
780000,60.8
786000,57.6
792000,60.0
798000,49.4
804000,52.2
810000,62.0
816000,42.6
822000,47.6
828000,47.0
834000,51.6
840000,43.4
846000,58.6
852000,58.2
858000,66.2
864000,64.4
870000,42.4
876000,41.4
882000,49.4
888000,65.8
894000,44.4
900000,59.0
906000,59.8
912000,59.8
918000,50.0
924000,66.2
930000,41.4
936000,52.6
942000,48.6
948000,40.2
954000,52.6
960000,56.0
966000,61.8
972000,44.8
978000,61.8
984000,61.6
990000,37.8
996000,52.6
1002000,58.8
1008000,34.8
1014000,53.6
1020000,65.2
1026000,58.0
1032000,52.8
1038000,46.4
1044000,57.0
1050000,63.8
1056000,55.6
1062000,48.4
1068000,59.4
1074000,71.2
1080000,45.8
1086000,45.4
1092000,56.6
1098000,42.4
1104000,51.0
1110000,61.0
1116000,51.6
1122000,68.4
1128000,55.8
1134000,46.4
1140000,70.0
1146000,48.4
1152000,51.6
1158000,46.2
1164000,76.2
1170000,53.6
1176000,69.0
1182000,58.8
1188000,55.6
1194000,36.4
1200000,60.8
1206000,59.8
1212000,59.8
1218000,55.8
1224000,54.4
1230000,49.6
1236000,43.8
1242000,54.6
1248000,58.4
1254000,58.8
1260000,51.0
1266000,54.8
1272000,67.8
1278000,69.8
1284000,50.6
1290000,51.0
1296000,62.8
1302000,79.4
1308000,54.8
1314000,37.2
1320000,61.8
1326000,50.6
1332000,49.8
1338000,51.6
1344000,60.8
1350000,53.6
1356000,62.8
1362000,62.0
1368000,67.0
1374000,56.6
1380000,57.0
1386000,56.6
1392000,48.8
1398000,62.8
1404000,55.0
1410000,59.8
1416000,48.4
1422000,57.8
1428000,47.6
1434000,55.8
1440000,37.2
1446000,55.4
1452000,65.8
1458000,35.2
1464000,55.8
1470000,45.4
1476000,53.8
1482000,63.0
1488000,36.2
1494000,59.8
1500000,43.4
1506000,69.4
1512000,60.8
1518000,61.8
1524000,39.2
1530000,59.8
1536000,68.0
1542000,68.2
1548000,52.6
1554000,47.4
1560000,63.0
1566000,43.2
1572000,36.2
1578000,58.2
1584000,57.8
1590000,56.6
1596000,43.6
1602000,42.4
1608000,53.6
1614000,40.2
1620000,59.8
1626000,65.0
1632000,62.8
1638000,51.6
1644000,74.6
1650000,43.2
1656000,45.4
1662000,57.8
1668000,52.8
1674000,65.0
1680000,51.6
1686000,63.8
1692000,64.8
1698000,43.2
1704000,48.0
1710000,59.8
1716000,46.4
1722000,44.6
1728000,61.6
1734000,53.8
1740000,60.8
1746000,52.6
1752000,38.2
1758000,56.8
1764000,60.0
1770000,37.2
1776000,51.6
1782000,58.8
1788000,57.6
1794000,44.4
1800000,44.8
1806000,74.2
1812000,50.6
1818000,48.4
1824000,53.8
1830000,53.6
1836000,43.8
1842000,49.2
1848000,48.2
1854000,36.4
1860000,59.8
1866000,52.4
1872000,65.8
1878000,62.8
1884000,44.4
1890000,61.8
1896000,56.6
1902000,41.4
1908000,40.4
1914000,48.8
1920000,38.2
1926000,70.0
1932000,58.8
1938000,59.8
1944000,54.4
1950000,47.6
1956000,53.8
1962000,55.6
1968000,59.8
1974000,59.8
1980000,60.0
1986000,63.0
1992000,59.8
1998000,44.4
2004000,56.8
2010000,51.4
2016000,59.8
2022000,56.6
2028000,37.2
2034000,24.0
2040000,47.4
2046000,53.6
2052000,72.4
2058000,59.8
2064000,44.4
2070000,36.2
2076000,67.0
2082000,45.2
2088000,59.8
2094000,46.2
2100000,44.4
2106000,58.8
2112000,66.0
2118000,27.0
2124000,70.0
2130000,55.6
2136000,64.0
2142000,45.6
2148000,37.2
2154000,51.4
2160000,59.8
2166000,60.0
2172000,59.8
2178000,58.6
2184000,59.0
2190000,49.4
2196000,61.8
2202000,47.4
2208000,49.4
2214000,69.0
2220000,68.8
2226000,45.4
2232000,63.0
2238000,56.8
2244000,55.8
2250000,66.4
2256000,43.4
2262000,66.0
2268000,55.4
2274000,65.0
2280000,55.8
2286000,74.4
2292000,55.8
2298000,61.8
2304000,63.8
2310000,54.6
2316000,46.4
2322000,45.6
2328000,68.8
2334000,47.6
2340000,47.4
2346000,46.4
2352000,48.0
2358000,47.6
2364000,42.4
2370000,59.0
2376000,57.0
2382000,37.2
2388000,57.6
2394000,46.4
2400000,50.6
2406000,62.0
2412000,56.8
2418000,54.8
2424000,59.4
2430000,44.4
2436000,54.6
2442000,56.6
2448000,56.6
2454000,38.2
2460000,56.8
2466000,55.6
2472000,74.2
2478000,51.4
2484000,67.0
2490000,41.2
2496000,53.6
