#Steps,score
6000,28.0
12000,42.8
18000,36.2
24000,41.6
30000,32.2
36000,43.4
42000,38.4
48000,34.2
54000,44.2
60000,49.2
66000,38.6
72000,50.8
78000,47.4
84000,40.2
90000,38.4
96000,51.2
102000,45.6
108000,69.2
114000,46.8
120000,32.2
126000,50.0
132000,37.2
138000,46.2
144000,41.6
150000,39.2
156000,53.4
162000,36.4
168000,58.0
174000,54.8
180000,37.6
186000,43.4
192000,35.6
198000,28.2
204000,38.0
210000,34.6
216000,35.2
222000,45.0
228000,36.2
234000,39.0
240000,34.2
246000,50.6
252000,50.6
258000,36.2
264000,56.4
270000,48.6
276000,50.8
282000,34.2
288000,53.6
294000,41.4
300000,37.2
306000,35.6
312000,41.4
318000,41.4
324000,31.0
330000,27.4
336000,52.4
342000,48.6
348000,43.4
354000,28.0
360000,45.0
366000,46.4
372000,28.0
378000,38.8
384000,47.4
390000,30.6
396000,42.6
402000,40.4
408000,49.8
414000,56.2
420000,43.2
426000,27.0
432000,46.8
438000,35.4
444000,44.4
450000,36.8
456000,48.6
462000,51.8
468000,45.6
474000,51.8
480000,49.6
486000,59.8
492000,49.6
498000,46.4
504000,34.8
510000,30.2
516000,44.4
522000,32.0
528000,48.4
534000,38.2
540000,37.4
546000,38.0
552000,43.4
558000,49.6
564000,57.8
570000,36.2
576000,43.4
582000,41.4
588000,39.4
594000,49.4
600000,39.0
606000,36.6
612000,51.4
618000,44.8
624000,33.6
630000,46.4
636000,49.8
642000,53.2
648000,41.4
654000,26.0
660000,46.6
666000,31.0
672000,62.0
678000,38.4
684000,37.6
690000,34.2
696000,37.2
702000,31.8
708000,33.2
714000,51.6
720000,41.6
726000,46.4
732000,35.4
738000,36.4
744000,53.4
750000,41.8
756000,43.2
762000,42.8
768000,47.4
774000,59.4
780000,45.0
786000,28.0
792000,51.8
798000,30.0
804000,37.2
810000,57.4
816000,49.6
822000,42.0
828000,30.8
834000,27.0
840000,31.2
846000,38.4
852000,25.2
858000,46.4
864000,36.6
870000,44.4
876000,38.4
882000,38.2
888000,43.6
894000,44.4
900000,35.2
906000,31.0
912000,41.0
918000,31.2
924000,37.2
930000,50.6
936000,47.6
942000,36.2
948000,51.6
954000,43.4
960000,46.6
966000,61.0
972000,40.0
978000,37.8
984000,39.4
990000,42.4
996000,29.0
1002000,33.2
1008000,41.6
1014000,52.6
1020000,52.4
1026000,63.0
1032000,57.8
1038000,57.6
1044000,46.6
1050000,29.8
1056000,45.6
1062000,50.8
1068000,44.4
1074000,48.6
1080000,42.2
1086000,36.2
1092000,47.0
1098000,43.6
1104000,44.4
1110000,59.4
1116000,34.2
1122000,40.2
1128000,41.4
1134000,45.4
1140000,46.4
1146000,30.0
1152000,46.4
1158000,36.2
1164000,33.2
1170000,33.8
1176000,40.2
1182000,45.4
1188000,44.4
1194000,54.6
1200000,42.6
1206000,37.4
1212000,36.4
1218000,38.6
1224000,43.2
1230000,35.4
1236000,43.4
1242000,35.2
1248000,48.6
1254000,43.0
1260000,62.8
1266000,38.6
1272000,34.2
1278000,35.2
1284000,48.8
1290000,49.6
1296000,32.4
1302000,55.4
1308000,25.6
1314000,42.4
1320000,49.8
1326000,38.2
1332000,32.0
1338000,51.4
1344000,33.2
1350000,47.8
1356000,41.4
1362000,31.0
1368000,62.4
1374000,42.4
1380000,31.0
1386000,27.0
1392000,35.2
1398000,49.6
1404000,40.2
1410000,28.0
1416000,28.0
1422000,41.0
1428000,51.8
1434000,50.8
1440000,42.6
1446000,48.6
1452000,38.6
1458000,43.6
1464000,34.8
1470000,33.2
1476000,37.8
1482000,31.0
1488000,51.2
1494000,46.8
1500000,50.4
1506000,31.0
1512000,44.8
1518000,62.2
1524000,41.4
1530000,35.2
1536000,35.6
1542000,36.2
1548000,47.6
1554000,52.6
1560000,44.4
1566000,38.2
1572000,38.4
1578000,52.6
1584000,39.0
1590000,43.4
1596000,37.2
1602000,29.0
1608000,37.2
1614000,45.6
1620000,45.4
1626000,37.8
1632000,31.0
1638000,47.6
1644000,58.0
1650000,49.6
1656000,45.4
1662000,34.0
1668000,35.4
1674000,48.6
1680000,44.0
1686000,45.4
1692000,42.4
1698000,44.4
1704000,29.2
1710000,46.6
1716000,49.8
1722000,38.2
1728000,34.8
1734000,27.0
1740000,36.0
1746000,58.8
1752000,27.0
1758000,35.2
1764000,43.4
1770000,24.0
1776000,47.2
1782000,55.2
1788000,49.4
1794000,42.4
1800000,41.2
1806000,38.2
1812000,68.6
1818000,51.4
1824000,38.2
1830000,46.4
1836000,35.2
1842000,37.2
1848000,59.2
1854000,52.6
1860000,28.0
1866000,33.2
1872000,61.8
1878000,43.6
1884000,35.8
1890000,42.4
1896000,46.4
1902000,54.6
1908000,57.2
1914000,35.2
1920000,35.6
1926000,38.6
1932000,32.2
1938000,55.8
1944000,49.8
1950000,39.2
1956000,26.0
1962000,45.2
1968000,40.4
1974000,40.4
1980000,34.2
1986000,42.4
1992000,31.4
1998000,47.6
2004000,44.4
2010000,35.2
2016000,41.2
2022000,35.2
2028000,51.2
2034000,44.4
2040000,52.8
2046000,48.6
2052000,38.4
2058000,49.6
2064000,37.2
2070000,30.0
2076000,41.4
2082000,37.4
2088000,43.4
2094000,32.2
2100000,29.0
2106000,29.0
2112000,43.4
2118000,44.6
2124000,28.0
2130000,29.2
2136000,41.4
2142000,35.4
2148000,43.4
2154000,45.0
2160000,29.0
2166000,31.8
2172000,57.6
2178000,39.2
2184000,46.8
2190000,33.4
2196000,33.4
2202000,34.0
2208000,44.4
2214000,36.4
2220000,35.2
2226000,36.2
2232000,44.4
2238000,51.6
2244000,49.6
2250000,35.4
2256000,44.2
2262000,45.8
2268000,46.4
2274000,37.4
2280000,38.2
2286000,41.4
2292000,29.0
2298000,41.4
2304000,52.8
2310000,30.2
2316000,45.4
2322000,50.0
2328000,32.2
2334000,41.0
2340000,44.4
2346000,46.4
2352000,52.4
2358000,47.6
2364000,34.8
2370000,60.8
2376000,38.2
2382000,34.2
2388000,27.0
2394000,50.6
2400000,50.4
2406000,34.6
2412000,53.6
2418000,43.2
2424000,43.6
2430000,27.0
2436000,47.4
2442000,39.4
2448000,48.4
2454000,30.0
2460000,49.6
2466000,39.0
2472000,43.8
2478000,45.4
2484000,38.0
2490000,41.4
2496000,38.4
