#Steps,score
6000,10.8
12000,15.2
18000,13.0
24000,19.8
30000,19.2
36000,17.0
42000,17.4
48000,18.2
54000,11.8
60000,14.8
66000,15.4
72000,13.2
78000,14.2
84000,8.8
90000,18.0
96000,17.6
102000,17.0
108000,16.8
114000,16.8
120000,19.0
126000,14.8
132000,17.0
138000,19.6
144000,13.6
150000,14.8
156000,17.2
162000,22.0
168000,18.6
174000,14.8
180000,19.6
186000,21.6
192000,23.2
198000,20.0
204000,20.2
210000,20.4
216000,17.2
222000,18.0
228000,18.6
234000,18.8
240000,13.4
246000,17.4
252000,14.4
258000,15.6
264000,19.2
270000,18.6
276000,19.2
282000,11.8
288000,19.4
294000,17.8
300000,16.0
306000,16.0
312000,18.4
318000,15.4
324000,17.2
330000,17.2
336000,13.4
342000,17.6
348000,16.6
354000,17.2
360000,17.6
366000,18.6
372000,14.6
378000,20.4
384000,16.6
390000,17.2
396000,15.6
402000,20.6
408000,21.2
414000,18.4
420000,18.4
426000,20.8
432000,17.4
438000,23.2
444000,21.6
450000,25.4
456000,19.0
462000,24.0
468000,22.4
474000,22.2
480000,28.6
486000,22.6
492000,23.2
498000,30.6
504000,27.2
510000,34.6
516000,24.6
522000,30.2
528000,23.4
534000,22.6
540000,26.0
546000,23.6
552000,30.2
558000,26.8
564000,28.8
570000,29.4
576000,27.6
582000,30.4
588000,29.2
594000,28.0
600000,28.8
606000,26.4
612000,30.6
618000,30.8
624000,28.4
630000,28.0
636000,28.2
642000,26.0
648000,30.8
654000,25.8
660000,28.2
666000,31.2
672000,31.4
678000,36.0
684000,25.2
690000,30.6
696000,30.4
702000,35.0
708000,27.6
714000,33.4
720000,32.2
726000,27.2
732000,29.0
738000,29.2
744000,33.2
750000,32.2
756000,39.6
762000,36.6
768000,35.0
774000,38.4
780000,29.0
786000,35.6
792000,26.6
798000,35.6
804000,30.6
810000,29.6
816000,31.6
822000,36.0
828000,37.0
834000,31.8
840000,32.2
846000,29.8
852000,34.0
858000,33.4
864000,38.4
870000,37.6
876000,36.4
882000,36.6
888000,28.2
894000,36.2
900000,41.0
906000,32.8
912000,34.8
918000,30.6
924000,35.2
930000,35.8
936000,30.4
942000,35.8
948000,36.0
954000,34.8
960000,31.4
966000,35.2
972000,38.2
978000,28.8
984000,34.4
990000,29.6
996000,40.2
1002000,33.6
1008000,32.2
1014000,36.6
1020000,38.2
1026000,34.6
1032000,30.6
1038000,31.6
1044000,31.4
1050000,31.6
1056000,35.8
1062000,37.0
1068000,32.8
1074000,32.0
1080000,30.8
1086000,33.6
1092000,36.8
1098000,36.8
1104000,34.2
1110000,35.2
1116000,43.4
1122000,32.0
1128000,37.0
1134000,34.0
1140000,31.4
1146000,35.0
1152000,39.0
1158000,30.6
1164000,29.4
1170000,28.2
1176000,37.2
1182000,39.6
1188000,30.2
1194000,39.2
1200000,29.8
1206000,40.6
1212000,37.2
1218000,36.8
1224000,38.4
1230000,32.0
1236000,32.4
1242000,37.2
1248000,31.0
1254000,38.2
1260000,34.0
1266000,38.8
1272000,37.8
1278000,36.2
1284000,38.2
1290000,32.0
1296000,41.8
1302000,40.8
1308000,43.0
1314000,32.0
1320000,37.8
1326000,33.0
1332000,38.0
1338000,37.2
1344000,37.6
1350000,37.0
1356000,38.8
1362000,34.6
1368000,32.2
1374000,32.4
1380000,33.0
1386000,37.0
1392000,41.4
1398000,35.8
1404000,32.4
1410000,40.0
1416000,45.0
1422000,36.2
