#Steps,score
12000,21.6
24000,10.4
36000,16.2
48000,18.6
60000,14.6
72000,18.2
84000,13.2
96000,18.6
108000,14.4
120000,19.8
132000,15.8
144000,23.8
156000,21.6
168000,21.6
180000,29.2
192000,24.6
204000,30.4
216000,30.8
228000,31.0
240000,41.8
252000,34.6
264000,34.6
276000,34.2
288000,36.8
300000,37.4
312000,34.4
324000,34.6
336000,45.0
348000,38.2
360000,38.6
372000,38.6
384000,44.8
396000,43.4
408000,35.6
420000,40.4
432000,41.4
444000,42.8
456000,44.2
468000,43.8
480000,42.2
492000,36.6
504000,38.2
516000,46.0
528000,45.2
540000,32.6
552000,46.6
564000,34.4
576000,34.8
588000,46.8
600000,48.0
