#Steps,score
6000,16.2
12000,8.8
18000,18.0
24000,14.8
30000,16.4
36000,20.2
42000,22.2
48000,20.8
54000,13.8
60000,18.8
66000,21.6
72000,20.4
78000,19.4
84000,10.8
90000,15.0
96000,20.6
102000,18.2
108000,21.4
114000,20.0
120000,18.8
126000,22.2
132000,23.4
138000,21.0
144000,17.6
150000,17.0
156000,22.4
162000,19.0
168000,13.8
174000,18.4
180000,18.8
186000,21.2
192000,19.4
198000,17.2
204000,18.6
210000,10.2
216000,10.8
222000,13.4
228000,19.8
234000,16.0
240000,19.2
246000,17.2
252000,16.8
258000,19.8
264000,20.0
270000,14.8
276000,20.8
282000,17.4
288000,21.2
294000,16.0
300000,16.4
306000,20.6
312000,18.2
318000,20.8
324000,21.0
330000,21.2
336000,22.8
342000,20.4
348000,22.4
354000,21.6
360000,20.2
366000,23.6
372000,21.4
378000,22.8
384000,14.6
390000,19.6
396000,20.0
402000,20.4
408000,21.2
414000,20.6
420000,18.2
426000,21.4
432000,19.6
438000,23.6
444000,25.6
450000,23.0
456000,23.2
462000,24.2
468000,22.6
474000,23.6
480000,21.8
486000,25.2
492000,28.0
498000,23.8
504000,26.4
510000,25.4
516000,22.0
522000,26.2
528000,25.0
534000,25.2
540000,25.0
546000,26.2
552000,28.2
558000,30.8
564000,22.4
570000,26.2
576000,24.2
582000,27.8
588000,24.4
594000,26.6
600000,29.6
606000,28.4
612000,27.6
618000,25.4
624000,29.0
630000,27.6
636000,27.8
642000,29.4
648000,25.6
654000,30.4
660000,28.6
666000,29.0
672000,30.4
678000,32.8
684000,29.2
690000,22.4
696000,33.6
702000,33.0
708000,27.4
714000,31.4
720000,38.8
726000,31.6
732000,32.2
738000,36.8
744000,33.4
750000,32.2
756000,35.4
762000,34.6
768000,25.4
774000,37.2
780000,32.0
786000,34.6
792000,31.6
798000,23.0
804000,28.0
810000,37.0
816000,33.4
822000,34.6
828000,27.8
834000,28.2
840000,35.4
846000,23.8
852000,33.2
858000,32.4
864000,33.4
870000,29.4
876000,33.6
882000,33.6
888000,26.4
894000,35.4
900000,39.4
906000,31.8
912000,30.4
918000,29.2
924000,34.8
930000,33.4
936000,34.0
942000,36.6
948000,30.8
954000,36.2
960000,33.2
966000,30.8
972000,32.8
978000,41.8
984000,35.4
990000,33.8
996000,33.8
1002000,37.4
1008000,37.6
1014000,28.6
1020000,42.8
1026000,36.0
1032000,29.4
1038000,27.4
1044000,28.4
1050000,33.0
1056000,27.8
1062000,28.4
1068000,35.2
1074000,33.4
1080000,33.8
1086000,32.2
1092000,37.2
1098000,33.8
1104000,36.4
1110000,32.8
1116000,39.6
1122000,29.2
1128000,31.4
1134000,29.4
1140000,32.8
1146000,32.4
1152000,36.4
1158000,34.8
1164000,32.8
1170000,35.0
1176000,30.0
1182000,36.4
1188000,33.4
1194000,32.8
1200000,35.4
1206000,34.4
1212000,41.0
1218000,35.4
1224000,28.2
1230000,38.2
1236000,24.0
1242000,39.6
1248000,37.4
1254000,37.6
1260000,36.8
1266000,38.4
1272000,39.6
1278000,32.0
1284000,35.4
1290000,38.6
1296000,34.2
1302000,42.2
1308000,36.0
1314000,38.0
1320000,38.2
1326000,38.6
1332000,39.6
1338000,37.8
1344000,36.8
1350000,34.4
1356000,35.0
1362000,32.0
1368000,33.8
1374000,41.2
1380000,33.2
1386000,40.8
1392000,39.4
1398000,42.4
1404000,34.6
1410000,36.4
1416000,34.6
1422000,36.4
1428000,38.4
1434000,38.2
1440000,32.2
1446000,31.6
1452000,29.6
1458000,35.6
1464000,32.2
1470000,34.4
1476000,43.0
1482000,33.4
1488000,29.0
1494000,44.4
1500000,36.0
1506000,37.6
1512000,35.0
1518000,40.0
1524000,31.8
1530000,35.0
1536000,38.6
1542000,39.0
1548000,40.6
1554000,31.0
1560000,34.0
1566000,37.8
1572000,43.0
1578000,43.2
1584000,34.8
1590000,32.8
1596000,40.2
1602000,36.2
1608000,29.6
1614000,41.4
1620000,40.8
1626000,40.2
1632000,39.6
1638000,31.8
1644000,29.4
1650000,41.2
1656000,32.8
1662000,37.2
1668000,39.0
1674000,42.6
1680000,34.6
1686000,39.0
1692000,36.6
1698000,38.8
1704000,40.0
1710000,34.8
1716000,35.4
1722000,35.8
1728000,37.8
1734000,42.0
1740000,42.0
1746000,42.6
1752000,34.2
1758000,41.4
1764000,47.2
1770000,33.6
1776000,43.8
1782000,41.6
1788000,33.2
1794000,39.4
1800000,32.4
1806000,43.8
1812000,33.6
1818000,32.0
1824000,36.6
1830000,36.6
1836000,40.8
1842000,41.8
1848000,37.8
1854000,39.4
1860000,39.6
1866000,43.2
1872000,42.6
1878000,42.2
1884000,42.6
1890000,33.0
1896000,30.8
1902000,36.0
1908000,34.2
1914000,36.6
1920000,38.8
1926000,24.4
1932000,36.0
1938000,28.4
1944000,45.8
1950000,37.6
1956000,36.2
1962000,39.0
1968000,31.0
1974000,36.6
1980000,41.6
1986000,36.6
1992000,42.4
1998000,35.2
2004000,40.6
2010000,33.0
2016000,33.0
2022000,30.4
2028000,40.4
2034000,39.0
2040000,44.8
2046000,40.4
2052000,36.2
2058000,33.8
2064000,40.6
2070000,32.0
2076000,35.6
2082000,38.4
2088000,32.6
2094000,36.8
2100000,39.2
2106000,34.2
2112000,34.4
2118000,44.0
2124000,36.0
2130000,44.0
2136000,34.8
2142000,38.2
2148000,35.0
2154000,40.0
2160000,36.4
2166000,34.2
2172000,35.8
2178000,40.4
2184000,43.2
2190000,39.2
2196000,37.0
2202000,38.2
2208000,41.0
2214000,45.6
