#Steps,score
6000,9.0
12000,18.4
18000,19.2
24000,20.8
30000,21.2
36000,17.6
42000,22.6
48000,15.4
54000,16.2
60000,18.6
66000,20.2
72000,19.2
78000,11.2
84000,10.6
90000,11.6
96000,14.8
102000,16.4
108000,19.2
114000,17.6
120000,21.0
126000,20.8
132000,17.2
138000,18.4
144000,13.6
150000,15.0
156000,20.6
162000,15.0
168000,16.8
174000,19.8
180000,15.8
186000,19.8
192000,17.8
198000,16.6
204000,19.8
210000,17.4
216000,12.0
222000,18.2
228000,20.0
234000,20.0
240000,22.4
246000,16.4
252000,23.4
258000,18.6
264000,21.8
270000,18.2
276000,20.0
282000,19.0
288000,18.2
294000,17.6
300000,20.0
306000,20.6
312000,17.8
318000,18.6
324000,19.8
330000,20.4
336000,20.8
342000,16.6
348000,20.2
354000,18.6
360000,23.8
366000,20.4
372000,19.2
378000,15.0
384000,17.0
390000,19.4
396000,18.4
402000,20.4
408000,20.0
414000,20.8
420000,21.8
426000,13.6
432000,20.6
438000,15.4
444000,17.4
450000,18.8
456000,20.6
462000,21.4
468000,21.6
474000,18.6
480000,20.4
486000,12.4
492000,20.8
498000,14.6
504000,15.0
510000,17.4
516000,15.8
522000,17.8
528000,19.6
534000,20.2
540000,18.6
546000,16.8
552000,22.4
558000,20.4
564000,16.4
570000,20.6
576000,19.2
582000,17.8
588000,18.8
594000,19.6
600000,19.6
606000,18.4
612000,22.0
618000,21.4
624000,18.6
630000,19.8
636000,20.0
642000,19.2
648000,21.4
654000,19.0
660000,22.2
666000,21.8
672000,22.6
678000,18.0
684000,23.2
690000,19.6
696000,22.8
702000,19.6
708000,21.4
714000,23.6
720000,21.6
726000,23.4
732000,18.2
738000,17.6
744000,22.2
750000,19.6
756000,19.8
762000,21.2
768000,22.4
774000,23.6
780000,22.6
786000,16.6
792000,19.6
798000,21.6
804000,21.0
810000,25.0
816000,26.6
822000,16.8
828000,23.4
834000,23.4
840000,24.0
846000,23.4
852000,21.2
858000,20.4
864000,23.4
870000,22.4
876000,22.8
882000,24.8
888000,19.8
894000,22.8
900000,18.0
906000,22.0
912000,22.0
918000,22.4
924000,19.4
930000,22.8
936000,24.6
942000,23.4
948000,24.4
954000,24.6
960000,25.4
966000,27.2
972000,26.2
978000,23.8
984000,25.0
990000,26.6
996000,22.8
1002000,25.8
1008000,28.0
1014000,30.0
1020000,24.8
1026000,26.6
1032000,23.4
1038000,24.6
1044000,24.6
1050000,25.8
1056000,30.4
1062000,25.6
1068000,28.4
1074000,28.4
1080000,27.4
1086000,23.8
1092000,28.4
1098000,29.6
1104000,23.8
1110000,22.6
1116000,24.2
1122000,21.4
1128000,25.8
1134000,22.8
1140000,27.4
1146000,27.6
1152000,25.0
1158000,25.0
1164000,27.0
1170000,31.2
1176000,29.2
1182000,26.4
1188000,24.2
1194000,28.4
1200000,22.2
1206000,26.2
1212000,22.8
1218000,25.2
1224000,30.8
1230000,23.0
1236000,22.2
1242000,23.8
1248000,23.6
1254000,29.2
1260000,23.4
1266000,21.0
1272000,28.8
1278000,25.8
1284000,28.4
1290000,25.6
1296000,25.2
1302000,25.8
1308000,25.2
1314000,27.0
1320000,29.6
1326000,23.4
1332000,25.6
1338000,24.2
1344000,28.2
1350000,28.0
1356000,29.8
1362000,27.4
1368000,28.0
1374000,26.8
1380000,29.2
1386000,30.0
1392000,25.4
1398000,28.0
1404000,29.2
1410000,27.2
1416000,28.0
1422000,28.8
1428000,25.6
1434000,34.8
1440000,24.6
1446000,38.4
1452000,31.8
1458000,32.6
1464000,25.4
1470000,30.2
1476000,30.2
1482000,31.2
1488000,25.4
1494000,33.0
1500000,29.0
1506000,36.2
1512000,40.4
1518000,26.8
1524000,36.4
1530000,35.2
1536000,37.4
1542000,32.2
1548000,33.2
1554000,30.2
1560000,27.0
1566000,32.0
1572000,28.2
1578000,33.4
1584000,36.6
1590000,34.6
1596000,29.6
1602000,33.6
1608000,27.0
1614000,29.4
1620000,30.6
1626000,39.4
1632000,38.2
1638000,30.0
1644000,36.6
1650000,30.0
1656000,41.8
1662000,32.6
1668000,31.6
1674000,35.2
1680000,36.6
1686000,32.4
1692000,39.2
1698000,34.6
1704000,42.6
1710000,31.6
1716000,39.4
1722000,34.0
1728000,31.4
1734000,31.2
1740000,35.2
1746000,34.4
1752000,34.0
1758000,31.6
1764000,32.0
1770000,28.6
1776000,29.2
1782000,24.2
1788000,40.8
1794000,31.4
1800000,35.4
1806000,30.0
1812000,32.0
1818000,34.0
1824000,31.0
1830000,44.2
1836000,34.2
1842000,36.0
1848000,35.4
1854000,40.2
1860000,40.2
1866000,28.8
1872000,36.2
1878000,37.4
1884000,28.8
1890000,33.6
1896000,43.4
1902000,33.6
1908000,31.2
1914000,31.6
1920000,32.0
1926000,33.2
1932000,36.4
1938000,35.2
1944000,35.0
1950000,41.8
1956000,38.8
1962000,34.4
1968000,34.0
1974000,34.2
1980000,31.4
1986000,34.8
1992000,38.0
1998000,38.6
2004000,42.4
2010000,43.8
2016000,39.6
2022000,31.0
2028000,29.8
2034000,31.6
2040000,33.6
2046000,39.2
2052000,40.0
2058000,41.0
2064000,35.4
2070000,34.2
2076000,33.2
2082000,38.8
2088000,38.0
2094000,32.2
2100000,38.4
2106000,36.2
2112000,33.4
2118000,32.2
2124000,36.0
2130000,32.0
2136000,39.2
2142000,28.6
2148000,34.2
2154000,25.6
2160000,41.2
2166000,42.0
2172000,37.0
2178000,34.4
2184000,32.2
2190000,33.0
2196000,35.6
2202000,34.0
2208000,33.2
2214000,39.6
2220000,36.6
2226000,34.4
2232000,43.2
2238000,35.0
2244000,28.6
2250000,34.6
2256000,31.0
2262000,30.2
2268000,39.8
2274000,37.8
2280000,39.0
2286000,36.2
2292000,30.6
2298000,35.0
2304000,31.2
2310000,35.6
2316000,31.8
2322000,32.8
2328000,36.2
2334000,31.4
2340000,40.0
2346000,41.0
2352000,32.4
2358000,37.6
2364000,33.6
2370000,34.6
2376000,39.6
2382000,40.2
2388000,35.6
2394000,32.2
2400000,35.0
2406000,30.8
2412000,31.6
2418000,42.0
2424000,41.8
2430000,27.2
2436000,35.0
2442000,33.4
2448000,40.0
2454000,28.4
2460000,35.0
2466000,37.4
2472000,44.2
2478000,36.8
2484000,38.4
2490000,35.8
2496000,40.0
2502000,31.6
2508000,38.2
2514000,35.6
2520000,26.0
2526000,36.4
2532000,31.0
2538000,28.8
2544000,34.0
2550000,33.2
2556000,35.6
2562000,32.2
2568000,34.2
2574000,37.2
2580000,42.0
2586000,29.8
2592000,38.0
2598000,32.8
2604000,31.8
2610000,40.2
2616000,36.0
2622000,40.8
2628000,36.2
2634000,45.0
2640000,36.2
2646000,32.6
2652000,32.8
2658000,41.8
2664000,33.0
2670000,-3.0
2676000,-2.4
2682000,-1.0
2688000,8.0
2694000,22.0
2700000,20.8
2706000,23.2
2712000,21.4
2718000,21.0
2724000,23.8
2730000,28.2
2736000,23.2
2742000,26.4
2748000,24.0
2754000,27.2
2760000,27.2
2766000,24.8
2772000,20.6
2778000,23.4
2784000,29.8
2790000,28.6
2796000,29.4
