#Steps,score
6000,13.0
12000,14.4
18000,21.6
24000,15.6
30000,20.2
36000,20.8
42000,12.2
48000,13.6
54000,12.4
60000,13.2
66000,14.2
72000,21.0
78000,18.8
84000,15.0
90000,15.2
96000,17.2
102000,17.6
108000,20.8
114000,21.0
120000,19.8
126000,16.6
132000,20.2
138000,21.2
144000,18.8
150000,15.0
156000,17.8
162000,18.8
168000,24.0
174000,16.4
180000,18.2
186000,19.4
192000,17.6
198000,18.8
204000,17.4
210000,15.6
216000,20.6
222000,18.0
228000,19.8
234000,19.2
240000,19.8
246000,18.6
252000,17.4
258000,19.6
264000,17.6
270000,22.0
276000,19.0
282000,20.2
288000,15.8
294000,11.4
300000,18.0
306000,19.2
312000,16.6
318000,16.8
324000,14.4
330000,14.8
336000,15.8
342000,22.6
348000,20.2
354000,22.2
360000,17.2
366000,18.4
372000,20.8
378000,19.2
384000,22.6
390000,16.8
396000,20.6
402000,20.4
408000,20.6
414000,23.0
420000,21.2
426000,26.4
432000,19.2
438000,21.6
444000,24.2
450000,23.8
456000,22.2
462000,23.4
468000,19.6
474000,24.4
480000,23.6
486000,27.2
492000,27.8
498000,23.0
504000,27.8
510000,19.8
516000,23.4
522000,22.2
528000,21.0
534000,22.4
540000,25.6
546000,26.4
552000,23.8
558000,26.0
564000,23.8
570000,25.8
576000,28.4
582000,30.0
588000,31.0
594000,24.2
600000,32.8
606000,26.4
612000,25.8
618000,26.8
624000,18.0
630000,27.4
636000,27.6
642000,25.6
648000,23.0
654000,27.2
660000,32.2
666000,30.8
672000,27.8
678000,25.0
684000,27.8
690000,30.0
696000,30.2
702000,31.8
708000,29.8
714000,30.2
720000,31.4
726000,31.4
732000,29.2
738000,25.8
744000,23.8
750000,26.8
756000,28.8
762000,39.8
768000,29.4
774000,33.4
780000,32.0
786000,35.2
792000,28.4
798000,32.6
804000,31.0
810000,33.2
816000,32.6
822000,38.8
828000,36.4
834000,28.8
840000,29.6
846000,40.0
852000,32.6
858000,24.6
864000,36.0
870000,38.2
876000,40.8
882000,31.8
888000,30.8
894000,36.8
900000,31.8
906000,34.6
912000,35.0
918000,32.6
924000,31.0
930000,30.8
936000,35.8
942000,31.0
948000,34.8
954000,37.4
960000,33.2
966000,22.4
972000,40.4
978000,43.6
984000,35.8
990000,31.0
996000,30.4
1002000,29.8
1008000,35.4
1014000,33.8
1020000,36.0
1026000,37.4
1032000,25.6
1038000,33.4
1044000,32.8
1050000,35.0
1056000,33.2
1062000,26.4
1068000,36.2
1074000,28.8
1080000,32.8
1086000,36.8
1092000,30.0
1098000,30.8
1104000,34.8
1110000,33.6
1116000,31.4
1122000,32.2
1128000,36.8
1134000,30.6
1140000,40.2
1146000,34.6
1152000,30.6
1158000,34.0
1164000,31.6
1170000,31.2
1176000,34.8
1182000,39.6
1188000,42.2
1194000,31.4
1200000,41.2
1206000,36.8
1212000,42.0
1218000,30.8
1224000,32.2
1230000,36.0
1236000,24.0
1242000,31.4
1248000,38.4
1254000,31.2
1260000,38.0
1266000,31.6
1272000,37.0
1278000,30.8
1284000,32.6
1290000,29.4
1296000,39.4
1302000,35.8
1308000,34.0
1314000,39.4
1320000,32.0
1326000,27.4
1332000,32.0
1338000,37.2
1344000,39.0
1350000,29.8
1356000,34.0
1362000,34.6
1368000,35.8
1374000,35.8
1380000,34.6
1386000,44.4
1392000,33.2
1398000,39.6
1404000,34.6
1410000,31.8
1416000,33.2
1422000,34.8
1428000,35.0
1434000,42.2
1440000,39.2
1446000,34.2
1452000,41.0
1458000,36.2
1464000,42.8
1470000,39.8
1476000,37.6
1482000,39.8
1488000,39.0
1494000,32.2
1500000,39.2
1506000,38.2
1512000,33.6
1518000,38.2
1524000,27.6
1530000,42.4
1536000,41.2
1542000,35.0
1548000,41.8
1554000,42.8
1560000,39.0
1566000,38.6
1572000,33.6
1578000,35.0
1584000,30.2
1590000,34.4
1596000,38.4
1602000,35.6
1608000,40.4
1614000,35.0
1620000,33.2
1626000,39.0
1632000,40.8
1638000,39.6
1644000,30.2
1650000,33.2
1656000,39.4
1662000,43.6
1668000,37.4
1674000,43.4
1680000,34.4
1686000,41.4
1692000,36.6
1698000,36.0
1704000,43.0
1710000,32.0
1716000,31.8
1722000,35.0
1728000,31.0
1734000,30.4
1740000,39.0
