#Steps,score
6000,12.4
12000,23.2
18000,22.6
24000,13.6
30000,20.6
36000,21.8
42000,19.0
48000,2.0
54000,18.4
60000,13.2
66000,13.6
72000,17.4
78000,16.2
84000,17.8
90000,17.4
96000,22.0
102000,20.2
108000,20.4
114000,12.2
120000,20.4
126000,21.8
132000,21.8
138000,18.4
144000,20.6
150000,22.4
156000,26.6
162000,21.6
168000,19.6
174000,22.2
180000,15.8
186000,20.0
192000,23.2
198000,15.2
204000,18.0
210000,23.8
216000,24.6
222000,14.6
228000,18.8
234000,21.8
240000,20.4
246000,17.0
252000,9.8
258000,16.4
264000,15.6
270000,17.2
276000,16.2
282000,14.4
288000,14.0
294000,20.4
300000,19.2
306000,14.4
312000,19.6
318000,15.8
324000,15.2
330000,20.0
336000,20.0
342000,22.4
348000,21.8
354000,16.6
360000,19.8
366000,20.8
372000,19.6
378000,18.8
384000,19.4
390000,18.0
396000,18.8
402000,19.6
408000,18.8
414000,18.2
420000,24.4
426000,22.4
432000,18.4
438000,17.0
444000,17.4
450000,21.0
456000,21.6
462000,22.2
468000,16.4
474000,16.2
480000,20.4
486000,19.6
492000,22.0
498000,17.0
504000,20.2
510000,19.2
516000,19.6
522000,19.2
528000,21.4
534000,21.4
540000,21.0
546000,18.4
552000,20.8
558000,15.6
564000,19.0
570000,21.0
576000,23.2
582000,19.2
588000,20.4
594000,20.2
600000,19.0
606000,20.6
612000,19.8
618000,24.4
624000,16.4
630000,16.6
636000,19.8
642000,21.4
648000,20.4
654000,22.6
660000,22.2
666000,23.8
672000,19.4
678000,21.4
684000,22.4
690000,22.0
696000,22.8
702000,22.8
708000,23.6
714000,23.4
720000,22.0
726000,17.0
732000,20.0
738000,25.4
744000,24.6
750000,20.4
756000,22.2
762000,20.0
768000,26.0
774000,22.4
780000,20.6
786000,19.8
792000,22.2
798000,25.8
804000,27.0
810000,22.2
816000,29.2
822000,26.0
828000,23.4
834000,27.0
840000,31.0
846000,22.0
852000,25.4
858000,28.8
864000,25.2
870000,22.6
876000,32.2
882000,29.8
888000,31.2
894000,24.0
900000,34.2
906000,33.0
912000,27.4
918000,24.8
924000,32.8
930000,29.4
936000,27.2
942000,28.2
948000,28.2
954000,31.8
960000,29.8
966000,34.0
972000,31.2
978000,25.6
984000,30.0
990000,30.2
996000,26.0
1002000,26.0
1008000,23.6
1014000,33.2
1020000,25.8
1026000,33.8
1032000,31.0
1038000,31.8
1044000,32.4
1050000,30.6
1056000,34.2
1062000,29.2
1068000,28.6
1074000,31.2
1080000,25.4
1086000,32.6
1092000,33.2
1098000,29.6
1104000,29.8
1110000,35.0
1116000,28.4
1122000,36.0
1128000,34.4
1134000,31.6
1140000,37.8
1146000,34.0
1152000,33.4
1158000,24.8
1164000,29.2
1170000,31.0
1176000,32.0
1182000,35.8
1188000,25.6
1194000,34.2
1200000,32.4
1206000,34.8
1212000,31.2
1218000,31.2
1224000,29.8
1230000,35.8
1236000,31.2
1242000,33.4
1248000,29.0
1254000,37.8
1260000,37.2
1266000,23.2
1272000,34.0
1278000,33.6
1284000,29.6
1290000,33.4
1296000,30.4
1302000,31.0
1308000,33.6
1314000,38.8
1320000,32.6
1326000,32.4
1332000,33.2
1338000,36.8
1344000,32.8
1350000,32.8
1356000,30.0
1362000,30.0
1368000,30.8
1374000,37.6
1380000,25.0
1386000,29.8
1392000,35.6
1398000,31.6
1404000,41.2
1410000,38.0
1416000,34.8
1422000,29.2
1428000,39.4
1434000,29.4
1440000,25.8
1446000,40.2
1452000,35.2
1458000,35.8
1464000,33.2
1470000,29.2
1476000,36.2
1482000,29.6
1488000,34.8
1494000,32.4
1500000,34.0
1506000,35.8
1512000,37.6
1518000,37.4
1524000,38.6
1530000,33.2
1536000,28.6
1542000,36.0
1548000,40.2
1554000,30.4
1560000,33.4
1566000,32.6
1572000,40.8
1578000,36.6
1584000,34.8
1590000,33.4
1596000,32.2
1602000,27.8
1608000,38.4
1614000,32.4
1620000,36.0
1626000,39.6
1632000,38.2
1638000,33.2
1644000,42.6
1650000,29.0
1656000,32.6
1662000,29.2
1668000,36.2
1674000,39.0
1680000,34.4
1686000,40.0
1692000,31.2
1698000,37.0
1704000,30.4
1710000,37.6
1716000,33.4
1722000,36.6
1728000,39.2
1734000,34.6
1740000,41.6
1746000,25.8
1752000,33.6
1758000,38.0
1764000,34.0
1770000,33.8
1776000,33.0
1782000,37.2
1788000,35.8
1794000,42.2
1800000,37.6
1806000,37.2
1812000,36.2
1818000,36.0
1824000,40.8
1830000,33.2
1836000,36.6
1842000,40.0
1848000,36.6
1854000,36.0
1860000,29.6
1866000,33.8
1872000,37.8
1878000,34.8
1884000,40.0
1890000,35.2
1896000,40.0
1902000,42.4
1908000,34.0
1914000,38.8
1920000,32.2
1926000,28.6
1932000,36.2
1938000,29.2
1944000,35.2
1950000,34.8
1956000,34.2
1962000,38.0
1968000,39.2
1974000,34.2
1980000,32.0
1986000,27.4
1992000,31.2
