#Steps,score
60,1.4
120,0.4
180,1.2
240,1.2
300,0.8
360,0.8
420,0.2
480,1.4
540,1.0
600,1.6
660,1.2
720,1.6
780,1.4
840,1.0
900,1.2
960,2.0
1020,1.4
1080,1.2
1140,2.2
1200,1.2
1260,0.8
1320,0.8
1380,1.2
1440,1.2
1500,1.0
1560,0.4
1620,1.6
1680,1.0
1740,0.8
1800,1.6
1860,0.4
1920,1.2
1980,1.4
2040,1.6
2100,0.6
2160,0.6
2220,1.0
2280,0.2
2340,1.0
2400,0.4
2460,1.2
2520,1.0
2580,1.2
2640,1.4
2700,1.0
2760,1.6
2820,1.8
2880,1.0
2940,1.2
3000,0.8
3060,1.2
3120,1.4
3180,1.8
3240,1.8
3300,1.2
3360,1.2
3420,1.4
3480,1.2
3540,1.6
3600,2.6
3660,1.4
3720,1.0
3780,1.6
3840,2.4
3900,1.0
3960,1.0
4020,1.8
4080,0.6
4140,1.2
4200,1.8
4260,1.2
4320,2.2
4380,1.4
4440,1.4
4500,1.6
4560,1.8
4620,1.2
4680,0.8
4740,1.4
4800,1.6
4860,2.0
4920,1.0
4980,1.0
5040,1.4
5100,0.8
5160,1.0
5220,0.2
5280,1.4
5340,0.4
5400,0.8
5460,1.4
5520,1.4
5580,1.0
5640,1.4
5700,1.8
5760,1.4
5820,2.0
5880,1.0
5940,1.2
6000,1.6
6060,2.2
6120,0.6
6180,1.2
6240,1.2
6300,1.2
6360,0.4
6420,2.4
6480,0.2
6540,2.0
6600,1.0
6660,0.4
6720,1.0
6780,1.0
6840,1.0
6900,1.4
6960,1.0
7020,1.6
7080,1.8
7140,2.0
7200,1.0
7260,2.2
7320,1.0
7380,2.2
7440,1.0
7500,2.4
7560,0.4
7620,0.8
7680,1.4
7740,0.8
7800,2.2
7860,0.8
7920,2.2
7980,1.4
8040,0.4
8100,0.6
8160,1.6
8220,1.8
8280,1.6
8340,1.4
8400,2.4
8460,1.6
8520,1.6
8580,1.6
8640,1.0
8700,2.0
8760,2.0
8820,2.2
8880,1.6
8940,1.6
9000,2.2
9060,1.0
9120,1.4
