#Steps,score
6000,1.4
12000,3.2
18000,22.0
24000,24.8
30000,24.8
36000,22.6
42000,24.6
48000,23.2
54000,22.2
60000,23.0
66000,25.2
72000,23.2
78000,22.8
84000,24.2
90000,23.4
96000,24.6
102000,23.0
108000,23.2
114000,24.0
120000,23.0
126000,23.0
132000,24.2
138000,25.8
144000,23.4
150000,23.8
156000,24.0
162000,24.8
168000,23.0
174000,24.4
180000,23.4
186000,24.2
192000,23.8
198000,24.2
204000,24.4
210000,24.4
216000,25.4
222000,24.8
228000,24.4
234000,25.0
240000,23.6
246000,24.4
252000,23.8
258000,23.8
264000,23.4
270000,25.6
276000,26.0
282000,25.0
288000,24.2
294000,23.2
300000,23.6
306000,24.8
312000,24.2
318000,24.2
324000,24.6
330000,25.2
336000,24.0
342000,26.2
348000,24.6
354000,24.8
360000,26.6
366000,22.8
372000,23.6
378000,25.6
384000,25.8
390000,24.0
396000,24.8
402000,26.0
408000,25.2
414000,25.6
420000,24.4
426000,26.0
432000,24.6
438000,25.4
444000,24.4
450000,24.2
456000,24.4
462000,23.2
468000,24.8
474000,23.8
480000,25.8
486000,25.0
492000,25.8
498000,25.4
504000,25.0
510000,24.4
516000,25.8
522000,24.0
528000,24.4
534000,23.8
540000,24.8
546000,24.8
552000,26.2
558000,26.2
564000,25.6
570000,24.8
576000,23.8
582000,24.8
588000,26.0
594000,24.6
600000,25.0
