#Steps,score
600,1.2
1200,2.2
1800,1.2
2400,0.6
3000,0.6
3600,0.8
4200,0.2
4800,0.2
5400,0.8
6000,1.8
6600,2.6
7200,5.6
7800,17.8
8400,14.8
9000,17.8
9600,20.2
10200,20.4
10800,21.0
11400,22.8
12000,22.2
12600,22.8
13200,24.0
13800,22.4
14400,21.6
15000,22.6
15600,22.2
16200,22.4
16800,23.0
17400,22.0
18000,22.0
18600,22.0
19200,22.8
19800,22.2
20400,22.2
21000,23.4
21600,23.2
22200,21.8
22800,23.2
23400,23.4
24000,22.6
24600,25.6
25200,22.4
25800,24.6
26400,22.4
27000,22.4
27600,23.6
28200,22.4
28800,23.4
29400,23.8
30000,23.2
30600,23.0
31200,21.8
31800,22.4
32400,22.6
33000,23.2
33600,22.2
34200,22.6
34800,22.2
35400,23.6
36000,23.0
36600,22.2
37200,23.4
37800,24.2
38400,24.6
39000,23.8
39600,22.8
40200,23.8
40800,22.4
41400,22.8
