#Steps,score
60,0.6
120,0.8
180,0.8
240,2.0
300,1.8
360,1.2
420,0.4
480,1.2
540,0.6
600,1.4
660,1.8
720,0.8
780,0.4
840,0.8
900,2.2
960,1.2
1020,1.2
1080,1.2
1140,1.4
1200,1.8
1260,1.8
1320,1.2
1380,1.2
1440,1.8
1500,0.8
1560,0.6
1620,1.6
1680,0.6
1740,1.4
1800,1.0
1860,0.6
1920,1.0
1980,2.2
2040,1.6
2100,1.2
2160,1.0
2220,1.6
2280,2.4
2340,1.2
2400,2.2
2460,1.6
2520,0.8
2580,0.6
2640,1.4
2700,1.0
2760,1.2
2820,1.0
2880,0.4
2940,1.6
3000,0.6
3060,1.4
3120,0.6
3180,1.4
3240,1.4
3300,1.0
3360,0.8
3420,2.4
3480,1.6
3540,1.0
3600,1.8
3660,1.6
3720,1.0
3780,2.2
3840,0.6
3900,1.8
3960,1.4
4020,1.6
4080,1.2
4140,1.2
4200,1.4
4260,1.2
4320,1.0
4380,0.6
4440,2.6
4500,1.6
4560,1.4
4620,0.8
4680,1.8
4740,1.6
4800,2.4
4860,1.4
4920,1.8
4980,1.2
5040,1.4
5100,1.4
5160,1.4
5220,1.0
5280,0.8
5340,2.0
5400,1.4
5460,1.8
5520,1.2
5580,1.8
5640,1.8
5700,1.0
5760,1.6
5820,1.8
5880,1.6
5940,2.0
6000,1.4
6060,3.2
6120,1.6
6180,2.4
6240,1.2
6300,1.4
6360,1.6
6420,1.2
6480,1.4
6540,1.6
6600,1.6
6660,1.4
6720,1.2
6780,0.4
6840,1.4
6900,1.4
6960,0.8
7020,0.4
7080,0.8
7140,1.8
7200,1.6
7260,0.8
7320,1.8
7380,2.0
7440,2.2
7500,1.4
7560,1.6
7620,1.8
7680,1.6
7740,1.8
7800,1.0
7860,1.4
7920,3.2
7980,1.6
8040,2.6
8100,0.8
8160,1.8
8220,1.8
8280,1.6
8340,0.8
8400,1.6
8460,1.4
8520,1.8
8580,1.0
8640,1.0
8700,2.2
8760,1.6
8820,2.2
8880,1.2
8940,1.6
9000,1.6
9060,1.0
9120,2.0
9180,1.4
9240,1.6
