#Steps,score
60,0.8
120,1.4
180,1.0
240,1.0
300,0.6
360,1.2
420,1.4
480,1.2
540,1.4
600,0.8
660,1.0
720,1.4
780,1.6
840,1.2
900,0.2
960,0.6
1020,2.4
1080,0.4
1140,0.4
1200,0.6
1260,1.2
1320,0.8
1380,0.4
1440,1.2
1500,1.4
1560,0.8
1620,1.8
1680,0.8
1740,1.6
1800,1.2
1860,2.6
1920,2.6
1980,1.0
2040,1.2
2100,1.2
2160,0.6
2220,0.6
2280,1.4
2340,1.4
2400,0.8
2460,1.0
2520,0.8
2580,1.8
2640,1.8
2700,0.6
2760,1.2
2820,1.6
2880,1.0
2940,0.6
3000,1.0
3060,1.6
3120,1.2
3180,1.6
3240,1.6
3300,1.8
3360,1.2
3420,1.6
3480,1.6
3540,1.2
3600,1.4
3660,2.2
3720,1.6
3780,1.6
3840,2.2
3900,1.8
3960,2.4
4020,1.6
4080,1.2
4140,1.8
4200,1.6
4260,2.4
4320,1.8
4380,3.4
4440,2.6
4500,2.0
4560,1.6
4620,1.6
4680,3.2
4740,1.8
4800,2.0
4860,2.0
4920,3.0
4980,2.0
5040,3.8
5100,4.0
5160,3.6
5220,4.0
5280,5.2
5340,5.2
5400,5.4
5460,6.2
5520,4.6
5580,6.2
5640,5.8
5700,7.6
5760,8.6
5820,9.4
5880,14.4
5940,18.8
6000,18.4
6060,18.6
6120,20.6
6180,19.2
6240,19.6
6300,19.0
6360,19.6
6420,19.8
6480,20.0
6540,21.4
6600,21.2
6660,21.8
6720,19.8
6780,21.6
6840,21.6
6900,21.0
6960,22.2
7020,22.2
7080,23.2
7140,23.4
7200,22.2
7260,21.6
7320,21.0
7380,20.8
7440,21.8
7500,23.4
7560,22.2
7620,23.4
7680,22.6
7740,22.2
7800,23.6
7860,21.4
7920,23.8
7980,23.2
8040,22.8
8100,22.6
8160,23.2
8220,23.4
8280,23.8
8340,23.6
8400,25.0
8460,23.8
8520,23.0
8580,22.6
8640,23.0
8700,23.8
8760,24.8
8820,22.8
8880,23.4
8940,23.0
9000,24.0
9060,22.4
9120,23.2
9180,22.6
9240,21.6
9300,24.0
9360,23.8
9420,22.2
9480,22.6
9540,23.2
9600,23.2
9660,22.0
9720,23.8
9780,22.4
9840,22.6
9900,23.2
9960,22.0
10020,22.8
10080,20.4
10140,22.4
10200,22.0
10260,21.0
10320,22.6
10380,22.8
10440,22.4
10500,22.4
10560,24.6
10620,22.6
10680,21.2
10740,22.0
10800,22.2
10860,23.2
10920,24.2
10980,23.8
11040,24.0
11100,24.4
11160,23.0
11220,23.6
11280,23.8
11340,25.2
11400,23.4
11460,21.2
11520,23.6
11580,23.4
11640,22.8
11700,23.6
11760,24.0
11820,22.6
11880,22.4
11940,22.6
12000,23.6
12060,23.0
12120,22.0
12180,22.2
12240,22.8
12300,24.0
12360,22.6
12420,21.6
12480,23.8
12540,23.2
12600,24.0
12660,22.8
12720,22.4
12780,22.4
12840,24.6
12900,23.8
12960,23.0
13020,23.6
13080,22.8
13140,23.0
13200,23.2
13260,21.8
13320,22.4
13380,23.4
13440,23.8
13500,24.0
13560,23.6
13620,24.8
13680,24.4
13740,25.2
13800,24.0
13860,24.4
13920,24.4
13980,24.0
14040,21.8
14100,23.2
14160,24.6
14220,23.2
14280,23.2
14340,24.0
14400,22.6
14460,23.0
14520,23.6
14580,24.8
14640,24.0
14700,23.0
14760,21.8
14820,22.8
14880,24.6
14940,24.8
15000,24.6
15060,21.8
15120,23.6
15180,23.4
15240,23.6
15300,23.4
15360,23.0
15420,22.0
15480,22.0
15540,23.4
15600,22.6
15660,22.8
15720,22.0
15780,24.0
15840,24.0
15900,22.6
15960,24.0
16020,23.2
16080,23.0
16140,24.4
16200,24.4
16260,24.0
16320,23.4
16380,24.0
16440,25.0
16500,23.4
16560,22.8
16620,23.2
16680,23.8
16740,24.2
16800,22.2
16860,22.2
16920,22.8
16980,23.6
17040,23.0
17100,23.6
17160,25.4
17220,22.8
17280,23.8
17340,23.6
17400,24.4
17460,22.6
17520,23.6
17580,24.6
17640,23.6
17700,22.8
17760,25.4
17820,23.0
17880,22.6
17940,22.8
18000,23.2
18060,22.6
18120,21.8
18180,22.8
18240,23.6
18300,22.6
18360,25.2
18420,23.4
18480,23.2
18540,23.0
18600,25.6
18660,23.8
18720,24.2
18780,24.4
18840,25.0
18900,24.6
18960,23.2
19020,23.8
19080,24.8
19140,24.0
19200,25.2
19260,24.0
19320,24.2
19380,22.6
19440,23.6
19500,23.4
19560,24.0
19620,24.0
19680,24.8
19740,22.8
19800,23.4
19860,24.0
19920,23.0
19980,25.0
20040,23.8
20100,24.2
20160,22.8
20220,24.8
20280,24.4
20340,24.4
20400,22.6
20460,24.4
20520,23.6
20580,24.6
20640,23.6
20700,23.4
20760,23.8
20820,22.2
20880,24.4
20940,23.0
21000,24.2
21060,24.6
21120,23.6
21180,21.6
21240,23.0
21300,24.2
21360,24.6
21420,24.6
21480,23.4
21540,24.0
21600,23.6
21660,24.0
21720,24.4
21780,24.0
21840,23.6
21900,25.6
21960,23.6
22020,25.2
22080,22.6
22140,24.2
22200,23.4
22260,24.4
22320,23.8
22380,24.0
22440,22.0
22500,24.4
