#Steps,score
60,0.6
120,0.6
180,1.0
240,0.8
300,1.2
360,1.0
420,0.4
480,1.0
540,0.6
600,1.2
660,0.8
720,1.6
780,1.6
840,1.8
900,1.8
960,0.8
1020,0.2
1080,1.6
1140,0.6
1200,1.0
1260,1.2
1320,1.4
1380,0.8
1440,1.2
1500,1.6
1560,0.6
1620,1.2
1680,0.4
1740,1.0
1800,1.8
1860,1.8
1920,0.8
1980,0.8
2040,2.2
2100,1.0
2160,1.4
2220,0.6
2280,1.4
2340,0.4
2400,1.0
2460,0.8
2520,0.8
2580,1.2
2640,0.2
2700,1.0
2760,2.2
2820,1.4
2880,1.4
2940,1.2
3000,1.4
3060,0.8
3120,1.4
3180,1.0
3240,1.6
3300,1.6
3360,0.8
3420,1.2
3480,1.2
3540,0.6
3600,1.0
3660,1.4
3720,1.2
3780,1.6
3840,1.0
3900,1.8
3960,0.8
4020,0.2
4080,1.2
4140,1.4
4200,0.8
4260,0.4
4320,1.2
4380,1.4
4440,0.8
4500,1.8
4560,0.8
4620,0.8
4680,1.0
4740,1.8
4800,1.4
4860,0.8
4920,1.0
4980,1.4
5040,1.0
5100,0.4
5160,1.0
5220,0.8
5280,1.0
5340,1.2
5400,1.2
5460,1.0
5520,1.0
5580,3.2
5640,1.4
5700,1.2
5760,1.6
5820,0.6
5880,0.8
5940,1.4
6000,1.4
6060,0.6
6120,1.2
6180,1.0
6240,1.8
6300,0.4
6360,1.0
6420,0.8
6480,0.8
6540,0.8
6600,1.2
6660,0.8
6720,1.6
6780,1.4
6840,1.6
6900,2.0
6960,2.4
7020,1.0
7080,1.8
7140,0.8
7200,1.8
7260,1.2
7320,1.2
7380,1.8
7440,1.4
7500,0.6
7560,1.4
7620,0.4
7680,1.2
7740,0.2
7800,1.2
7860,0.8
7920,1.0
7980,0.8
8040,0.6
8100,0.4
8160,1.6
8220,1.0
8280,1.0
8340,0.8
8400,0.8
8460,0.6
8520,1.2
8580,1.2
8640,1.2
8700,0.8
8760,1.4
8820,1.0
8880,1.0
8940,2.2
9000,1.2
9060,0.8
9120,1.4
9180,1.2
9240,1.2
9300,2.0
9360,1.0
9420,1.4
9480,1.6
9540,0.8
9600,1.0
9660,1.0
9720,1.6
9780,1.0
9840,1.2
9900,2.6
9960,0.6
10020,1.0
10080,1.0
10140,1.4
10200,1.2
10260,1.2
10320,0.6
10380,1.6
10440,1.4
10500,1.0
10560,1.0
10620,0.6
10680,1.4
10740,1.8
10800,1.6
10860,1.0
10920,1.8
10980,1.6
11040,0.8
11100,1.2
11160,1.4
11220,1.6
11280,1.8
11340,1.0
11400,1.4
11460,1.6
11520,2.2
11580,1.4
11640,1.0
11700,1.2
11760,0.6
11820,2.0
11880,0.6
11940,1.6
12000,2.0
12060,2.0
12120,0.6
12180,1.2
12240,1.0
12300,1.0
12360,1.6
12420,0.8
12480,1.8
12540,1.2
12600,0.6
12660,1.2
12720,1.4
12780,1.4
12840,1.4
12900,1.6
12960,1.2
13020,1.6
13080,1.4
13140,0.6
13200,1.6
13260,1.0
13320,1.0
13380,1.4
13440,1.2
13500,1.8
13560,0.6
13620,0.4
13680,0.8
13740,1.8
13800,1.8
13860,0.8
13920,1.4
13980,0.6
14040,0.8
14100,1.2
14160,2.0
14220,2.4
14280,2.6
14340,0.8
14400,2.8
14460,1.6
14520,1.8
14580,1.6
14640,0.2
14700,1.8
14760,1.4
14820,1.4
14880,1.2
14940,0.8
15000,2.0
15060,1.2
15120,0.8
15180,0.8
15240,1.4
15300,0.8
15360,0.8
15420,1.0
15480,1.0
15540,1.0
15600,1.0
15660,1.2
15720,1.8
15780,1.4
15840,1.4
15900,0.8
15960,1.4
16020,0.6
16080,1.6
16140,1.8
16200,2.4
16260,1.2
16320,1.2
16380,0.6
16440,2.0
16500,1.2
16560,1.6
16620,1.4
16680,1.0
16740,1.0
16800,1.2
16860,1.0
16920,1.0
16980,1.2
17040,1.0
17100,1.4
17160,1.0
17220,1.2
17280,1.8
17340,1.6
17400,1.2
17460,2.0
17520,1.0
17580,1.4
17640,0.8
17700,1.2
17760,1.0
17820,0.8
17880,1.2
17940,1.6
18000,1.6
18060,1.6
18120,1.6
18180,2.0
18240,1.4
18300,2.0
18360,1.4
18420,1.2
18480,1.6
18540,1.4
18600,1.8
18660,1.8
18720,1.2
18780,1.6
18840,2.2
18900,1.8
18960,0.8
19020,1.4
19080,0.6
19140,0.6
19200,1.8
19260,1.0
19320,0.8
19380,1.8
19440,1.4
19500,1.2
19560,2.0
19620,2.2
19680,1.4
19740,1.4
19800,1.4
19860,1.6
19920,0.6
19980,1.2
20040,1.8
20100,1.6
20160,1.6
20220,1.2
20280,1.6
20340,0.6
20400,1.4
20460,1.6
20520,2.2
20580,1.8
20640,2.8
20700,1.6
20760,1.8
20820,1.4
20880,2.0
20940,2.0
21000,1.2
21060,0.6
21120,0.8
21180,1.0
21240,2.4
21300,1.8
21360,1.4
21420,1.0
21480,2.4
21540,1.4
21600,1.6
21660,1.4
21720,1.8
21780,1.8
21840,1.2
21900,2.0
21960,1.6
22020,1.4
22080,0.8
22140,1.2
22200,3.0
22260,1.8
22320,1.8
22380,2.0
22440,2.0
22500,1.2
22560,0.6
22620,1.6
22680,0.8
22740,2.0
22800,1.2
22860,2.2
22920,1.6
22980,1.8
23040,1.4
23100,2.0
23160,1.8
23220,2.6
23280,0.4
23340,1.4
23400,3.0
23460,2.2
23520,1.6
23580,1.6
23640,3.2
23700,3.8
23760,2.6
23820,1.2
23880,3.0
23940,4.4
24000,2.6
24060,3.0
24120,2.2
24180,2.4
24240,2.8
24300,1.2
24360,1.6
24420,1.0
24480,1.8
24540,1.4
24600,2.6
24660,1.4
24720,1.6
24780,1.8
24840,2.2
24900,1.0
24960,1.2
25020,1.6
25080,2.2
25140,1.2
25200,1.6
25260,1.6
25320,1.6
25380,0.4
25440,1.8
25500,2.0
25560,1.6
25620,1.8
25680,1.4
25740,2.0
25800,2.4
25860,3.2
25920,1.6
25980,2.2
26040,1.8
26100,1.8
26160,1.6
26220,2.8
26280,2.8
26340,2.0
26400,2.2
26460,1.8
26520,1.8
26580,1.6
26640,3.0
26700,1.2
26760,2.2
26820,1.8
26880,2.0
26940,1.8
27000,3.8
27060,2.2
27120,2.0
27180,1.6
27240,1.8
27300,1.8
27360,2.0
27420,1.4
27480,2.4
27540,1.8
27600,1.4
27660,1.8
27720,1.4
27780,3.0
27840,2.6
27900,2.4
27960,2.6
28020,1.6
28080,1.8
28140,2.2
28200,2.6
28260,1.4
28320,2.8
28380,2.2
28440,3.6
28500,3.8
28560,3.0
28620,4.8
28680,3.4
28740,3.4
28800,3.0
28860,4.4
28920,2.6
28980,2.4
29040,4.2
29100,5.6
29160,4.2
29220,5.8
29280,5.2
29340,4.4
29400,5.2
29460,9.0
29520,13.4
29580,13.0
29640,16.6
29700,16.6
29760,20.2
29820,22.2
29880,22.6
29940,22.4
30000,21.0
30060,18.8
30120,19.0
30180,17.2
30240,18.4
30300,14.8
30360,17.2
30420,14.6
30480,14.6
30540,16.2
30600,17.6
30660,14.2
30720,13.2
30780,13.8
30840,14.2
30900,16.0
30960,16.8
31020,14.4
31080,14.4
31140,15.4
31200,17.2
31260,16.4
31320,16.4
31380,19.2
31440,20.4
31500,21.8
31560,21.4
31620,23.0
31680,22.6
31740,23.0
31800,24.4
31860,23.4
31920,24.4
31980,23.8
32040,23.6
32100,24.6
32160,24.0
32220,24.6
32280,24.2
32340,24.4
32400,25.6
32460,25.0
32520,24.2
32580,24.8
32640,23.0
32700,24.6
32760,25.2
32820,24.4
32880,25.0
32940,24.2
33000,24.8
33060,24.8
33120,24.4
33180,26.0
33240,23.8
33300,23.6
33360,26.2
33420,25.0
33480,24.6
33540,24.4
33600,24.2
33660,25.4
33720,23.8
33780,23.8
33840,25.8
33900,25.0
33960,25.4
34020,25.2
34080,24.6
34140,23.2
34200,25.6
34260,24.4
34320,23.4
34380,25.8
34440,24.6
34500,24.6
34560,25.0
34620,24.0
34680,24.2
34740,24.0
34800,25.6
34860,26.2
34920,26.4
34980,25.2
35040,24.8
35100,24.8
35160,24.8
35220,23.6
35280,26.4
35340,27.2
35400,24.4
35460,24.2
35520,25.2
35580,24.6
35640,25.0
35700,25.4
35760,24.6
35820,23.8
35880,24.8
35940,23.2
36000,25.0
36060,24.4
36120,25.0
36180,25.6
36240,24.0
36300,25.6
36360,25.6
36420,24.8
36480,23.2
36540,23.0
36600,24.8
36660,22.6
36720,21.8
36780,23.6
36840,21.6
36900,23.6
36960,23.4
37020,21.4
37080,22.0
37140,21.6
37200,21.4
37260,21.4
37320,22.6
37380,21.6
37440,20.2
37500,21.4
37560,20.0
37620,21.2
37680,21.0
37740,21.8
37800,22.0
37860,22.0
37920,23.0
37980,20.4
38040,21.6
38100,22.6
38160,22.0
38220,21.2
38280,19.6
38340,20.8
38400,20.6
38460,23.6
38520,21.2
38580,21.2
38640,21.8
38700,21.4
38760,22.2
38820,22.0
38880,21.8
38940,23.4
39000,22.2
39060,23.6
39120,23.0
39180,24.4
39240,23.0
39300,24.0
39360,23.8
39420,22.6
39480,22.8
39540,23.4
39600,24.0
39660,23.8
39720,22.4
39780,23.8
39840,24.6
39900,22.4
39960,23.6
40020,24.0
40080,24.2
40140,22.8
40200,23.0
40260,23.2
40320,22.4
40380,24.0
40440,23.2
40500,23.0
40560,24.6
40620,23.6
40680,25.2
40740,24.6
40800,24.2
40860,23.6
40920,24.0
40980,25.0
41040,24.2
41100,22.4
41160,23.8
41220,22.6
41280,24.2
41340,24.6
41400,23.6
41460,23.6
41520,24.6
41580,23.2
41640,23.2
41700,23.8
41760,24.2
41820,23.2
41880,24.0
41940,24.0
42000,24.6
42060,23.6
42120,24.4
42180,25.0
42240,25.2
42300,24.2
42360,23.4
42420,24.0
42480,24.2
42540,23.8
42600,23.6
42660,23.6
42720,23.6
42780,24.0
42840,25.6
42900,24.0
42960,24.0
43020,24.2
43080,25.0
43140,23.8
43200,25.0
43260,25.2
43320,23.6
43380,25.0
43440,25.2
43500,24.8
43560,25.0
43620,25.2
43680,23.8
43740,23.4
43800,23.6
43860,24.4
43920,24.2
43980,24.2
44040,24.4
44100,24.0
44160,24.2
44220,23.6
44280,23.2
44340,23.4
44400,24.0
44460,24.0
44520,24.2
44580,24.0
44640,24.2
44700,23.6
44760,24.8
44820,23.8
44880,24.8
44940,22.4
45000,23.2
45060,22.8
45120,23.8
45180,23.8
45240,21.8
45300,22.2
45360,23.4
45420,23.2
45480,22.8
45540,21.8
45600,22.0
45660,23.6
45720,23.0
45780,23.4
45840,22.6
45900,23.6
45960,23.0
46020,22.6
46080,24.0
46140,24.0
46200,23.4
46260,23.4
46320,23.8
46380,23.0
46440,22.8
46500,24.2
46560,25.6
46620,21.6
46680,24.6
46740,24.8
46800,24.0
46860,23.2
46920,23.8
46980,23.4
47040,25.0
47100,25.0
47160,25.0
47220,23.8
47280,25.2
47340,25.0
47400,23.6
47460,23.4
47520,24.8
47580,23.4
47640,24.8
47700,24.8
47760,23.0
47820,25.2
47880,23.8
47940,24.2
48000,24.8
48060,24.4
48120,25.2
48180,25.2
48240,24.6
48300,23.4
48360,23.8
48420,25.0
48480,25.4
48540,23.8
48600,24.4
48660,23.8
48720,25.0
48780,23.4
48840,24.0
48900,23.8
48960,23.4
49020,24.0
49080,23.0
49140,24.8
49200,24.0
49260,25.4
49320,24.4
49380,25.2
49440,24.0
49500,24.2
49560,24.4
49620,25.4
49680,23.2
49740,24.2
49800,23.6
49860,25.4
49920,23.8
49980,26.0
50040,23.4
50100,23.4
50160,23.6
50220,24.6
50280,25.0
50340,25.0
50400,24.4
50460,22.4
50520,23.4
50580,25.2
50640,21.2
50700,24.4
50760,23.4
50820,22.4
50880,22.8
50940,23.6
51000,22.6
51060,22.4
51120,22.0
51180,22.0
51240,23.4
51300,21.8
51360,23.2
51420,21.2
51480,21.8
51540,21.0
51600,23.4
51660,22.6
51720,22.0
51780,22.2
51840,22.4
51900,21.4
51960,21.6
52020,23.0
52080,21.4
52140,23.6
52200,23.0
52260,22.6
52320,23.0
52380,23.8
52440,23.4
52500,23.6
52560,23.2
52620,24.6
52680,23.4
52740,22.8
52800,24.0
52860,24.0
52920,24.0
52980,24.2
53040,23.6
53100,23.2
53160,23.2
53220,24.4
53280,24.2
53340,25.0
53400,22.8
53460,23.4
53520,24.4
53580,21.4
53640,23.0
53700,22.4
53760,23.0
53820,22.6
53880,21.8
53940,21.0
54000,23.0
54060,23.0
54120,24.0
54180,22.8
54240,21.8
54300,23.8
54360,23.0
54420,22.2
54480,22.8
54540,21.2
54600,23.4
54660,22.8
54720,24.8
54780,23.0
54840,21.2
54900,23.8
54960,24.0
55020,23.0
55080,23.6
55140,22.8
55200,22.2
55260,23.6
55320,22.6
55380,23.2
55440,23.8
55500,23.4
55560,22.8
55620,23.0
55680,23.4
55740,23.0
55800,23.4
55860,24.6
55920,23.4
55980,24.2
56040,23.8
56100,23.8
56160,25.0
56220,24.8
56280,24.4
56340,25.2
56400,23.8
56460,23.4
56520,23.8
56580,23.2
56640,24.0
56700,25.6
56760,23.8
56820,23.2
56880,25.4
56940,22.8
57000,24.2
57060,23.8
57120,24.2
57180,23.0
57240,22.8
57300,23.8
57360,23.0
57420,23.4
57480,23.8
57540,22.0
57600,22.4
57660,22.8
57720,23.2
57780,22.4
57840,24.0
57900,22.4
57960,22.0
58020,22.2
58080,23.8
58140,22.4
58200,22.8
58260,22.0
58320,23.4
58380,22.4
58440,22.0
58500,23.0
58560,22.8
58620,22.2
58680,23.2
58740,23.2
58800,23.2
58860,22.6
58920,23.0
58980,21.6
59040,23.0
59100,24.0
59160,21.8
59220,24.4
59280,21.6
59340,23.8
59400,22.0
59460,23.0
59520,23.2
59580,23.8
59640,23.6
59700,24.0
59760,24.4
59820,24.0
59880,23.4
59940,23.4
60000,23.4
60060,21.8
60120,24.4
60180,23.4
60240,24.4
60300,23.6
60360,25.2
60420,24.8
60480,24.0
60540,25.4
60600,24.0
60660,23.0
60720,23.8
60780,22.4
60840,24.2
60900,25.0
60960,24.6
61020,26.2
61080,23.6
61140,25.2
61200,23.4
61260,24.2
61320,23.6
61380,27.0
61440,23.4
61500,26.0
61560,24.6
61620,25.8
61680,24.8
61740,24.0
61800,23.2
61860,24.0
61920,25.8
61980,25.8
62040,23.2
62100,24.6
62160,24.2
62220,26.0
62280,25.0
62340,26.4
62400,25.4
62460,24.4
62520,24.0
62580,24.8
62640,25.2
62700,23.6
62760,24.6
62820,24.4
62880,24.4
62940,25.4
63000,23.4
63060,24.0
63120,23.8
63180,24.8
63240,25.2
63300,25.6
63360,25.2
63420,25.6
63480,25.8
63540,23.6
63600,25.6
63660,25.6
63720,26.2
63780,24.4
63840,24.4
63900,24.8
63960,26.0
64020,24.8
64080,24.0
64140,23.6
64200,24.4
64260,23.8
64320,24.6
64380,24.8
64440,26.2
64500,24.2
64560,24.4
64620,24.8
64680,23.8
64740,25.2
