#Steps,score
6000,2.2
12000,23.6
18000,23.0
24000,24.2
30000,23.6
36000,25.6
42000,24.0
48000,23.2
54000,24.0
60000,26.2
66000,26.0
72000,24.6
78000,24.2
84000,25.6
90000,25.4
96000,25.0
102000,22.2
108000,24.0
114000,24.4
120000,25.4
126000,24.2
132000,24.2
138000,24.8
144000,24.8
150000,23.8
156000,25.4
162000,25.0
168000,25.8
174000,25.8
180000,25.0
186000,24.6
192000,26.0
198000,25.6
204000,24.4
210000,25.8
216000,25.0
222000,25.6
228000,24.0
234000,25.4
240000,25.0
246000,24.4
252000,24.6
258000,23.4
264000,23.6
270000,24.0
276000,25.6
282000,25.8
288000,23.4
294000,23.6
300000,24.4
306000,23.2
312000,24.8
318000,24.6
324000,26.0
330000,25.6
336000,24.2
342000,24.6
348000,25.8
354000,25.0
360000,25.8
366000,26.2
372000,25.6
378000,24.0
384000,25.8
390000,25.2
396000,25.0
402000,23.2
408000,25.6
414000,25.8
420000,26.2
426000,26.0
432000,25.6
438000,24.2
444000,26.0
450000,25.4
456000,23.2
462000,23.8
468000,24.6
474000,26.2
480000,26.0
486000,26.2
492000,24.0
498000,23.2
504000,24.6
510000,25.4
516000,24.8
522000,25.8
528000,25.6
534000,24.4
540000,24.0
546000,24.6
552000,25.2
558000,24.0
564000,25.0
570000,25.8
576000,23.8
582000,24.4
588000,24.4
594000,24.8
600000,25.0
