#Steps,score
60,0.8
120,1.4
180,1.4
240,0.6
300,1.0
360,1.8
420,1.2
480,0.8
540,0.6
600,1.2
660,0.6
720,1.0
780,1.6
840,1.8
900,1.2
960,1.0
1020,0.4
1080,0.8
1140,1.2
1200,1.2
1260,1.4
1320,1.0
1380,1.2
1440,0.8
1500,1.6
1560,1.0
1620,0.8
1680,1.6
1740,1.0
1800,1.6
1860,0.8
1920,1.2
1980,0.8
2040,0.8
2100,0.8
2160,0.4
2220,1.8
2280,1.8
2340,1.0
2400,1.0
2460,1.2
2520,0.8
2580,1.6
2640,1.2
2700,1.0
2760,2.0
2820,1.6
2880,1.2
2940,1.6
3000,1.4
3060,1.4
3120,1.2
3180,1.2
3240,1.2
3300,1.4
3360,1.0
3420,1.4
3480,1.0
3540,2.2
3600,1.0
3660,1.8
3720,0.6
3780,0.8
3840,1.0
3900,0.8
3960,1.6
4020,1.8
4080,2.2
4140,1.0
4200,1.4
4260,1.6
4320,1.2
4380,1.6
4440,2.0
4500,1.8
4560,1.0
4620,1.6
4680,1.4
4740,1.2
4800,1.2
4860,0.8
4920,1.2
4980,1.8
5040,1.6
5100,0.2
5160,0.4
5220,0.6
5280,1.2
5340,1.6
5400,2.4
5460,2.6
5520,1.0
5580,1.6
5640,1.2
5700,2.2
5760,1.2
5820,1.4
5880,2.2
5940,1.4
6000,0.8
6060,1.6
6120,1.2
6180,1.8
6240,0.8
6300,1.4
6360,1.4
6420,1.2
6480,1.0
6540,2.0
6600,1.2
6660,1.8
6720,1.4
6780,1.4
6840,1.0
6900,2.2
6960,0.8
7020,1.0
7080,2.2
7140,1.2
7200,1.6
7260,2.2
7320,2.0
7380,1.2
7440,1.6
7500,1.6
7560,2.0
7620,2.2
7680,2.0
7740,2.2
7800,1.6
7860,1.2
7920,2.4
7980,1.6
8040,3.2
8100,1.8
8160,2.2
8220,1.8
8280,3.6
8340,1.4
8400,3.6
8460,1.6
8520,3.6
8580,2.6
8640,3.2
8700,2.6
8760,3.8
8820,3.8
