#Steps,score
60,1.4
120,1.2
180,0.6
240,0.0
300,1.6
360,0.8
420,1.6
480,1.0
540,1.2
600,0.8
660,1.0
720,0.8
780,1.4
840,2.0
900,1.2
960,0.8
1020,1.2
1080,1.0
1140,0.6
1200,0.4
1260,0.6
1320,0.6
1380,2.0
1440,0.6
1500,1.0
1560,1.0
1620,0.6
1680,0.8
1740,1.0
1800,0.8
1860,1.6
1920,0.8
1980,0.6
2040,1.0
2100,2.2
2160,0.8
2220,0.8
2280,1.2
2340,2.0
2400,0.6
2460,1.2
2520,0.4
2580,2.2
2640,1.0
2700,1.2
2760,1.8
2820,1.0
2880,1.4
2940,1.0
3000,0.6
3060,0.8
3120,1.0
3180,1.6
3240,1.6
3300,1.0
3360,2.0
3420,0.6
3480,0.8
3540,1.0
3600,0.6
3660,0.4
3720,0.6
3780,1.6
3840,1.0
3900,1.0
3960,0.6
4020,0.6
4080,1.6
4140,0.8
4200,1.4
4260,1.6
4320,1.8
4380,0.6
4440,0.6
4500,1.0
4560,1.0
4620,0.8
4680,1.0
4740,0.2
4800,0.6
4860,1.0
4920,1.2
4980,1.4
5040,1.6
5100,1.0
5160,1.2
5220,0.8
5280,1.0
5340,1.2
5400,1.0
5460,1.6
5520,1.4
5580,0.8
5640,1.0
5700,1.0
5760,1.2
5820,1.4
5880,1.4
5940,1.2
6000,2.2
6060,1.2
6120,0.4
6180,1.4
6240,1.2
6300,0.2
6360,1.2
6420,1.0
6480,0.8
6540,0.8
6600,1.0
6660,1.4
6720,1.0
6780,1.2
6840,1.6
6900,0.8
6960,2.0
7020,0.6
7080,1.4
7140,1.4
7200,1.2
7260,0.8
7320,1.0
7380,1.0
7440,1.8
7500,1.2
7560,1.0
7620,1.6
7680,0.6
7740,1.2
7800,1.4
7860,0.2
7920,0.2
7980,1.6
8040,1.4
8100,0.6
8160,1.2
8220,1.2
8280,0.6
8340,1.8
8400,1.2
8460,1.2
8520,0.6
8580,2.0
8640,1.2
8700,1.8
8760,0.8
8820,1.6
8880,1.6
8940,1.8
9000,0.6
9060,0.6
9120,0.2
9180,1.2
9240,1.0
9300,1.6
9360,1.2
9420,1.8
9480,1.2
9540,0.8
9600,1.4
9660,1.0
9720,0.8
9780,1.2
9840,2.2
9900,0.6
9960,1.8
10020,1.4
10080,1.8
10140,1.4
10200,1.8
10260,0.6
10320,0.4
10380,0.4
10440,0.4
10500,0.4
10560,1.2
10620,1.2
10680,0.6
10740,0.4
10800,1.6
10860,0.8
10920,0.6
10980,1.4
11040,1.0
11100,0.8
11160,1.0
11220,0.6
11280,1.2
11340,1.6
11400,0.8
11460,1.0
11520,0.8
11580,1.0
11640,1.8
11700,1.8
11760,1.2
11820,1.0
11880,2.2
11940,1.6
12000,1.6
12060,2.2
12120,0.6
12180,1.6
12240,1.2
12300,1.4
12360,0.6
12420,1.6
12480,1.2
12540,1.2
12600,1.8
12660,0.6
12720,1.0
12780,1.2
12840,0.6
12900,1.0
12960,1.0
13020,1.0
13080,1.8
13140,1.2
13200,1.0
13260,1.0
13320,1.0
13380,1.0
13440,1.2
13500,0.8
13560,0.4
13620,2.0
13680,0.6
13740,1.8
13800,1.8
13860,0.8
13920,1.8
13980,1.4
14040,0.8
14100,1.0
14160,1.2
14220,2.0
14280,2.0
14340,1.2
14400,2.0
14460,1.6
14520,1.2
14580,1.0
14640,0.6
14700,1.6
14760,1.0
14820,1.0
14880,1.6
14940,1.0
15000,0.8
15060,1.6
15120,0.4
15180,0.8
15240,1.0
15300,1.0
15360,1.8
15420,1.4
15480,0.8
15540,1.2
15600,0.6
15660,1.4
15720,1.8
15780,1.6
15840,1.2
15900,1.8
15960,1.2
16020,1.2
16080,1.8
16140,2.4
16200,1.2
16260,1.6
16320,1.6
16380,1.6
16440,1.0
16500,1.0
16560,2.2
16620,1.2
16680,1.6
16740,0.6
16800,1.6
16860,1.6
16920,1.0
16980,1.2
17040,1.4
17100,1.0
17160,2.4
17220,1.4
17280,1.0
17340,2.0
17400,0.8
17460,0.8
17520,0.8
17580,0.4
17640,1.0
17700,1.2
17760,0.6
17820,1.0
17880,1.6
17940,1.2
18000,1.6
18060,1.4
18120,0.4
18180,1.6
18240,1.0
18300,0.6
18360,0.6
18420,1.0
18480,1.2
18540,0.6
18600,1.4
18660,1.6
18720,1.4
18780,1.8
18840,1.2
18900,1.4
18960,1.2
19020,1.6
19080,1.0
19140,1.4
19200,1.0
19260,0.8
19320,1.2
19380,1.2
19440,1.0
19500,1.2
19560,1.4
19620,1.8
19680,0.8
19740,0.8
19800,0.8
19860,0.8
19920,1.6
19980,1.0
20040,1.0
20100,1.2
20160,1.2
20220,0.6
20280,1.2
20340,1.2
20400,1.0
20460,0.6
20520,1.6
20580,0.4
20640,1.6
20700,0.6
20760,0.6
20820,1.4
20880,2.0
20940,1.2
21000,1.2
21060,1.4
21120,1.6
21180,1.0
21240,1.6
21300,0.8
21360,1.6
21420,1.0
21480,0.6
21540,0.8
21600,2.0
21660,1.4
21720,1.2
21780,0.8
21840,1.4
21900,1.8
21960,1.0
22020,1.2
22080,1.0
22140,1.2
22200,2.2
22260,1.0
22320,1.4
22380,1.2
22440,1.2
22500,0.6
22560,1.0
22620,0.6
22680,1.6
22740,1.6
22800,0.8
22860,0.4
22920,0.6
22980,0.6
23040,1.8
23100,1.2
23160,1.2
23220,1.0
23280,1.0
23340,0.6
23400,1.8
23460,1.6
23520,0.8
23580,1.4
23640,1.0
23700,0.8
23760,1.4
23820,1.0
23880,0.8
23940,1.6
24000,1.2
24060,0.8
24120,0.8
24180,1.2
24240,1.8
24300,1.6
24360,2.0
24420,1.6
24480,1.4
24540,2.4
24600,1.2
24660,1.8
24720,1.2
24780,2.0
24840,0.6
24900,1.0
24960,0.2
25020,1.2
25080,1.4
25140,1.0
25200,2.6
25260,1.4
25320,1.2
25380,1.0
25440,1.0
25500,1.8
25560,0.6
25620,0.6
25680,2.2
25740,1.0
25800,0.6
25860,1.4
25920,2.0
25980,1.4
26040,1.2
26100,1.4
26160,1.2
26220,2.0
26280,1.4
26340,1.4
26400,0.6
26460,0.8
26520,1.0
26580,1.0
26640,1.2
26700,1.6
26760,2.0
26820,1.8
26880,1.0
26940,1.4
27000,1.6
27060,1.2
27120,0.4
27180,1.6
27240,2.4
27300,0.8
27360,2.0
27420,2.2
27480,0.4
27540,1.6
27600,1.6
27660,0.8
27720,1.8
27780,1.4
27840,1.0
27900,1.4
27960,1.4
28020,1.4
28080,1.8
28140,1.0
28200,1.4
28260,1.6
28320,1.6
28380,1.4
28440,1.6
28500,1.2
28560,1.8
28620,1.0
28680,0.8
28740,1.2
28800,1.2
28860,0.4
28920,1.4
28980,0.6
29040,1.4
29100,0.6
29160,1.0
29220,1.2
29280,1.4
29340,1.0
29400,1.0
29460,1.4
29520,0.8
29580,1.2
29640,1.0
29700,1.2
29760,1.2
29820,1.0
29880,1.2
29940,1.6
30000,2.0
30060,1.6
30120,1.2
30180,1.4
30240,1.2
