#Steps,score
60,1.6
120,1.8
180,1.0
240,1.2
300,0.6
360,1.0
420,2.2
480,1.8
540,1.6
600,0.4
660,2.0
720,0.8
780,0.2
840,1.4
900,1.0
960,1.0
1020,0.8
1080,0.6
1140,1.4
1200,1.2
1260,0.6
1320,0.6
1380,1.8
1440,1.2
1500,1.4
1560,0.8
1620,0.6
1680,2.0
1740,0.4
1800,1.6
1860,1.6
1920,0.6
1980,0.8
2040,1.0
2100,0.4
2160,0.8
2220,1.2
2280,1.2
2340,0.8
2400,0.8
2460,1.0
2520,2.4
2580,0.2
2640,0.4
2700,2.4
2760,1.0
2820,0.6
2880,1.8
2940,1.8
3000,1.8
3060,1.0
3120,1.2
3180,1.0
3240,0.4
3300,0.8
3360,1.4
3420,1.8
3480,1.6
3540,1.2
3600,1.2
3660,1.2
3720,2.0
3780,2.0
3840,1.0
3900,0.6
3960,1.8
4020,1.0
4080,1.6
4140,1.0
4200,2.0
4260,1.2
4320,2.4
4380,2.2
4440,1.2
4500,0.4
4560,2.2
4620,1.6
4680,0.8
4740,1.2
4800,0.6
4860,1.2
4920,1.8
4980,1.6
5040,1.4
5100,2.0
5160,1.4
5220,1.0
5280,1.8
5340,1.8
5400,1.2
5460,1.8
5520,0.8
5580,0.8
5640,2.4
5700,1.6
5760,1.4
5820,1.4
5880,1.2
5940,1.6
6000,2.2
6060,2.2
6120,2.2
6180,1.6
6240,2.6
6300,0.8
6360,1.0
6420,1.4
6480,2.2
6540,1.6
6600,2.8
6660,2.2
6720,1.2
6780,2.2
6840,2.0
6900,1.6
6960,3.4
7020,2.2
7080,2.4
7140,3.2
7200,2.8
7260,3.2
7320,4.0
7380,3.0
7440,4.8
7500,4.4
7560,4.6
7620,6.2
7680,6.2
7740,8.6
7800,6.8
7860,8.4
7920,8.8
7980,10.8
8040,10.8
8100,14.2
8160,16.0
8220,20.2
8280,20.8
8340,20.4
8400,20.4
8460,18.4
8520,19.2
8580,19.6
8640,19.6
8700,18.6
8760,21.4
8820,21.4
8880,21.8
8940,22.6
9000,21.8
9060,21.6
9120,22.6
9180,22.0
9240,22.0
9300,21.2
9360,21.6
9420,22.4
9480,22.0
9540,22.2
9600,22.2
9660,23.2
9720,21.0
9780,20.8
9840,21.6
9900,20.6
9960,20.6
10020,22.4
10080,22.2
10140,22.0
10200,22.0
10260,22.4
10320,23.0
10380,22.6
10440,22.8
10500,23.2
10560,23.4
10620,21.6
10680,22.4
10740,22.4
10800,24.2
10860,23.8
10920,23.6
10980,22.6
11040,23.0
11100,24.2
11160,24.6
11220,23.4
11280,24.0
11340,24.6
11400,24.2
11460,24.2
11520,23.2
11580,24.2
11640,24.6
11700,23.6
11760,22.6
11820,25.2
11880,22.8
11940,24.0
12000,24.4
12060,24.4
12120,24.0
12180,23.0
12240,23.2
12300,22.6
12360,23.2
12420,23.6
12480,22.4
12540,24.6
12600,22.2
12660,22.2
12720,23.2
12780,23.4
12840,23.2
12900,22.6
12960,22.0
13020,23.0
13080,23.4
13140,23.6
13200,23.8
13260,21.6
13320,23.6
13380,22.2
13440,23.6
13500,24.2
13560,23.2
13620,23.8
13680,23.8
13740,21.4
13800,23.4
13860,24.2
13920,22.4
13980,24.8
14040,22.8
14100,24.0
14160,22.0
14220,24.0
14280,22.8
14340,24.2
14400,23.2
14460,23.2
14520,23.8
14580,23.2
14640,23.0
14700,24.6
14760,23.2
14820,23.8
14880,24.2
14940,24.6
15000,24.2
15060,24.8
15120,23.2
15180,23.4
15240,23.8
15300,23.8
15360,23.4
15420,26.4
15480,23.8
15540,22.8
15600,23.6
15660,22.8
15720,23.6
15780,22.8
15840,23.8
15900,23.6
15960,23.8
16020,24.6
16080,23.8
16140,25.2
16200,25.0
16260,24.2
16320,23.4
16380,23.6
16440,23.8
16500,23.0
16560,23.0
16620,23.6
16680,22.0
16740,22.6
16800,24.0
16860,22.4
16920,22.8
16980,23.2
17040,22.0
17100,23.6
17160,24.2
17220,22.6
17280,24.8
17340,24.2
17400,23.8
17460,23.0
17520,23.8
17580,23.6
17640,23.4
17700,23.2
17760,23.6
17820,24.2
17880,23.2
17940,24.6
18000,23.2
18060,21.8
18120,22.6
18180,22.6
18240,20.8
18300,23.0
18360,22.8
18420,21.8
18480,23.8
18540,23.2
18600,23.2
18660,22.4
18720,23.2
18780,24.6
18840,23.6
18900,23.8
18960,24.0
19020,23.0
19080,24.6
19140,23.4
19200,23.8
19260,25.6
19320,24.4
19380,24.0
19440,24.2
19500,24.4
19560,24.0
19620,24.4
19680,23.4
19740,25.0
19800,23.2
19860,24.4
19920,23.8
19980,24.4
20040,24.8
20100,24.4
20160,24.2
20220,24.2
20280,22.8
20340,21.8
20400,24.0
20460,24.2
20520,23.0
20580,23.6
20640,22.6
20700,24.8
20760,23.4
20820,24.6
20880,23.0
20940,24.0
21000,24.6
21060,24.2
21120,24.8
21180,24.2
21240,22.8
21300,24.2
21360,23.6
21420,23.6
21480,22.8
21540,24.4
21600,22.8
21660,24.2
21720,25.0
21780,23.6
21840,24.0
21900,25.2
21960,24.4
22020,24.2
22080,23.4
22140,23.6
22200,23.4
22260,23.6
22320,23.8
22380,24.4
22440,22.8
22500,24.6
