#Steps,score
60,1.2
120,1.4
180,1.4
240,1.4
300,1.2
360,0.6
420,0.6
480,1.0
540,0.8
600,0.6
660,1.4
720,1.2
780,1.4
840,1.0
900,1.6
960,0.6
1020,1.2
1080,0.6
1140,0.8
1200,1.6
1260,1.0
1320,1.0
1380,1.8
1440,1.4
1500,1.2
1560,1.6
1620,0.4
1680,1.0
1740,1.0
1800,1.2
1860,2.0
1920,0.6
1980,2.2
2040,0.8
2100,1.8
2160,1.0
2220,1.2
2280,1.6
2340,0.6
2400,1.2
2460,0.8
2520,1.0
2580,1.4
2640,2.0
2700,0.6
2760,1.6
2820,0.8
2880,0.8
2940,0.8
3000,1.4
3060,1.2
3120,0.4
3180,2.0
3240,2.2
3300,0.6
3360,1.4
3420,0.8
3480,1.0
3540,1.2
3600,1.4
3660,1.0
3720,1.0
3780,1.4
3840,1.8
3900,1.4
3960,0.6
4020,1.2
4080,2.0
4140,1.4
4200,0.4
4260,1.0
4320,2.2
4380,1.4
4440,1.2
4500,0.6
4560,0.8
4620,2.0
4680,1.4
4740,1.8
4800,2.2
4860,0.8
4920,0.6
4980,1.4
5040,1.2
5100,1.4
5160,0.6
5220,2.4
5280,1.0
5340,1.6
5400,0.6
5460,1.6
5520,1.6
5580,0.8
5640,0.4
5700,1.0
5760,1.4
5820,1.2
5880,1.2
5940,2.2
6000,0.8
6060,0.6
6120,2.0
6180,1.2
6240,1.4
6300,2.8
6360,0.6
6420,1.8
6480,1.6
6540,2.2
6600,1.0
6660,1.2
6720,1.2
6780,0.6
6840,0.8
6900,1.6
6960,1.0
7020,0.8
7080,1.8
7140,0.8
7200,1.2
7260,1.6
7320,1.2
7380,0.8
7440,1.4
7500,1.2
7560,1.0
7620,1.0
7680,2.0
7740,0.4
7800,2.2
7860,1.2
7920,0.6
7980,1.2
8040,1.2
8100,1.2
8160,1.2
8220,1.2
8280,1.6
8340,1.0
8400,1.6
8460,0.6
8520,2.0
8580,0.8
8640,0.8
8700,0.8
8760,1.6
8820,1.2
8880,1.0
8940,0.8
9000,1.0
9060,1.2
9120,0.8
9180,0.8
9240,1.4
9300,1.4
9360,1.2
9420,2.0
9480,1.4
9540,1.4
9600,0.8
9660,1.0
9720,0.6
9780,1.6
9840,1.4
9900,1.4
9960,1.8
10020,1.0
10080,0.2
10140,1.4
10200,1.2
10260,1.2
10320,1.4
10380,1.0
10440,1.6
10500,0.6
10560,1.6
10620,1.0
10680,1.6
10740,1.2
10800,1.4
10860,1.8
10920,1.6
10980,0.6
11040,1.0
11100,0.2
11160,1.2
11220,1.2
11280,0.6
11340,0.6
11400,0.8
11460,1.0
11520,1.2
11580,0.4
11640,1.8
11700,1.6
11760,1.2
11820,0.6
11880,1.4
11940,1.2
12000,1.2
12060,1.2
12120,1.8
12180,1.4
12240,0.6
12300,1.2
12360,1.4
12420,1.2
12480,2.4
12540,1.0
12600,1.6
12660,1.8
12720,1.4
12780,2.0
12840,0.8
12900,1.2
12960,1.4
13020,0.8
13080,1.4
13140,1.4
13200,1.2
13260,1.2
13320,0.8
13380,1.4
13440,0.8
13500,1.2
13560,1.4
13620,1.2
13680,2.8
13740,1.8
13800,1.2
13860,1.2
13920,1.4
13980,1.6
14040,1.4
14100,1.4
14160,2.6
14220,1.4
14280,1.2
14340,0.8
14400,0.4
14460,2.0
14520,1.0
14580,0.4
14640,0.6
14700,1.0
14760,1.2
14820,2.0
14880,2.2
14940,1.4
15000,1.6
15060,1.8
15120,1.2
15180,1.6
15240,1.6
15300,1.6
15360,1.6
15420,1.2
15480,1.2
15540,1.6
15600,2.4
15660,1.2
15720,1.4
15780,1.2
15840,0.4
15900,1.6
15960,2.0
16020,0.8
16080,1.4
16140,1.4
16200,2.0
16260,1.0
16320,1.8
16380,1.0
16440,1.6
16500,1.2
16560,2.0
16620,0.8
16680,0.8
16740,2.0
16800,0.8
16860,1.6
16920,1.4
16980,1.4
17040,2.4
17100,1.6
17160,1.2
17220,1.4
17280,2.2
17340,1.2
17400,1.8
17460,0.4
17520,2.4
17580,2.0
17640,1.0
17700,0.0
17760,0.8
17820,1.4
17880,1.2
17940,1.0
18000,2.0
18060,2.0
18120,1.4
18180,1.8
18240,0.2
18300,0.4
18360,1.2
18420,1.2
18480,1.6
18540,1.0
18600,1.2
18660,0.8
18720,0.4
18780,1.6
18840,1.0
18900,1.0
18960,1.4
19020,1.4
19080,0.8
19140,1.2
19200,1.8
19260,1.6
19320,0.4
19380,2.2
19440,1.6
19500,1.2
19560,0.6
19620,1.0
19680,1.8
19740,1.8
19800,1.0
19860,1.2
19920,1.0
19980,1.0
20040,1.4
20100,1.2
20160,1.6
20220,1.6
20280,1.4
20340,0.8
20400,0.6
20460,1.0
20520,1.4
20580,1.0
20640,1.2
20700,0.4
20760,1.0
20820,1.8
20880,1.4
20940,1.2
21000,1.2
21060,2.2
21120,2.0
21180,3.0
21240,1.2
21300,2.8
21360,1.4
21420,0.8
21480,1.4
21540,1.2
21600,0.6
21660,1.6
21720,2.0
21780,0.8
21840,2.0
21900,2.2
21960,1.6
22020,1.2
22080,1.2
22140,1.0
22200,0.8
22260,1.2
22320,1.6
22380,1.0
22440,2.0
22500,1.6
22560,1.8
22620,1.4
22680,0.8
22740,1.6
22800,2.0
22860,1.2
22920,1.4
22980,1.6
23040,1.6
23100,0.4
23160,1.0
23220,1.0
23280,1.6
23340,1.8
23400,1.2
23460,1.0
23520,0.8
23580,2.0
23640,1.0
23700,1.0
23760,1.6
23820,0.4
23880,1.6
23940,2.0
24000,0.6
24060,1.2
24120,1.6
24180,1.4
24240,1.4
24300,1.0
24360,1.0
24420,1.8
24480,2.2
24540,2.0
24600,1.2
24660,0.6
24720,1.4
24780,0.6
24840,2.2
24900,1.0
24960,1.2
25020,1.0
25080,1.8
25140,2.4
25200,2.4
25260,1.0
25320,1.2
25380,1.4
25440,1.4
25500,0.8
25560,2.2
25620,1.0
25680,1.8
25740,0.8
25800,1.6
25860,0.8
25920,1.0
25980,1.2
26040,1.2
26100,1.2
26160,1.0
26220,0.8
26280,1.0
26340,1.6
26400,1.0
26460,0.8
26520,1.2
26580,0.8
26640,1.6
26700,1.4
26760,3.0
26820,1.4
26880,1.0
26940,1.6
27000,1.6
27060,1.2
27120,1.8
27180,2.0
27240,1.4
27300,0.6
27360,0.8
27420,1.0
27480,0.8
27540,2.2
27600,2.6
27660,1.2
27720,1.6
27780,2.2
27840,1.2
27900,1.0
27960,1.2
28020,1.0
28080,1.4
28140,1.4
28200,0.8
28260,1.2
28320,1.4
28380,1.6
28440,1.4
28500,1.6
28560,1.4
28620,0.4
28680,0.8
28740,1.8
28800,1.4
28860,1.0
28920,1.6
28980,2.4
29040,1.2
29100,1.6
29160,1.0
29220,1.6
29280,0.8
29340,0.8
29400,1.2
29460,0.8
29520,0.8
29580,0.8
29640,2.2
29700,0.4
29760,1.2
29820,0.8
29880,0.6
29940,1.4
30000,2.0
30060,1.0
30120,2.0
30180,1.2
30240,1.8
30300,2.0
30360,1.4
30420,1.0
30480,1.6
30540,2.4
30600,1.6
30660,2.0
30720,0.8
30780,1.0
30840,0.4
30900,1.2
30960,1.6
31020,1.0
31080,1.6
31140,1.2
31200,0.8
31260,1.0
31320,0.8
31380,0.6
31440,0.6
31500,1.4
31560,0.8
31620,1.6
31680,0.8
31740,2.2
31800,1.6
31860,1.4
31920,2.6
31980,1.8
32040,1.2
32100,1.0
32160,2.8
32220,1.4
32280,0.6
32340,0.8
32400,1.6
32460,2.6
32520,1.4
32580,2.0
32640,1.8
32700,0.6
32760,1.2
32820,1.4
32880,1.4
32940,1.8
33000,1.2
33060,1.8
33120,1.8
33180,1.8
33240,1.4
33300,1.4
33360,1.4
33420,1.2
33480,0.8
33540,1.8
33600,2.2
33660,1.6
33720,1.0
33780,0.8
33840,1.2
33900,1.2
33960,1.0
34020,1.2
34080,1.6
34140,1.0
34200,1.2
34260,1.4
34320,1.0
34380,1.8
34440,0.6
34500,2.0
34560,1.8
34620,0.6
34680,1.4
34740,0.8
34800,1.8
34860,1.2
34920,2.8
34980,2.0
35040,1.0
35100,1.8
35160,2.0
35220,1.0
35280,2.0
35340,0.6
35400,2.0
35460,1.4
35520,1.2
35580,2.0
35640,1.8
35700,2.8
35760,1.6
35820,1.4
35880,1.6
35940,2.0
36000,2.4
36060,0.6
36120,2.0
36180,1.8
36240,1.8
36300,1.6
36360,1.6
36420,2.0
36480,1.6
36540,2.8
36600,0.8
36660,0.4
36720,1.2
36780,1.8
36840,2.0
36900,2.4
36960,1.4
37020,2.0
37080,2.0
37140,1.4
37200,1.4
37260,0.8
37320,1.4
37380,2.0
37440,2.0
37500,1.6
37560,1.6
37620,1.6
37680,1.6
37740,2.0
37800,1.2
37860,1.8
37920,1.6
37980,1.4
38040,2.0
38100,1.6
38160,2.6
38220,1.4
38280,2.2
38340,1.0
38400,1.4
38460,1.8
38520,0.8
38580,2.4
38640,1.8
38700,1.8
38760,2.0
38820,2.0
38880,1.8
38940,1.2
39000,1.0
39060,1.6
39120,1.0
39180,1.2
39240,1.0
39300,1.0
39360,0.8
39420,1.4
39480,1.4
39540,1.6
39600,1.8
39660,2.0
39720,0.8
39780,0.8
39840,1.0
39900,3.2
39960,1.6
40020,2.0
40080,1.8
40140,2.4
40200,1.8
40260,2.6
40320,1.6
40380,1.8
40440,2.0
40500,0.8
40560,3.0
40620,1.4
40680,1.6
40740,2.6
40800,1.0
40860,1.6
40920,3.0
40980,2.0
41040,2.4
41100,1.2
41160,2.2
41220,1.0
41280,2.6
41340,2.4
41400,0.6
41460,2.4
41520,1.6
41580,1.0
41640,1.6
41700,2.8
41760,2.6
41820,1.4
41880,0.8
41940,1.6
42000,1.6
42060,1.2
42120,2.2
42180,0.8
42240,1.8
42300,2.4
42360,0.8
42420,2.8
42480,2.4
42540,1.6
42600,1.0
42660,1.4
42720,1.4
42780,2.0
42840,3.0
42900,1.4
42960,1.8
43020,1.8
43080,2.4
43140,2.0
43200,2.4
43260,2.4
43320,2.4
43380,2.0
43440,3.4
43500,0.8
43560,1.2
43620,1.6
43680,2.2
43740,2.8
43800,2.4
43860,2.0
43920,2.2
43980,2.6
44040,1.8
44100,2.0
44160,1.8
44220,2.4
44280,1.4
44340,2.0
44400,2.8
44460,1.4
44520,2.0
44580,1.6
44640,1.2
44700,1.4
44760,2.4
44820,1.2
44880,2.2
44940,1.0
45000,1.6
45060,1.4
45120,2.4
45180,2.2
45240,2.6
45300,1.6
45360,1.4
45420,1.6
45480,1.8
45540,1.6
45600,2.2
45660,1.0
45720,1.2
45780,2.0
45840,1.8
45900,2.2
45960,2.4
46020,2.0
46080,2.0
46140,3.2
46200,1.8
46260,1.8
46320,1.2
46380,1.8
46440,1.4
46500,2.6
46560,2.4
46620,1.8
46680,2.0
46740,2.2
46800,3.0
46860,2.8
46920,2.8
46980,1.4
47040,2.2
47100,1.8
47160,1.4
47220,1.6
47280,1.2
47340,1.0
47400,1.8
47460,1.8
47520,1.6
47580,1.4
47640,1.6
47700,1.6
47760,1.6
47820,0.2
47880,1.0
47940,2.4
48000,2.6
48060,0.8
48120,2.0
48180,2.0
48240,1.6
48300,2.0
48360,0.6
48420,2.8
48480,1.2
48540,2.0
48600,2.0
48660,2.0
48720,2.0
48780,1.4
48840,1.4
48900,1.0
48960,2.4
49020,1.2
49080,1.4
49140,0.8
49200,2.6
49260,1.6
49320,2.6
49380,2.2
49440,1.4
49500,1.2
49560,1.4
49620,1.4
49680,1.4
49740,2.2
49800,2.6
49860,1.4
49920,2.6
49980,2.0
50040,1.6
50100,1.6
50160,1.2
50220,2.4
50280,2.4
50340,2.6
50400,2.4
50460,1.4
50520,1.2
50580,1.8
50640,2.4
50700,2.4
50760,1.6
50820,1.2
50880,1.8
50940,1.6
51000,2.6
51060,2.2
51120,2.4
51180,2.4
51240,1.4
51300,3.2
51360,2.2
51420,2.2
51480,2.2
51540,2.8
51600,1.6
51660,4.2
51720,2.0
51780,2.8
51840,2.6
51900,3.4
51960,2.0
52020,3.2
52080,2.6
52140,2.8
52200,3.0
52260,2.8
52320,2.0
52380,2.8
52440,2.8
52500,2.4
52560,3.6
52620,2.8
52680,3.0
52740,4.2
52800,3.0
52860,4.8
52920,5.2
52980,4.0
53040,4.2
53100,5.2
53160,3.6
53220,3.2
53280,3.0
53340,3.4
53400,2.8
53460,3.0
53520,2.6
53580,2.4
53640,2.0
53700,2.4
53760,2.2
53820,1.4
53880,1.6
53940,1.0
54000,2.0
54060,1.8
54120,1.4
54180,2.0
54240,1.2
54300,2.4
54360,1.2
54420,2.2
54480,2.4
54540,2.0
54600,1.4
54660,2.2
54720,1.2
54780,2.0
54840,1.8
54900,2.0
54960,2.2
55020,2.2
55080,2.2
55140,2.4
55200,1.8
55260,2.8
55320,2.6
55380,1.6
55440,2.0
55500,3.0
55560,2.2
55620,1.6
55680,2.4
55740,2.0
55800,1.8
55860,2.6
55920,1.8
55980,2.2
56040,2.0
56100,3.0
56160,3.4
56220,2.4
56280,3.0
56340,2.8
56400,2.2
56460,3.2
56520,2.2
56580,2.6
56640,1.6
56700,1.8
56760,4.6
56820,3.0
56880,3.2
56940,2.2
57000,2.6
57060,2.2
57120,2.4
57180,3.0
57240,4.0
57300,4.0
57360,2.8
57420,3.4
57480,3.8
57540,4.6
57600,3.4
57660,4.0
57720,3.8
57780,3.6
57840,5.0
57900,3.8
57960,6.2
58020,7.0
58080,6.0
58140,7.4
58200,6.6
58260,9.2
58320,8.8
58380,9.6
58440,9.2
58500,10.2
58560,11.2
58620,10.0
58680,10.2
58740,11.4
58800,9.8
58860,8.0
58920,8.6
58980,6.2
59040,6.8
59100,5.6
59160,4.6
59220,4.8
59280,4.0
59340,4.2
59400,4.8
59460,2.8
59520,2.4
59580,3.4
59640,2.2
59700,3.8
59760,1.6
59820,2.2
59880,2.2
59940,2.8
60000,2.2
60060,2.0
60120,2.4
60180,1.6
60240,2.2
60300,2.2
60360,2.4
60420,1.0
60480,2.0
60540,3.2
60600,2.8
60660,2.8
60720,2.0
60780,3.0
60840,3.4
60900,2.0
60960,2.8
61020,3.2
61080,2.2
61140,2.6
61200,2.4
61260,2.0
61320,4.6
61380,3.8
61440,2.0
61500,2.2
61560,3.0
61620,4.0
61680,3.4
61740,3.2
61800,3.0
61860,3.8
61920,3.0
61980,2.4
62040,3.0
62100,4.0
62160,1.6
62220,4.0
62280,2.4
62340,4.4
62400,3.0
62460,4.8
62520,5.8
62580,3.6
62640,4.2
62700,5.4
62760,4.2
62820,5.0
62880,5.8
62940,5.4
63000,5.0
63060,5.2
63120,6.0
63180,6.0
63240,6.8
63300,5.2
63360,6.6
63420,8.2
63480,7.4
63540,9.2
63600,9.0
63660,8.2
63720,8.8
63780,10.8
63840,11.4
63900,10.8
63960,14.2
64020,11.8
64080,16.2
64140,15.6
64200,17.6
64260,18.0
64320,19.4
64380,19.0
64440,21.0
64500,20.2
64560,20.6
64620,20.0
64680,18.8
64740,17.8
64800,15.8
64860,15.6
64920,14.2
64980,15.8
65040,15.2
65100,13.6
65160,13.0
65220,12.0
65280,11.0
65340,11.6
65400,12.0
65460,14.2
65520,12.0
65580,10.0
65640,11.8
65700,10.8
65760,10.0
65820,11.2
65880,11.8
65940,9.8
66000,11.4
66060,9.6
66120,11.8
66180,12.0
66240,12.2
66300,10.8
66360,12.8
66420,13.8
66480,13.4
66540,13.2
66600,16.0
66660,14.8
66720,15.8
66780,15.2
66840,17.6
66900,17.0
66960,16.4
67020,17.8
67080,18.6
67140,17.0
67200,18.4
67260,17.6
67320,20.0
67380,20.6
67440,18.8
67500,20.8
67560,20.4
67620,20.0
67680,19.4
67740,20.0
67800,18.8
67860,19.8
67920,18.4
67980,19.0
68040,19.4
68100,19.8
68160,17.6
68220,17.2
68280,19.0
68340,19.2
68400,20.0
68460,20.6
68520,19.8
68580,19.8
68640,19.6
68700,20.2
68760,20.4
68820,19.6
68880,21.6
68940,21.4
69000,21.8
69060,22.4
69120,20.2
69180,21.0
69240,22.4
69300,22.6
69360,22.2
69420,22.2
69480,25.2
69540,22.4
69600,23.0
69660,24.8
69720,24.4
69780,23.0
69840,22.8
69900,23.2
69960,22.6
70020,25.0
70080,23.2
70140,23.4
70200,22.4
70260,22.4
70320,23.0
70380,24.0
70440,23.6
70500,21.6
70560,23.8
70620,24.2
