#Steps,score
60,1.2
120,1.8
180,1.4
240,1.6
300,1.6
360,1.6
420,1.8
480,0.8
540,1.2
600,1.6
660,0.4
720,1.4
780,1.8
840,2.0
900,0.8
960,1.0
1020,1.4
1080,0.2
1140,1.6
1200,1.4
1260,0.8
1320,2.4
1380,1.0
1440,0.8
1500,0.8
1560,0.6
1620,1.2
1680,1.0
1740,1.4
1800,0.8
1860,0.6
1920,1.8
1980,1.6
2040,1.0
2100,1.4
2160,1.4
2220,0.8
2280,0.8
2340,1.2
2400,1.0
2460,1.4
2520,1.4
2580,1.2
2640,0.8
2700,1.0
2760,1.8
2820,0.2
2880,0.6
2940,1.0
3000,1.8
3060,1.2
3120,0.6
3180,0.2
3240,0.6
3300,2.0
3360,1.2
3420,0.4
3480,1.4
3540,1.8
3600,1.6
3660,1.0
3720,1.4
3780,2.2
3840,1.0
3900,0.6
3960,0.6
4020,1.4
4080,0.8
4140,1.0
4200,1.6
4260,1.4
4320,2.4
4380,1.0
4440,0.2
4500,1.0
4560,1.6
4620,1.4
4680,1.4
4740,0.4
4800,1.2
4860,1.2
4920,0.6
4980,0.6
5040,1.4
5100,1.0
5160,1.0
5220,1.6
5280,1.2
5340,1.4
5400,2.2
5460,1.6
5520,1.2
5580,0.8
5640,0.8
5700,0.6
5760,2.6
5820,1.2
5880,1.4
5940,1.0
6000,0.4
6060,1.4
6120,0.6
6180,2.4
6240,1.6
6300,0.6
6360,1.6
6420,1.6
6480,1.2
6540,1.0
6600,2.0
6660,2.2
6720,0.8
6780,1.6
6840,2.0
6900,1.6
6960,1.6
7020,1.6
7080,1.0
7140,1.2
7200,1.4
7260,0.8
7320,0.8
7380,1.2
7440,2.4
7500,1.2
7560,1.4
7620,1.4
7680,1.0
7740,1.0
7800,1.6
7860,1.6
7920,1.2
7980,1.6
8040,2.0
8100,1.4
8160,1.2
8220,1.2
8280,1.0
8340,1.2
8400,2.2
8460,2.8
8520,2.0
8580,1.8
8640,1.2
8700,2.0
8760,2.4
8820,1.4
8880,0.6
8940,2.6
9000,1.6
9060,1.8
9120,2.8
9180,2.6
9240,1.4
9300,2.2
9360,1.4
9420,1.4
9480,1.2
9540,1.6
9600,1.8
9660,1.0
9720,1.2
9780,1.6
9840,1.0
9900,2.0
9960,0.8
10020,1.6
10080,2.0
10140,0.6
10200,2.4
10260,1.6
10320,2.0
10380,1.8
10440,1.6
10500,3.2
10560,2.6
10620,2.6
10680,3.2
10740,3.2
10800,2.0
10860,3.4
10920,2.4
10980,2.4
11040,3.0
11100,2.2
11160,3.0
11220,3.2
11280,3.4
11340,3.0
11400,4.2
11460,2.8
11520,4.2
11580,5.0
11640,5.0
11700,5.4
11760,5.8
11820,5.4
11880,7.0
11940,7.6
12000,9.6
12060,9.0
12120,14.2
12180,18.2
12240,19.6
12300,21.4
12360,21.0
12420,21.6
12480,18.8
12540,19.2
12600,18.4
12660,19.0
12720,19.8
12780,20.6
12840,21.0
12900,19.2
12960,21.0
13020,18.8
13080,20.6
13140,20.8
13200,19.8
13260,20.6
13320,18.6
13380,21.6
13440,20.4
13500,21.6
13560,20.4
13620,21.0
13680,21.4
13740,20.8
13800,22.0
13860,20.8
13920,21.8
13980,22.6
14040,22.4
14100,21.4
14160,22.0
14220,21.2
14280,22.4
14340,23.2
14400,24.0
14460,22.2
14520,23.4
14580,20.8
14640,21.8
14700,23.8
14760,23.0
14820,24.2
14880,21.8
14940,22.8
15000,23.4
15060,22.2
15120,23.8
15180,24.0
15240,23.6
15300,26.2
15360,22.6
15420,25.0
15480,22.6
15540,22.6
15600,23.8
15660,24.4
15720,22.8
15780,23.0
15840,23.4
15900,24.8
15960,23.2
16020,24.8
16080,24.2
16140,24.6
16200,23.0
16260,24.8
16320,24.8
16380,23.8
16440,25.4
16500,24.0
16560,23.0
16620,25.2
16680,24.8
16740,24.0
16800,23.8
16860,23.6
16920,23.8
16980,22.8
17040,25.0
17100,24.6
17160,24.2
17220,23.8
17280,25.0
17340,24.4
17400,24.2
17460,24.2
17520,24.2
17580,24.8
17640,23.2
17700,24.4
17760,25.4
17820,22.8
17880,23.8
17940,22.6
18000,23.4
18060,24.4
18120,23.0
18180,24.0
18240,24.0
18300,24.0
18360,23.4
18420,24.0
18480,23.0
18540,23.4
18600,22.8
18660,25.0
18720,22.8
18780,24.2
18840,21.6
18900,23.2
18960,23.8
19020,23.6
19080,23.4
19140,22.4
19200,23.4
19260,22.4
19320,23.8
19380,21.2
19440,24.2
19500,23.8
19560,22.8
19620,25.6
19680,24.0
19740,22.6
19800,25.0
19860,23.8
19920,22.0
19980,24.0
20040,23.0
20100,24.6
20160,24.6
20220,24.2
20280,23.8
20340,23.4
20400,24.0
20460,26.0
20520,23.0
20580,23.0
20640,23.8
20700,23.4
20760,24.2
20820,25.2
20880,24.0
20940,24.2
21000,25.2
21060,23.2
21120,23.6
21180,24.8
21240,24.4
21300,23.4
21360,22.8
21420,24.0
21480,22.4
21540,23.8
21600,23.6
21660,23.8
21720,25.2
21780,24.4
21840,24.6
21900,23.8
21960,23.6
22020,24.4
22080,24.4
22140,22.0
22200,24.6
22260,22.6
22320,22.8
22380,22.4
22440,22.0
22500,22.8
22560,23.6
22620,23.0
22680,22.6
22740,23.8
22800,24.0
22860,23.8
22920,22.6
22980,23.6
23040,22.6
23100,21.6
23160,22.2
23220,23.4
23280,22.4
23340,23.6
23400,23.2
23460,22.6
23520,22.8
23580,23.2
23640,23.4
23700,21.8
23760,23.6
23820,26.0
23880,23.2
23940,25.2
24000,23.8
24060,24.2
24120,24.6
24180,23.4
24240,24.4
24300,24.6
24360,26.2
24420,24.4
24480,22.8
24540,24.8
24600,24.2
24660,23.6
24720,22.8
24780,23.8
24840,24.4
24900,23.4
24960,25.0
25020,24.2
25080,24.0
25140,23.0
25200,23.8
25260,24.8
25320,24.2
25380,23.4
25440,24.0
25500,24.2
25560,24.8
25620,23.8
25680,23.6
25740,24.2
25800,25.2
25860,22.8
25920,23.8
25980,23.4
26040,23.2
26100,23.8
26160,21.4
26220,22.8
26280,23.2
26340,23.0
26400,23.0
26460,24.0
26520,24.2
26580,24.4
26640,23.8
26700,24.0
26760,24.0
26820,23.2
26880,23.8
26940,24.8
27000,24.8
27060,22.4
27120,23.6
27180,24.6
27240,23.8
27300,24.0
27360,24.4
27420,23.2
27480,24.2
27540,23.6
27600,24.4
27660,24.4
27720,24.6
27780,24.2
27840,25.4
27900,23.0
27960,23.0
28020,24.4
28080,24.4
28140,25.2
28200,24.0
28260,24.4
28320,23.8
28380,24.4
28440,22.8
28500,23.8
28560,23.4
28620,23.8
28680,24.2
28740,25.2
28800,24.2
28860,23.6
28920,26.0
28980,23.8
29040,25.0
29100,24.0
29160,25.0
29220,25.4
29280,24.6
29340,23.4
29400,23.2
29460,23.8
29520,24.0
29580,23.2
29640,24.6
29700,25.2
29760,23.4
29820,23.6
29880,23.6
29940,25.4
30000,24.8
30060,23.0
30120,23.4
30180,24.4
30240,26.0
30300,23.8
30360,25.0
30420,25.0
