#Steps,score
600,1.4
1200,1.8
1800,2.2
2400,2.4
3000,1.6
3600,1.2
4200,1.8
4800,0.6
5400,1.4
6000,2.2
6600,7.2
7200,13.4
7800,12.2
8400,15.2
9000,13.2
9600,17.0
10200,19.4
10800,21.0
11400,20.6
12000,22.0
12600,21.2
13200,20.2
13800,19.4
14400,19.0
15000,20.4
15600,20.2
16200,20.0
16800,19.6
17400,21.2
18000,20.4
18600,22.4
19200,21.6
19800,20.6
20400,20.6
21000,20.4
21600,19.4
22200,21.0
22800,20.6
23400,19.2
24000,21.4
24600,22.4
25200,20.8
25800,21.2
26400,22.6
27000,20.4
27600,21.0
28200,21.2
28800,21.8
29400,22.0
30000,21.8
