#Steps,score
600,0.6
1200,1.0
1800,1.2
2400,0.8
3000,3.8
3600,2.6
4200,1.6
4800,3.2
5400,3.4
6000,8.4
6600,19.0
7200,23.4
7800,24.2
8400,25.8
9000,23.6
9600,25.4
10200,25.4
10800,24.8
11400,23.6
12000,24.4
12600,25.8
13200,25.2
13800,26.4
14400,25.2
15000,25.8
15600,26.0
16200,26.0
16800,25.0
17400,25.4
18000,26.2
18600,25.8
19200,27.0
19800,25.6
20400,27.0
21000,26.4
21600,25.8
22200,25.4
22800,25.2
23400,25.2
24000,25.4
24600,26.6
25200,27.8
25800,26.4
26400,24.4
27000,25.0
27600,26.4
28200,25.0
28800,26.4
29400,26.4
30000,26.2
30600,23.4
31200,26.0
31800,25.4
32400,24.8
33000,24.2
33600,27.2
34200,24.6
34800,26.4
35400,26.2
36000,26.2
36600,25.2
37200,26.2
37800,25.4
38400,25.4
39000,26.4
39600,25.8
40200,23.8
40800,26.6
41400,24.4
42000,25.4
42600,26.4
43200,27.0
43800,25.2
44400,25.8
45000,25.8
45600,26.2
46200,27.0
46800,25.6
47400,26.2
48000,25.8
48600,24.4
49200,27.4
49800,25.0
50400,24.8
51000,25.0
51600,25.8
52200,26.8
52800,26.8
53400,25.0
54000,25.0
54600,25.2
55200,25.8
55800,24.4
56400,25.6
57000,25.2
57600,25.0
58200,26.0
58800,25.2
59400,25.6
60000,25.2
