#Steps,score
60,1.2
120,1.0
180,0.8
240,1.6
300,1.4
360,0.4
420,1.0
480,1.8
540,1.2
600,1.2
660,0.6
720,0.8
780,1.2
840,1.8
900,0.8
960,0.4
1020,1.0
1080,1.6
1140,0.8
1200,1.0
1260,0.6
1320,1.0
1380,1.4
1440,0.6
1500,1.8
1560,0.8
1620,1.4
1680,1.0
1740,1.0
1800,1.0
1860,0.8
1920,1.4
1980,1.2
2040,0.8
2100,0.4
2160,1.2
2220,1.2
2280,1.2
2340,2.2
2400,1.4
2460,1.2
2520,1.0
2580,1.2
2640,1.0
2700,0.8
2760,2.2
2820,1.0
2880,1.2
2940,0.8
3000,1.4
3060,0.8
3120,1.4
3180,1.2
3240,1.2
3300,1.0
3360,1.4
3420,1.0
3480,1.2
3540,2.6
3600,0.8
3660,1.4
3720,0.8
3780,1.0
3840,1.8
3900,0.6
3960,1.0
4020,1.2
4080,2.0
4140,1.6
4200,1.2
4260,1.0
4320,0.8
4380,0.4
4440,1.0
4500,2.0
4560,1.2
4620,1.4
4680,0.8
4740,0.8
4800,0.8
4860,1.4
4920,1.8
4980,0.6
5040,1.0
5100,0.8
5160,1.2
5220,1.0
5280,0.0
5340,2.0
5400,0.8
5460,1.4
5520,2.2
5580,1.8
5640,1.2
5700,1.0
5760,1.2
5820,0.4
5880,1.2
5940,1.6
6000,0.8
6060,1.2
6120,1.6
6180,1.4
6240,1.0
6300,1.2
6360,1.2
6420,1.4
6480,1.0
6540,1.0
6600,0.4
6660,2.4
6720,1.2
6780,0.8
6840,1.4
6900,0.8
6960,1.2
7020,2.0
7080,1.6
7140,1.0
7200,2.0
7260,1.0
7320,1.8
7380,1.2
7440,1.4
7500,2.0
7560,1.6
7620,1.8
7680,1.2
7740,0.2
7800,0.8
7860,1.2
7920,1.4
7980,1.6
8040,2.2
8100,1.4
8160,1.2
8220,1.2
8280,1.8
8340,2.2
8400,1.0
8460,0.6
8520,1.6
8580,2.4
8640,1.6
8700,0.4
8760,2.2
8820,0.4
8880,0.8
8940,2.2
9000,1.4
9060,1.4
9120,0.6
9180,1.4
9240,1.6
9300,1.2
9360,1.4
9420,1.4
9480,1.2
9540,2.4
9600,1.0
9660,2.0
9720,1.8
9780,1.8
9840,2.6
9900,2.2
9960,1.6
10020,1.2
10080,1.4
10140,1.6
10200,1.2
10260,1.2
10320,1.4
10380,1.2
10440,1.0
10500,2.6
10560,1.6
10620,1.0
10680,1.4
10740,0.6
10800,2.0
10860,1.0
10920,0.8
10980,0.6
11040,1.2
11100,1.2
11160,1.6
11220,0.6
11280,1.0
11340,1.8
11400,1.0
11460,0.8
11520,1.6
11580,1.0
11640,0.8
11700,2.2
11760,1.6
11820,2.2
11880,1.8
11940,1.0
12000,1.4
12060,2.0
12120,1.8
12180,1.2
12240,1.0
12300,1.8
12360,1.2
12420,2.4
12480,2.0
12540,1.4
12600,2.0
12660,0.8
12720,1.0
12780,1.2
12840,1.6
12900,1.6
12960,1.6
13020,1.0
13080,1.0
13140,2.0
13200,1.4
13260,1.6
13320,1.6
13380,1.4
13440,1.6
13500,1.2
13560,1.6
13620,1.4
13680,1.0
13740,1.2
13800,1.2
13860,1.8
13920,2.6
13980,0.6
14040,1.4
14100,2.0
14160,1.2
14220,1.2
14280,1.2
14340,1.2
14400,1.6
14460,2.0
14520,1.8
14580,1.8
14640,1.8
14700,2.2
14760,2.4
14820,1.6
14880,1.0
14940,0.6
15000,2.4
15060,2.8
15120,1.0
15180,2.0
15240,3.2
15300,2.2
15360,2.0
15420,2.0
15480,1.8
15540,2.0
15600,1.0
15660,2.4
15720,1.4
15780,1.8
15840,2.2
15900,2.0
15960,1.6
16020,2.4
16080,1.6
16140,1.6
16200,1.8
16260,2.6
16320,2.2
16380,1.6
16440,2.0
16500,0.8
16560,1.2
16620,2.8
16680,2.6
16740,2.0
16800,2.2
16860,2.2
16920,1.0
16980,1.6
17040,1.8
17100,2.2
17160,2.6
17220,2.4
17280,1.8
17340,2.2
17400,3.2
17460,2.0
17520,2.8
17580,2.4
17640,3.0
17700,3.4
17760,2.4
17820,2.0
17880,2.8
17940,4.4
18000,3.2
18060,2.8
18120,2.6
18180,1.6
18240,2.0
18300,2.2
18360,2.0
18420,1.8
18480,1.6
18540,1.4
18600,0.4
18660,1.4
18720,1.6
18780,0.8
18840,1.2
18900,0.6
18960,1.6
19020,2.4
19080,1.6
19140,1.6
19200,1.8
19260,1.4
19320,2.0
19380,1.4
19440,2.4
19500,2.2
19560,1.6
19620,1.4
19680,2.0
19740,2.0
19800,2.2
19860,1.8
19920,2.2
19980,1.6
20040,2.0
20100,2.2
20160,1.4
20220,1.0
20280,1.6
20340,1.4
20400,2.4
20460,1.4
20520,0.8
20580,2.4
20640,2.6
20700,1.8
20760,2.6
20820,1.6
20880,1.0
20940,2.0
21000,2.2
21060,2.0
21120,2.4
21180,1.6
21240,1.8
21300,1.4
21360,3.0
21420,2.0
21480,1.4
21540,1.2
21600,1.6
21660,2.0
21720,2.2
21780,2.2
21840,2.6
21900,2.0
21960,2.2
22020,1.6
22080,2.4
22140,1.8
22200,1.0
22260,2.6
22320,2.6
22380,1.2
22440,2.4
22500,2.8
22560,3.0
22620,2.8
22680,3.2
22740,2.2
22800,2.0
22860,2.8
22920,3.2
22980,2.8
23040,1.8
23100,3.4
23160,3.0
23220,2.0
23280,4.2
23340,3.8
23400,3.8
23460,5.0
23520,5.2
23580,5.2
23640,6.6
23700,7.2
23760,6.6
23820,8.6
23880,8.2
23940,9.6
24000,10.0
24060,10.6
24120,12.0
24180,12.2
24240,12.0
24300,12.6
24360,13.6
24420,16.0
24480,13.8
24540,17.2
24600,17.4
24660,19.0
24720,19.4
24780,21.0
24840,20.0
24900,19.2
24960,20.4
25020,20.2
25080,20.2
25140,20.4
25200,20.0
25260,21.6
25320,21.2
25380,22.4
25440,22.4
25500,21.4
25560,22.8
25620,21.8
25680,20.8
25740,23.0
25800,24.2
25860,24.4
25920,21.8
25980,21.8
26040,22.2
26100,23.6
26160,23.4
26220,24.4
26280,22.8
26340,21.2
26400,23.6
26460,24.4
26520,23.2
26580,23.8
26640,25.6
26700,23.8
26760,23.2
26820,23.0
26880,24.0
26940,23.4
27000,24.0
27060,22.6
27120,22.2
27180,24.4
27240,24.0
27300,22.8
27360,24.4
27420,22.6
27480,24.0
27540,23.2
27600,23.8
27660,23.8
27720,24.0
27780,23.4
27840,22.8
27900,24.8
27960,24.2
28020,24.4
28080,23.0
28140,22.8
28200,23.4
28260,24.0
28320,22.6
28380,23.8
28440,23.8
28500,24.2
28560,24.6
28620,24.2
28680,24.4
28740,24.4
28800,25.0
28860,25.4
28920,25.2
28980,24.8
29040,24.4
29100,23.2
29160,24.4
29220,23.8
29280,23.6
29340,25.4
29400,23.8
29460,24.4
29520,23.0
29580,24.8
29640,25.6
29700,24.2
29760,25.2
29820,25.0
29880,25.8
29940,24.8
30000,25.0
30060,22.8
30120,25.8
30180,26.2
30240,25.2
30300,25.0
30360,24.8
30420,26.0
30480,24.6
30540,25.4
30600,24.0
30660,25.0
30720,26.2
30780,24.2
30840,24.6
30900,25.0
30960,24.4
31020,23.8
31080,24.0
31140,23.6
31200,24.0
31260,23.8
31320,24.2
31380,23.6
31440,23.6
31500,24.2
31560,24.8
31620,23.6
31680,23.4
31740,23.6
31800,22.6
31860,24.2
31920,22.8
31980,22.6
32040,22.6
32100,22.0
32160,21.4
32220,23.2
32280,25.0
32340,22.6
32400,23.2
32460,23.6
32520,23.2
32580,24.2
32640,24.0
32700,24.2
32760,24.2
32820,25.0
32880,23.4
32940,23.6
33000,23.0
33060,24.4
33120,23.0
33180,26.2
33240,24.2
33300,24.2
33360,24.4
33420,25.6
33480,24.8
33540,23.2
33600,23.8
33660,24.8
33720,24.4
33780,23.8
33840,24.4
33900,25.2
33960,24.4
34020,25.0
34080,23.8
34140,23.0
34200,23.8
34260,25.8
34320,24.2
34380,24.6
34440,24.8
34500,25.0
34560,24.8
34620,24.8
34680,23.0
34740,23.2
34800,25.6
34860,23.8
34920,24.4
34980,25.0
35040,23.4
35100,24.0
35160,25.4
35220,25.8
35280,25.2
35340,23.8
35400,24.6
35460,22.6
35520,24.4
35580,24.6
35640,24.8
35700,24.2
35760,24.8
35820,24.6
35880,24.2
35940,25.6
36000,24.4
36060,24.2
36120,24.4
36180,25.0
36240,25.2
36300,23.4
36360,24.4
36420,23.8
36480,24.6
36540,24.0
36600,24.6
36660,24.6
36720,23.0
36780,25.2
36840,24.6
36900,23.6
36960,23.2
37020,23.6
37080,22.6
37140,22.2
37200,22.2
37260,22.0
37320,23.6
37380,22.6
37440,23.2
37500,23.0
37560,22.2
37620,23.2
37680,22.4
37740,23.2
37800,22.6
37860,22.2
37920,22.8
37980,23.8
38040,23.6
38100,22.8
38160,24.0
38220,23.8
38280,24.4
38340,24.2
38400,23.8
38460,24.8
38520,23.0
38580,23.4
38640,24.4
38700,24.8
38760,24.4
38820,25.4
38880,23.6
38940,23.0
39000,24.8
39060,24.0
39120,24.6
39180,22.6
39240,23.6
39300,26.0
39360,23.6
39420,24.8
39480,24.8
39540,25.6
39600,24.6
39660,23.0
39720,25.6
39780,25.0
39840,24.8
39900,22.8
39960,23.2
40020,23.8
40080,23.4
40140,23.2
40200,22.8
40260,25.0
40320,24.2
40380,23.6
40440,23.4
40500,24.8
40560,23.8
40620,24.2
40680,23.2
40740,23.6
40800,24.2
40860,24.2
40920,22.8
40980,23.2
41040,23.2
41100,22.2
41160,22.2
41220,22.4
41280,23.0
41340,23.8
41400,22.0
41460,22.0
41520,23.2
41580,25.0
41640,22.0
41700,23.6
41760,23.8
41820,22.8
41880,24.2
41940,23.8
42000,23.6
42060,23.2
42120,24.4
42180,23.2
42240,23.8
42300,23.8
42360,24.6
42420,24.2
42480,24.4
42540,22.2
42600,24.6
42660,23.0
42720,25.2
42780,23.0
42840,22.0
42900,22.8
42960,23.0
43020,24.6
43080,21.6
43140,22.2
43200,23.4
43260,22.6
43320,23.2
43380,22.0
43440,23.0
43500,23.6
43560,22.8
43620,22.0
43680,23.0
43740,25.6
43800,23.4
43860,23.6
43920,23.0
43980,24.4
44040,22.8
44100,24.2
44160,25.0
44220,24.8
44280,24.0
44340,23.8
44400,24.8
44460,24.6
44520,26.2
44580,25.2
44640,24.6
44700,25.8
44760,23.2
44820,23.6
44880,23.8
44940,24.6
45000,24.0
45060,23.6
45120,24.2
45180,25.4
45240,23.0
45300,24.2
45360,25.2
45420,24.0
45480,24.2
45540,25.4
45600,24.8
45660,23.8
45720,23.4
45780,24.4
45840,24.2
45900,24.6
45960,24.2
46020,22.8
46080,22.8
46140,23.4
46200,23.6
46260,26.2
46320,25.2
46380,24.8
46440,24.0
46500,23.4
46560,23.8
46620,24.2
46680,25.4
46740,24.8
46800,24.4
46860,24.6
46920,25.2
46980,26.0
47040,24.4
47100,24.4
47160,23.8
47220,24.2
47280,23.4
47340,24.8
47400,23.6
47460,25.6
47520,23.8
47580,24.4
47640,25.6
47700,24.2
47760,24.8
47820,24.8
47880,25.8
47940,25.0
48000,24.0
48060,24.8
48120,26.4
48180,24.0
48240,24.6
48300,24.6
48360,23.2
48420,24.4
48480,23.8
48540,24.2
48600,26.6
48660,24.8
48720,25.0
48780,25.2
48840,24.8
48900,24.8
48960,24.6
49020,24.2
49080,24.8
49140,24.6
49200,24.0
49260,25.2
49320,25.0
49380,26.6
49440,24.8
49500,25.0
49560,24.0
49620,23.2
49680,24.2
49740,24.2
49800,24.2
49860,25.4
49920,24.6
49980,24.8
50040,25.0
50100,23.6
50160,25.2
50220,25.8
50280,23.4
50340,25.8
50400,25.6
50460,24.0
50520,26.0
50580,25.2
50640,24.0
50700,24.0
50760,24.8
50820,23.8
50880,24.8
50940,24.8
51000,26.2
51060,23.8
51120,25.4
51180,23.6
51240,23.8
51300,23.8
51360,23.4
51420,24.8
51480,24.4
51540,24.4
51600,23.8
51660,26.0
51720,23.6
51780,24.0
51840,24.0
51900,22.6
51960,24.8
52020,24.4
52080,23.6
52140,24.2
52200,23.8
52260,24.6
52320,24.2
52380,24.2
52440,22.8
52500,24.0
52560,25.0
52620,24.0
52680,24.6
52740,24.2
52800,24.0
52860,24.2
52920,25.2
52980,23.2
53040,22.4
53100,24.6
53160,23.8
53220,25.8
53280,25.8
53340,24.6
53400,24.2
53460,23.8
53520,24.2
53580,25.4
53640,25.0
53700,24.8
53760,23.4
53820,23.8
53880,25.2
53940,23.2
54000,25.4
54060,25.6
54120,26.0
54180,24.6
54240,23.2
54300,25.2
54360,23.0
54420,24.0
54480,23.4
54540,24.8
54600,24.0
54660,23.4
54720,23.4
54780,24.0
54840,24.0
54900,25.2
54960,23.6
55020,23.2
55080,25.4
55140,24.2
55200,25.2
55260,24.2
55320,24.8
55380,25.0
55440,24.4
55500,23.4
55560,25.8
55620,24.8
55680,23.6
55740,23.2
55800,24.4
55860,24.6
55920,23.2
55980,23.4
56040,24.2
56100,23.2
56160,22.6
56220,24.4
56280,24.6
56340,22.4
56400,23.2
56460,23.4
56520,25.0
56580,22.4
56640,24.0
56700,23.0
56760,25.2
56820,24.6
56880,25.4
56940,24.0
57000,25.0
57060,24.2
57120,25.2
57180,23.6
57240,23.0
57300,25.2
57360,24.6
57420,23.2
57480,25.0
57540,23.6
57600,26.2
57660,23.4
57720,24.0
57780,24.4
57840,24.6
57900,25.2
57960,24.8
58020,25.2
58080,24.8
58140,24.6
58200,25.2
58260,24.6
58320,25.8
58380,24.0
58440,24.8
58500,24.8
58560,23.2
58620,25.6
58680,24.8
58740,24.6
58800,26.8
58860,24.2
58920,25.2
58980,25.8
59040,26.6
59100,25.0
59160,24.2
59220,24.0
59280,23.8
59340,23.6
59400,25.0
59460,23.8
59520,24.8
59580,24.0
59640,24.4
59700,23.0
59760,23.8
59820,24.4
59880,25.2
59940,24.4
60000,22.8
60060,24.8
60120,23.6
60180,23.6
60240,22.6
60300,25.2
60360,22.6
60420,25.2
60480,24.0
60540,24.4
60600,24.4
60660,24.6
60720,24.4
60780,25.4
60840,24.8
60900,25.0
60960,24.0
61020,23.6
61080,24.4
61140,24.0
61200,25.2
61260,23.6
61320,22.8
61380,23.6
61440,24.2
61500,25.0
61560,25.2
61620,24.6
61680,23.4
61740,23.6
61800,24.6
61860,23.8
61920,23.2
61980,22.6
62040,23.4
62100,22.4
