#Steps,score
60,0.4
120,1.6
180,0.8
240,1.4
300,1.2
360,1.0
420,1.2
480,1.2
540,1.0
600,0.6
660,1.2
720,1.6
780,1.6
840,0.8
900,1.0
960,2.0
1020,1.2
1080,0.8
1140,1.2
1200,1.2
1260,1.0
1320,1.0
1380,1.4
1440,1.6
1500,0.8
1560,1.4
1620,1.2
1680,0.6
1740,1.4
1800,1.2
1860,0.2
1920,1.0
1980,1.4
2040,1.4
2100,1.0
2160,0.8
2220,0.6
2280,0.6
2340,2.0
2400,1.4
2460,1.6
2520,1.2
2580,1.2
2640,0.2
2700,0.2
2760,0.8
2820,0.4
2880,1.4
2940,1.4
3000,0.8
3060,1.0
3120,1.0
3180,0.6
3240,1.4
3300,1.2
3360,1.2
3420,1.4
3480,2.2
3540,1.2
3600,1.2
3660,2.0
3720,1.4
3780,1.2
3840,0.8
3900,1.2
3960,0.4
4020,1.2
4080,1.6
4140,1.6
4200,1.0
4260,0.8
4320,0.8
4380,1.6
4440,1.4
4500,1.2
4560,1.8
4620,1.8
4680,0.8
4740,1.6
4800,1.2
4860,1.0
4920,1.2
4980,1.2
5040,0.6
5100,1.2
5160,0.8
5220,0.6
5280,1.2
5340,1.4
5400,0.6
5460,0.4
5520,3.0
5580,1.6
5640,1.4
5700,2.4
5760,0.6
5820,1.2
5880,0.8
5940,1.2
6000,1.2
6060,0.6
6120,1.0
6180,2.2
6240,1.0
6300,1.6
6360,1.0
6420,1.2
6480,0.6
6540,1.2
6600,1.0
6660,1.0
6720,1.0
6780,1.0
6840,1.4
6900,1.2
6960,1.4
7020,1.6
7080,0.8
7140,2.2
7200,1.4
7260,1.0
7320,1.0
7380,1.2
7440,0.4
7500,1.4
7560,0.8
7620,1.4
7680,2.2
7740,1.8
7800,1.4
7860,1.6
7920,0.8
7980,0.4
8040,0.8
8100,0.8
8160,1.4
8220,1.6
8280,0.6
8340,1.0
8400,1.2
8460,1.2
8520,2.0
8580,1.8
8640,1.0
8700,1.0
8760,0.8
8820,1.2
8880,1.2
8940,1.4
9000,0.8
9060,0.6
9120,3.4
9180,1.0
9240,0.8
9300,1.8
9360,0.8
9420,2.0
9480,2.4
9540,0.4
9600,0.8
9660,2.0
9720,2.0
9780,1.0
9840,1.8
9900,1.2
9960,1.4
10020,2.2
10080,1.4
10140,3.0
10200,2.2
10260,0.8
10320,0.4
10380,0.8
10440,0.4
10500,1.8
10560,1.4
10620,2.8
10680,2.2
10740,1.0
10800,1.2
10860,1.0
10920,2.0
10980,1.0
11040,0.6
11100,1.6
11160,0.8
11220,1.4
11280,1.6
11340,1.0
11400,2.0
11460,2.0
11520,1.2
11580,2.0
11640,0.8
