#Steps,score
60,0.6
120,2.6
180,0.6
240,1.2
300,1.6
360,1.6
420,1.0
480,1.0
540,2.0
600,1.0
660,1.4
720,0.8
780,1.2
840,0.4
900,0.8
960,1.0
1020,1.4
1080,1.6
1140,2.0
1200,0.8
1260,1.2
1320,0.4
1380,1.4
1440,1.4
1500,2.0
1560,1.8
1620,2.0
1680,0.2
1740,1.8
1800,1.0
1860,1.4
1920,0.2
1980,0.8
2040,0.6
2100,0.6
2160,1.2
2220,1.4
2280,0.2
2340,0.6
2400,2.8
2460,1.0
2520,0.6
2580,1.6
2640,1.2
2700,2.0
2760,1.0
2820,1.4
2880,1.8
2940,0.8
3000,0.6
3060,1.2
3120,1.2
3180,1.6
3240,2.0
3300,1.0
3360,1.0
3420,0.2
3480,1.8
3540,0.6
3600,0.8
3660,1.0
3720,1.2
3780,0.4
3840,1.4
3900,0.8
3960,0.8
4020,1.2
4080,0.8
4140,1.6
4200,1.0
4260,2.2
4320,0.4
4380,0.8
4440,1.0
4500,1.2
4560,1.4
4620,0.8
4680,0.6
4740,0.8
4800,1.4
4860,1.0
4920,1.4
4980,0.8
5040,1.0
5100,1.0
5160,1.6
5220,0.8
5280,1.0
5340,1.6
5400,1.6
5460,0.8
5520,0.8
5580,1.0
5640,1.8
5700,1.0
5760,0.8
5820,1.0
5880,1.4
5940,1.6
6000,0.8
6060,1.2
6120,1.2
6180,2.4
6240,1.0
6300,2.0
6360,1.2
6420,1.6
6480,1.0
6540,1.0
6600,1.4
6660,1.0
6720,1.4
6780,1.0
6840,1.2
6900,1.6
6960,0.6
7020,1.6
7080,1.0
7140,1.6
7200,1.2
7260,1.2
7320,1.4
7380,0.8
7440,1.2
7500,1.4
7560,2.6
7620,1.2
7680,0.8
7740,1.0
7800,1.2
7860,1.2
7920,0.8
7980,1.2
8040,1.2
8100,1.0
8160,1.0
8220,0.4
8280,1.2
8340,2.2
8400,0.8
8460,0.6
8520,1.8
8580,1.8
8640,0.8
8700,0.8
8760,1.6
8820,1.4
8880,1.8
8940,1.8
9000,1.4
9060,1.2
9120,1.0
9180,2.2
9240,1.8
9300,1.8
9360,1.4
9420,1.8
9480,1.8
9540,0.8
9600,2.0
9660,1.2
9720,1.4
9780,2.6
9840,1.4
9900,1.2
9960,1.4
10020,1.0
10080,1.2
10140,1.0
10200,1.4
10260,0.6
10320,1.4
10380,0.8
10440,2.6
10500,1.0
10560,1.0
10620,1.4
10680,1.2
10740,0.6
10800,1.0
10860,1.6
10920,1.2
10980,1.4
11040,1.6
11100,2.8
11160,0.8
11220,1.8
11280,1.4
11340,1.4
11400,1.2
11460,1.2
11520,2.2
11580,1.2
11640,1.4
11700,0.8
11760,0.8
11820,1.2
11880,2.0
11940,2.0
12000,1.8
12060,2.0
12120,2.4
12180,1.8
12240,2.4
12300,2.4
12360,0.8
12420,2.2
12480,2.0
12540,1.6
12600,1.8
12660,1.0
12720,2.2
12780,3.0
12840,2.6
12900,2.2
12960,3.2
13020,2.4
13080,3.0
13140,2.0
13200,3.0
13260,3.2
13320,2.4
13380,2.6
13440,2.4
13500,3.6
13560,4.0
13620,2.2
13680,3.8
13740,3.4
13800,3.6
13860,5.2
13920,4.6
13980,4.8
14040,5.2
14100,5.4
14160,7.0
14220,10.0
14280,11.2
14340,11.2
14400,13.2
14460,11.8
14520,10.4
14580,11.8
14640,12.4
14700,13.8
14760,14.2
14820,14.8
