#Steps,score
60,2.0
120,1.4
180,0.6
240,0.8
300,1.2
360,1.4
420,1.4
480,1.4
540,1.4
600,0.6
660,1.0
720,0.8
780,1.0
840,1.2
900,1.4
960,0.8
1020,1.0
1080,0.8
1140,0.8
1200,1.2
1260,0.8
1320,1.4
1380,1.4
1440,0.8
1500,0.8
1560,1.6
1620,2.2
1680,1.0
1740,0.0
1800,0.8
1860,1.2
1920,1.2
1980,0.8
2040,1.2
2100,0.6
2160,1.2
2220,0.8
2280,0.8
2340,1.0
2400,0.8
2460,1.0
2520,2.0
2580,1.0
2640,1.0
2700,0.8
2760,0.6
2820,1.0
2880,1.2
2940,0.6
3000,1.6
3060,2.0
3120,1.6
3180,2.0
3240,0.8
3300,1.4
3360,0.4
3420,1.4
3480,1.0
3540,1.6
3600,1.0
3660,1.2
3720,1.4
3780,0.8
3840,0.6
3900,1.6
3960,1.6
4020,0.8
4080,1.8
4140,2.0
4200,0.2
4260,1.2
4320,0.8
4380,1.0
4440,0.8
4500,1.2
4560,0.6
4620,0.6
4680,2.0
4740,0.4
4800,1.4
4860,2.0
4920,1.2
4980,0.6
5040,0.8
5100,1.2
5160,1.8
5220,2.2
5280,1.4
5340,1.2
5400,0.8
5460,2.2
5520,1.2
5580,1.0
5640,1.6
5700,1.8
5760,1.6
5820,1.4
5880,2.2
5940,1.0
6000,1.0
6060,1.0
6120,2.0
6180,1.4
6240,1.2
6300,0.8
6360,1.8
6420,2.0
6480,1.4
6540,1.0
6600,1.2
6660,1.2
6720,0.8
6780,1.0
6840,1.6
6900,1.2
6960,1.0
7020,1.2
7080,1.8
7140,1.2
7200,1.2
7260,1.8
7320,0.6
7380,1.0
7440,1.2
7500,1.8
7560,1.2
7620,1.2
7680,1.0
7740,1.6
7800,0.8
7860,1.4
7920,2.2
7980,1.4
8040,1.2
8100,1.4
8160,1.4
8220,1.0
8280,0.8
8340,2.0
8400,1.6
8460,1.0
8520,2.4
8580,2.8
8640,0.4
8700,2.4
8760,0.8
8820,1.6
8880,2.0
8940,0.6
9000,1.2
9060,1.2
9120,1.0
9180,1.4
9240,1.8
9300,1.4
9360,0.6
9420,1.0
9480,1.6
9540,1.0
9600,0.8
9660,0.8
9720,1.2
9780,2.0
9840,0.6
9900,1.8
9960,1.4
10020,1.6
10080,1.8
10140,1.8
10200,0.8
10260,1.2
10320,0.8
10380,0.2
10440,1.0
10500,1.6
10560,2.0
10620,0.8
10680,1.4
10740,1.4
10800,1.2
10860,0.6
10920,1.0
10980,1.2
11040,1.2
11100,1.8
11160,1.4
11220,2.0
11280,0.8
11340,1.0
11400,1.4
11460,1.4
11520,1.4
11580,1.4
11640,2.2
11700,1.4
11760,1.0
11820,1.0
11880,1.6
11940,0.8
12000,1.8
12060,0.4
12120,2.0
12180,1.0
12240,0.8
12300,1.8
12360,1.2
12420,1.0
12480,1.2
12540,1.0
12600,1.6
12660,1.0
12720,1.8
12780,0.6
12840,0.8
12900,1.8
12960,1.8
13020,1.2
13080,2.0
13140,1.0
13200,1.2
13260,1.6
13320,1.4
13380,1.6
13440,1.6
13500,2.4
13560,1.0
13620,1.6
13680,1.4
13740,1.2
13800,1.8
13860,1.4
13920,1.8
13980,1.6
14040,1.2
14100,1.8
14160,1.6
14220,0.6
14280,1.4
14340,1.2
14400,1.6
14460,1.8
14520,1.0
14580,1.8
14640,1.4
14700,1.0
14760,1.0
14820,0.8
14880,0.8
14940,2.2
15000,0.6
15060,0.8
15120,2.0
15180,2.6
15240,0.6
15300,1.0
15360,1.6
15420,1.2
15480,2.2
15540,2.2
15600,1.2
15660,1.4
15720,1.2
15780,1.6
15840,1.4
15900,0.6
15960,2.0
16020,1.8
16080,2.0
16140,1.2
16200,1.4
16260,1.0
16320,1.6
16380,1.2
16440,2.2
16500,0.6
16560,1.0
16620,1.4
16680,1.4
16740,0.6
16800,2.0
16860,2.4
16920,1.0
16980,0.4
17040,1.2
17100,2.0
17160,1.0
17220,1.4
17280,1.2
17340,1.4
17400,1.8
17460,1.4
17520,1.2
17580,1.4
17640,1.0
17700,1.2
17760,1.0
17820,1.0
17880,1.2
17940,2.6
18000,1.4
18060,1.2
18120,2.4
18180,1.0
18240,1.4
18300,1.8
18360,1.4
18420,2.0
18480,1.0
18540,2.0
18600,1.6
18660,0.2
18720,1.4
18780,1.8
18840,1.2
18900,1.6
18960,1.4
19020,1.2
19080,0.4
19140,1.6
19200,2.4
19260,1.0
19320,1.6
19380,1.8
19440,1.4
19500,1.2
19560,1.6
19620,1.4
19680,1.6
19740,0.4
19800,0.8
19860,0.6
19920,1.4
19980,1.4
20040,1.0
20100,1.6
20160,1.0
20220,0.8
20280,1.6
20340,2.0
20400,1.8
20460,2.2
20520,1.6
20580,2.4
20640,1.6
20700,2.0
20760,1.0
20820,1.2
20880,2.8
20940,1.2
21000,1.2
21060,0.8
