#Steps,score
60,1.2
120,2.2
180,1.4
240,1.6
300,1.8
360,1.8
420,1.2
480,1.2
540,1.2
600,1.4
660,1.2
720,1.0
780,1.4
840,0.4
900,2.4
960,1.4
1020,2.6
1080,2.0
1140,2.2
1200,0.8
1260,0.4
1320,1.6
1380,1.0
1440,0.6
1500,1.6
1560,1.8
1620,1.4
1680,1.4
1740,2.0
1800,1.4
1860,1.4
1920,1.8
1980,1.0
2040,1.6
2100,1.4
2160,1.4
2220,0.6
2280,1.4
2340,1.4
2400,0.4
2460,1.8
2520,1.0
2580,1.0
2640,1.0
2700,2.6
2760,1.6
2820,1.8
2880,1.4
2940,1.8
3000,1.0
3060,1.6
3120,1.2
3180,2.0
3240,0.6
3300,0.6
3360,2.4
3420,1.4
3480,0.6
3540,1.0
3600,0.8
3660,1.2
3720,2.4
3780,0.4
3840,1.2
3900,1.2
3960,2.2
4020,1.2
4080,1.4
4140,1.2
4200,2.4
4260,1.4
4320,1.8
4380,1.6
4440,1.8
4500,1.2
4560,1.4
4620,1.4
4680,3.0
4740,2.0
4800,1.8
4860,2.4
4920,1.6
4980,1.6
5040,2.2
5100,2.8
5160,1.8
5220,2.6
5280,3.6
5340,2.0
5400,1.6
5460,2.0
5520,1.8
5580,2.8
5640,2.4
5700,2.4
5760,2.8
5820,2.0
5880,2.0
5940,2.8
6000,3.8
6060,3.6
6120,3.8
6180,4.8
6240,6.6
6300,10.8
6360,13.0
6420,20.0
6480,21.2
6540,22.8
6600,22.8
6660,22.2
6720,21.2
6780,20.2
6840,20.6
6900,21.2
6960,19.2
7020,20.6
7080,19.8
7140,20.6
7200,20.0
7260,19.8
7320,19.2
7380,20.8
7440,18.8
7500,19.8
7560,19.2
7620,20.8
7680,19.8
7740,21.4
7800,21.0
7860,20.4
7920,21.6
7980,21.8
8040,21.8
8100,23.2
8160,21.8
8220,21.4
8280,19.8
8340,23.0
8400,22.0
8460,22.4
8520,21.8
8580,22.6
8640,23.6
8700,20.6
8760,22.4
8820,22.8
8880,22.8
8940,23.2
9000,22.6
9060,22.4
9120,21.4
9180,23.0
9240,24.6
9300,23.6
9360,22.6
9420,23.4
9480,23.8
9540,22.6
9600,23.0
9660,21.8
9720,22.4
9780,23.4
9840,24.0
9900,23.8
9960,23.8
10020,24.8
10080,22.4
10140,23.6
10200,24.2
10260,24.4
10320,23.2
10380,23.6
10440,23.0
10500,24.0
10560,22.6
10620,23.8
10680,24.0
10740,23.8
10800,24.0
10860,24.2
10920,23.8
10980,22.2
11040,22.4
11100,22.8
11160,22.2
11220,24.0
11280,23.8
11340,23.6
11400,22.8
11460,23.8
11520,21.2
11580,23.0
11640,22.8
11700,23.8
11760,24.2
11820,23.6
11880,22.6
11940,23.4
12000,21.8
12060,21.8
12120,21.8
12180,22.8
12240,22.8
12300,24.4
12360,21.6
12420,22.6
12480,22.8
12540,23.6
12600,23.4
12660,22.8
12720,24.2
12780,24.2
12840,22.8
12900,24.4
12960,25.2
13020,25.6
13080,24.4
13140,24.2
13200,23.8
13260,23.0
13320,24.0
13380,22.0
13440,22.4
13500,22.4
13560,22.2
13620,23.4
13680,23.4
13740,23.8
13800,23.6
13860,22.6
13920,24.4
13980,23.8
14040,22.0
14100,24.0
14160,24.2
14220,25.0
14280,24.4
14340,23.0
14400,24.8
14460,23.2
14520,22.6
14580,24.0
14640,24.8
14700,24.6
14760,22.6
14820,24.2
14880,23.0
14940,23.6
15000,25.0
15060,22.6
15120,23.6
15180,24.6
15240,23.2
15300,23.0
15360,23.8
15420,22.4
15480,21.8
15540,23.0
15600,21.2
15660,23.2
15720,25.2
15780,23.6
15840,22.8
15900,21.6
15960,22.6
16020,23.2
16080,23.4
16140,22.8
16200,22.2
16260,24.4
16320,23.8
16380,24.0
16440,24.2
16500,22.4
16560,23.8
16620,22.8
16680,24.2
16740,23.4
16800,24.4
16860,23.2
16920,23.4
16980,23.2
17040,23.8
17100,24.6
17160,23.8
17220,24.2
17280,22.0
17340,24.0
17400,24.2
17460,24.0
17520,22.8
17580,24.2
17640,23.4
17700,23.8
17760,24.2
17820,22.4
17880,22.8
17940,22.6
18000,23.6
18060,22.4
18120,23.6
18180,23.2
18240,23.6
18300,24.2
18360,23.6
18420,24.0
18480,24.2
18540,24.2
18600,23.8
18660,24.4
18720,23.4
18780,23.4
18840,23.8
18900,23.8
18960,23.8
19020,24.4
19080,25.0
19140,24.6
19200,23.0
19260,22.8
19320,23.6
19380,24.0
19440,23.6
19500,24.4
19560,23.8
19620,24.6
19680,23.8
19740,25.4
19800,25.0
19860,24.4
19920,25.4
19980,22.8
20040,23.6
20100,23.6
20160,24.0
20220,23.0
20280,24.4
20340,23.6
20400,23.4
20460,24.2
20520,25.4
20580,23.6
20640,24.6
20700,25.6
20760,23.2
20820,24.8
20880,24.0
20940,23.0
21000,22.6
21060,24.0
21120,23.0
21180,24.6
21240,24.0
21300,23.4
21360,25.0
21420,23.8
21480,23.6
21540,24.8
21600,23.4
21660,23.8
21720,23.6
21780,23.8
21840,25.2
21900,23.8
21960,25.2
22020,24.4
22080,24.4
22140,23.4
22200,24.2
22260,24.8
22320,25.8
22380,23.0
22440,23.6
22500,23.2
