#Steps,score
60,1.2
120,1.0
180,1.0
240,0.8
300,1.4
360,2.2
420,1.0
480,1.0
540,0.4
600,0.6
660,1.0
720,0.8
780,1.2
840,1.4
900,1.2
960,1.0
1020,2.2
1080,1.8
1140,1.0
1200,1.8
1260,1.6
1320,1.0
1380,1.0
1440,0.8
1500,1.2
1560,1.0
1620,2.2
1680,1.6
1740,1.8
1800,1.8
1860,1.2
1920,1.6
1980,1.4
2040,0.6
2100,0.6
2160,0.8
2220,0.2
2280,1.8
2340,0.8
2400,1.4
2460,1.4
2520,1.0
2580,0.8
2640,0.4
2700,1.4
2760,1.4
2820,2.0
2880,0.6
2940,2.2
3000,0.4
3060,1.6
3120,1.0
3180,1.6
3240,0.6
3300,1.0
3360,0.8
3420,1.4
3480,1.2
3540,1.4
3600,0.8
3660,1.6
3720,1.0
3780,0.6
3840,0.8
3900,1.4
3960,1.6
4020,1.2
4080,1.4
4140,1.0
4200,0.4
4260,1.0
4320,1.6
4380,2.6
4440,1.2
4500,1.6
4560,1.0
4620,0.8
4680,1.4
4740,2.2
4800,2.8
4860,1.0
4920,1.4
4980,1.8
5040,0.8
5100,1.4
5160,1.0
5220,0.8
5280,3.0
5340,1.2
5400,0.8
5460,1.0
5520,1.4
5580,2.0
5640,1.2
5700,2.0
5760,1.0
5820,2.0
5880,1.8
5940,0.6
6000,0.8
6060,1.2
6120,1.0
6180,1.8
6240,1.6
6300,1.0
6360,0.6
6420,1.4
6480,0.4
6540,1.6
6600,1.4
6660,1.0
6720,2.0
6780,1.6
6840,1.4
6900,1.6
6960,2.0
7020,1.4
7080,1.2
7140,1.2
7200,3.2
7260,1.8
7320,1.0
7380,2.0
7440,1.8
7500,0.6
7560,1.6
7620,1.6
7680,1.0
7740,1.6
7800,1.8
7860,1.2
7920,0.6
7980,1.0
8040,1.2
8100,1.6
8160,1.0
8220,1.8
8280,0.6
8340,1.2
8400,2.4
8460,0.2
8520,1.2
8580,1.4
8640,1.2
8700,1.0
8760,1.2
8820,1.0
8880,0.6
8940,2.0
9000,2.0
9060,1.4
9120,2.0
9180,2.8
9240,1.4
9300,1.2
9360,0.6
9420,2.4
9480,1.4
9540,0.6
9600,1.2
9660,0.8
9720,1.6
9780,1.2
9840,1.6
9900,2.2
9960,1.8
10020,1.8
10080,1.4
10140,1.2
10200,1.0
10260,1.2
10320,0.2
10380,2.4
10440,2.0
10500,2.0
10560,1.0
10620,1.6
10680,1.2
10740,2.4
10800,2.0
10860,2.0
10920,1.2
10980,1.0
11040,2.0
11100,1.2
11160,1.2
11220,1.0
11280,1.8
11340,2.0
11400,0.6
11460,3.2
11520,0.8
11580,3.4
11640,2.8
11700,1.4
11760,1.6
11820,1.6
11880,2.6
11940,1.8
12000,2.0
12060,1.6
12120,0.6
12180,2.2
12240,2.4
12300,1.8
12360,1.2
12420,1.6
12480,2.6
12540,0.8
12600,1.6
12660,2.2
12720,2.4
12780,2.0
12840,1.8
12900,2.4
12960,1.0
13020,2.8
13080,2.8
13140,3.0
13200,2.4
13260,3.8
13320,2.6
13380,2.8
13440,2.4
13500,2.4
13560,2.8
13620,4.6
13680,2.8
13740,4.0
13800,5.0
13860,3.4
13920,3.2
13980,4.4
14040,5.2
14100,6.4
14160,7.0
14220,10.2
14280,9.2
14340,11.8
14400,12.2
14460,13.0
14520,15.2
14580,15.6
14640,19.0
14700,19.6
14760,19.2
14820,19.6
14880,20.2
14940,20.4
15000,20.2
15060,21.2
15120,22.6
15180,21.0
15240,22.6
15300,21.6
15360,20.8
15420,20.6
15480,21.4
15540,22.0
15600,21.0
15660,21.6
15720,24.4
15780,22.4
15840,22.0
15900,23.0
15960,21.8
16020,22.2
16080,21.2
16140,22.2
16200,21.6
16260,20.4
16320,21.4
16380,21.2
16440,21.8
16500,20.6
16560,23.0
16620,21.8
16680,23.8
16740,21.8
16800,22.0
16860,22.4
16920,21.0
16980,22.6
17040,21.6
17100,20.0
17160,20.0
17220,19.6
17280,18.4
17340,19.8
17400,21.2
17460,21.2
17520,22.2
17580,22.4
17640,22.0
17700,21.2
17760,23.4
17820,22.0
17880,22.2
17940,22.6
18000,21.2
18060,22.8
18120,22.8
18180,21.6
18240,22.4
18300,22.8
18360,23.2
18420,22.4
18480,22.2
18540,22.8
18600,22.2
18660,21.8
18720,21.8
18780,23.0
18840,24.0
18900,23.6
18960,22.2
19020,22.0
19080,21.2
19140,23.2
19200,24.0
19260,22.4
19320,23.8
19380,22.2
19440,23.0
19500,23.4
19560,22.8
19620,24.4
19680,24.0
19740,24.4
19800,23.8
19860,22.0
19920,22.2
19980,23.4
20040,24.0
20100,24.0
20160,24.8
20220,22.6
20280,25.2
20340,22.8
20400,24.6
20460,24.4
20520,21.8
20580,22.6
20640,21.2
20700,21.8
20760,22.8
20820,23.0
20880,23.4
20940,24.6
21000,24.0
21060,23.4
21120,24.6
21180,26.0
21240,23.0
21300,24.2
21360,23.2
21420,23.6
21480,23.4
21540,24.2
21600,24.2
21660,23.2
21720,23.0
21780,24.6
21840,24.0
21900,24.0
21960,24.6
22020,23.4
22080,25.4
22140,23.4
22200,23.8
22260,23.8
22320,22.6
22380,23.6
22440,25.6
22500,25.0
22560,24.8
22620,25.2
22680,23.8
22740,22.8
22800,23.8
22860,23.8
22920,24.8
22980,22.0
23040,21.2
23100,22.6
23160,22.0
23220,21.8
23280,22.0
23340,22.4
23400,21.2
23460,22.6
23520,24.0
23580,22.8
23640,22.8
23700,23.6
23760,22.6
23820,23.8
23880,22.8
23940,23.8
24000,23.0
24060,23.0
24120,23.2
24180,23.8
24240,24.2
24300,22.6
24360,24.4
24420,22.6
24480,23.2
24540,22.6
24600,24.0
24660,23.2
24720,24.0
24780,24.8
24840,23.0
24900,23.6
24960,25.0
25020,24.6
25080,25.0
25140,24.0
25200,22.4
25260,23.0
25320,23.6
25380,23.2
25440,23.8
25500,24.0
25560,23.0
25620,23.2
25680,24.2
25740,23.8
25800,23.2
25860,25.0
25920,24.6
25980,22.8
26040,24.0
26100,25.0
26160,23.2
26220,23.6
26280,24.6
26340,23.4
26400,24.6
26460,23.2
26520,24.2
26580,26.4
26640,24.8
26700,25.2
26760,23.8
26820,24.6
26880,23.4
26940,24.0
27000,25.0
27060,23.6
27120,24.4
27180,23.0
27240,23.6
27300,22.8
27360,24.6
27420,24.4
27480,22.8
27540,25.2
27600,25.0
27660,25.2
27720,24.6
27780,24.2
27840,24.2
27900,23.6
27960,25.0
28020,23.2
28080,23.4
28140,24.2
28200,24.2
28260,25.0
28320,23.6
28380,24.6
28440,24.0
28500,24.0
28560,25.2
28620,22.6
28680,23.6
28740,23.8
28800,25.6
28860,24.0
28920,25.0
28980,23.6
29040,24.2
29100,25.4
29160,25.0
29220,22.6
29280,23.6
29340,24.4
29400,22.6
29460,23.6
29520,24.6
29580,23.8
29640,24.8
29700,23.8
29760,24.4
29820,24.2
29880,23.2
29940,23.8
30000,23.6
30060,26.0
30120,23.6
30180,22.4
30240,24.2
30300,24.6
30360,22.0
30420,24.8
30480,25.6
30540,24.4
30600,24.4
30660,25.4
30720,24.8
30780,24.0
30840,23.6
30900,23.4
30960,22.8
31020,23.4
31080,22.8
31140,22.2
31200,21.8
31260,23.6
31320,22.8
31380,23.4
31440,23.8
31500,23.8
31560,24.0
31620,25.0
31680,23.6
31740,23.4
31800,23.8
31860,23.2
31920,22.4
31980,24.6
32040,21.2
32100,24.2
32160,22.8
32220,22.0
32280,22.4
32340,24.6
32400,24.2
32460,23.6
32520,24.8
32580,23.0
32640,23.6
32700,23.2
32760,23.8
32820,24.6
32880,23.6
32940,23.2
33000,22.0
33060,23.4
33120,24.0
33180,25.2
33240,21.0
33300,20.8
33360,22.2
33420,23.8
33480,23.4
33540,22.4
33600,21.6
33660,21.4
33720,22.4
33780,22.2
33840,22.0
33900,21.8
33960,21.8
34020,21.4
34080,23.0
34140,22.8
34200,23.2
34260,24.4
34320,22.8
34380,23.6
34440,23.4
34500,22.8
34560,24.2
34620,23.8
34680,24.2
34740,23.2
34800,22.0
34860,24.4
34920,22.0
34980,21.8
35040,24.0
35100,21.6
35160,21.2
35220,24.8
35280,22.0
35340,23.4
35400,22.2
35460,23.4
35520,22.4
35580,23.8
35640,24.0
35700,23.4
35760,24.2
35820,23.0
35880,23.0
35940,22.2
36000,24.6
36060,24.4
36120,24.0
36180,24.2
36240,24.6
36300,24.8
36360,25.4
36420,23.2
36480,22.8
36540,26.0
36600,23.0
36660,24.6
36720,25.2
36780,24.4
36840,25.4
36900,23.8
36960,24.8
37020,25.0
37080,25.2
37140,23.0
37200,25.0
37260,24.4
37320,24.4
37380,25.2
37440,26.6
37500,23.8
37560,24.2
37620,24.2
37680,25.6
37740,23.2
37800,23.8
37860,23.6
37920,22.8
37980,23.6
38040,25.0
38100,23.4
38160,24.6
38220,24.2
38280,25.0
38340,23.6
38400,24.4
38460,23.4
38520,22.0
38580,23.2
38640,24.4
38700,24.0
38760,24.4
38820,24.4
38880,23.6
38940,23.6
39000,24.0
39060,23.8
39120,23.0
39180,24.4
39240,23.4
39300,23.8
39360,23.6
39420,24.6
39480,22.8
39540,24.2
39600,24.0
39660,24.2
39720,24.2
39780,23.2
39840,24.2
39900,25.6
39960,24.8
40020,26.2
40080,23.8
40140,24.4
40200,24.4
40260,25.0
40320,22.8
40380,23.0
40440,23.8
40500,23.8
40560,22.8
40620,22.2
40680,21.0
40740,22.0
40800,23.8
40860,22.8
40920,24.0
40980,24.4
41040,23.4
41100,23.8
41160,22.4
41220,24.0
41280,23.2
41340,22.6
41400,21.4
41460,24.6
41520,23.4
41580,23.4
41640,23.4
41700,22.4
41760,22.6
41820,23.8
41880,24.4
41940,24.4
42000,24.8
42060,22.4
42120,24.2
42180,22.6
42240,24.0
42300,24.0
42360,23.4
42420,21.2
42480,22.6
42540,23.6
42600,23.4
42660,23.2
42720,23.8
42780,24.4
42840,24.4
42900,23.6
42960,25.0
43020,24.4
43080,24.4
43140,24.2
43200,23.8
43260,22.4
43320,23.4
43380,24.6
43440,24.8
43500,23.6
43560,25.0
43620,24.8
43680,25.8
43740,24.2
43800,23.6
43860,23.8
43920,24.4
43980,24.6
44040,23.2
44100,23.6
44160,23.6
44220,25.0
44280,23.6
44340,24.2
44400,23.4
44460,25.6
44520,24.0
44580,23.2
44640,23.6
44700,24.0
44760,24.2
44820,24.0
44880,24.4
44940,23.0
45000,24.0
45060,24.2
45120,23.2
45180,23.8
45240,24.2
45300,23.8
45360,23.0
45420,24.0
45480,23.6
45540,25.2
45600,23.2
45660,24.8
45720,25.0
45780,24.6
45840,25.2
45900,24.4
45960,23.4
46020,24.8
46080,24.6
46140,26.4
46200,25.0
46260,25.2
46320,26.0
46380,24.2
46440,25.0
46500,25.4
46560,25.2
46620,25.8
46680,24.4
46740,25.6
46800,23.8
46860,23.8
46920,24.6
46980,25.0
47040,25.2
47100,25.0
47160,24.6
47220,25.0
47280,24.6
47340,24.4
47400,25.6
47460,25.6
47520,24.6
47580,24.8
47640,24.8
47700,25.8
47760,24.6
47820,26.2
47880,24.4
47940,25.6
48000,25.6
48060,23.8
48120,24.8
48180,24.0
48240,27.2
48300,23.8
48360,25.2
48420,24.4
48480,23.0
48540,24.4
48600,25.0
48660,24.0
48720,23.2
48780,23.2
48840,23.6
48900,25.8
48960,23.4
49020,26.0
49080,24.8
49140,24.8
49200,24.4
49260,25.0
49320,25.6
49380,24.4
49440,24.4
49500,26.2
49560,23.8
49620,24.0
49680,24.8
49740,25.4
49800,25.6
49860,23.2
49920,24.8
49980,24.2
50040,23.4
50100,24.2
50160,25.4
50220,24.6
50280,24.6
50340,24.2
50400,26.0
50460,25.2
50520,24.0
50580,26.2
50640,25.0
50700,25.4
50760,25.2
50820,24.8
50880,24.6
50940,25.2
51000,26.2
51060,25.8
51120,25.2
51180,24.2
51240,25.2
51300,26.2
51360,24.2
51420,24.0
51480,25.4
51540,23.8
51600,23.8
51660,25.4
51720,26.2
51780,24.4
51840,25.2
51900,23.8
51960,23.0
52020,25.4
52080,23.4
52140,25.0
52200,24.4
52260,26.2
52320,24.6
52380,26.0
52440,26.4
52500,23.0
52560,24.8
52620,24.2
52680,23.8
52740,23.8
52800,22.6
52860,24.0
52920,24.4
52980,25.2
53040,21.8
53100,23.2
53160,25.0
53220,24.0
53280,24.0
53340,24.0
53400,21.4
53460,22.8
53520,23.6
53580,23.6
53640,23.2
53700,23.0
53760,23.2
53820,23.6
53880,23.8
53940,24.6
54000,25.0
54060,22.2
54120,24.2
54180,22.6
54240,23.8
54300,23.4
54360,22.6
54420,23.8
54480,23.0
54540,23.0
54600,22.2
54660,22.2
54720,23.4
54780,23.2
54840,23.0
54900,24.4
54960,23.2
55020,24.2
55080,23.0
55140,25.2
55200,23.0
55260,24.8
55320,25.8
55380,23.4
55440,22.8
55500,24.2
55560,25.2
55620,24.2
55680,25.2
55740,25.0
55800,22.0
55860,24.2
55920,24.8
55980,24.6
56040,25.2
56100,26.4
56160,24.2
56220,24.6
56280,23.8
56340,25.6
56400,24.8
56460,23.6
56520,24.8
56580,24.2
56640,24.0
56700,24.0
56760,24.8
56820,23.8
56880,24.2
56940,25.4
57000,26.0
57060,24.6
57120,26.0
57180,25.8
57240,25.4
57300,25.2
57360,26.0
57420,24.6
57480,22.8
57540,26.4
57600,24.4
57660,24.0
57720,23.8
57780,25.6
57840,22.8
57900,24.6
57960,25.2
58020,23.8
58080,22.6
58140,24.0
58200,24.4
58260,24.8
58320,24.2
58380,24.2
58440,25.2
58500,22.0
58560,25.2
58620,23.8
58680,24.0
58740,22.6
58800,23.8
58860,21.8
58920,22.4
58980,23.2
59040,23.0
59100,22.0
59160,20.8
59220,23.8
59280,22.0
59340,23.0
59400,23.2
59460,23.6
59520,25.2
59580,24.0
59640,21.8
59700,23.0
59760,23.8
59820,23.8
59880,21.6
59940,22.4
60000,23.8
60060,25.2
60120,23.6
60180,24.6
60240,25.0
60300,24.2
60360,23.6
60420,24.6
60480,24.4
60540,25.8
60600,25.6
60660,24.6
60720,24.4
60780,24.8
60840,22.0
60900,24.4
60960,24.0
61020,24.2
61080,23.2
61140,22.8
61200,23.2
61260,23.4
61320,21.6
61380,24.2
61440,23.4
61500,22.4
61560,22.4
61620,22.8
61680,24.0
61740,22.4
61800,23.6
61860,25.0
61920,24.0
61980,25.2
62040,24.2
62100,24.4
