#Steps,score
60,1.4
120,1.4
180,1.8
240,1.0
300,0.6
360,0.4
420,0.6
480,1.2
540,0.4
600,1.2
660,0.0
720,1.0
780,0.6
840,0.8
900,0.4
960,1.6
1020,1.6
1080,1.0
1140,1.2
1200,0.8
1260,1.4
1320,0.8
1380,0.8
1440,1.0
1500,1.8
1560,1.4
1620,1.2
1680,1.2
1740,1.6
1800,1.6
1860,1.0
1920,1.6
1980,0.4
2040,0.8
2100,1.2
2160,0.6
2220,1.4
2280,1.8
2340,1.0
2400,1.0
2460,1.0
2520,0.4
2580,0.6
2640,1.2
2700,1.2
2760,0.8
2820,1.0
2880,0.8
2940,1.6
3000,0.8
3060,1.6
3120,1.0
3180,0.8
3240,1.0
3300,1.0
3360,0.8
3420,0.6
3480,1.0
3540,1.2
3600,0.4
3660,0.8
3720,0.8
3780,1.6
3840,2.4
3900,0.8
3960,1.2
4020,0.8
4080,1.6
4140,0.6
4200,0.4
4260,1.6
4320,1.8
4380,1.2
4440,1.4
4500,1.2
4560,1.4
4620,1.6
4680,1.0
4740,1.0
4800,1.2
4860,1.4
4920,1.0
4980,1.4
5040,1.2
5100,1.4
5160,0.8
5220,0.6
5280,1.0
5340,1.4
5400,1.4
5460,1.2
5520,0.8
5580,0.6
5640,2.2
5700,0.8
5760,1.0
5820,1.4
5880,1.6
5940,1.4
6000,1.4
6060,0.6
6120,1.4
6180,1.8
6240,0.4
6300,1.2
6360,0.6
6420,0.6
6480,1.2
6540,2.0
6600,1.6
6660,1.8
6720,0.8
6780,0.6
6840,2.4
6900,0.8
6960,1.0
7020,1.6
7080,1.8
7140,0.8
7200,1.0
7260,1.2
7320,1.0
7380,1.6
7440,1.4
7500,1.2
7560,2.0
7620,2.2
7680,1.4
7740,0.8
7800,0.6
7860,1.0
7920,1.6
7980,0.6
8040,0.6
8100,1.6
8160,0.2
8220,1.8
8280,1.4
8340,0.8
8400,0.4
8460,0.6
8520,1.0
8580,1.0
8640,0.6
8700,1.2
8760,0.8
8820,0.6
8880,1.2
8940,1.2
9000,0.6
9060,1.4
9120,1.2
9180,0.2
9240,1.4
9300,0.8
9360,1.6
9420,1.2
9480,0.6
9540,0.4
9600,1.2
9660,1.2
9720,1.0
9780,2.0
9840,0.8
9900,2.0
9960,1.0
10020,0.8
10080,0.4
10140,2.0
10200,1.4
