#Steps,score
60,1.0
120,1.0
180,1.0
240,1.4
300,0.6
360,1.2
420,0.4
480,1.0
540,0.8
600,0.6
660,1.4
720,1.0
780,0.4
840,0.8
900,1.0
960,1.4
1020,1.6
1080,1.6
1140,1.6
1200,1.6
1260,2.2
1320,1.0
1380,1.4
1440,1.6
1500,1.0
1560,1.6
1620,1.4
1680,1.2
1740,1.0
1800,1.4
1860,0.4
1920,1.2
1980,1.4
2040,0.8
2100,1.2
2160,1.0
2220,0.6
2280,0.8
2340,0.6
2400,1.4
2460,1.8
2520,0.8
2580,0.6
2640,1.6
2700,0.6
2760,1.2
2820,2.0
2880,1.2
2940,1.2
3000,0.6
3060,0.8
3120,0.6
3180,2.2
3240,1.2
3300,0.4
3360,1.8
3420,0.8
3480,0.8
3540,0.6
3600,0.6
3660,1.0
3720,1.6
3780,1.0
3840,1.4
3900,1.2
3960,1.0
4020,1.6
4080,0.6
4140,1.6
4200,1.0
4260,0.8
4320,2.4
4380,0.6
4440,1.0
4500,1.6
4560,2.2
4620,1.0
4680,1.0
4740,1.2
4800,1.0
4860,0.8
4920,1.4
4980,1.0
5040,1.4
5100,2.4
5160,1.4
5220,1.4
5280,1.2
5340,1.4
5400,1.8
5460,2.0
5520,1.6
5580,0.6
5640,1.6
5700,1.2
5760,1.8
5820,2.2
5880,1.4
5940,2.0
6000,0.8
6060,0.6
6120,0.6
6180,0.8
6240,1.6
6300,1.4
6360,1.2
6420,1.2
6480,1.8
6540,1.2
6600,1.4
6660,1.0
6720,1.4
6780,1.4
6840,1.4
6900,1.4
6960,2.6
7020,1.6
7080,1.2
7140,1.6
7200,0.4
7260,1.0
7320,1.6
7380,2.0
7440,1.8
7500,1.4
7560,1.0
7620,1.2
7680,1.2
7740,1.6
7800,1.8
7860,1.6
7920,1.4
7980,1.6
8040,1.6
8100,2.6
8160,1.6
8220,2.4
8280,1.4
8340,1.4
8400,1.8
8460,1.6
8520,1.2
8580,1.6
8640,1.6
8700,1.2
8760,2.8
8820,1.4
8880,0.8
8940,1.6
9000,0.6
9060,1.6
9120,0.6
9180,1.2
9240,1.0
9300,2.4
9360,1.2
9420,1.8
9480,1.0
9540,1.8
9600,1.8
9660,1.4
9720,1.8
9780,1.4
9840,1.6
9900,1.4
9960,1.0
10020,1.2
10080,1.2
10140,0.8
10200,1.6
10260,1.6
10320,0.8
10380,1.8
10440,1.2
10500,1.8
10560,0.6
10620,2.0
10680,1.2
10740,1.4
10800,1.6
10860,1.0
10920,0.4
10980,2.2
11040,1.4
11100,1.0
11160,2.4
11220,1.2
11280,2.0
11340,0.8
11400,1.6
11460,1.8
11520,1.4
11580,2.0
11640,1.2
11700,1.0
11760,1.0
11820,1.2
11880,1.4
11940,1.4
12000,2.2
12060,0.8
12120,1.6
12180,1.4
12240,2.0
12300,2.2
12360,1.8
12420,2.6
12480,1.0
12540,1.6
12600,1.4
12660,2.6
12720,1.2
12780,1.0
12840,1.4
12900,3.2
12960,0.8
13020,1.4
13080,2.0
13140,2.6
13200,1.6
13260,2.0
13320,1.0
13380,1.4
13440,1.4
13500,0.8
13560,1.6
13620,2.6
13680,3.0
13740,2.0
13800,1.0
13860,2.2
13920,2.8
13980,2.2
14040,2.0
14100,1.0
14160,2.0
14220,0.6
14280,2.4
14340,1.4
14400,2.2
14460,1.8
14520,2.2
14580,0.8
14640,2.4
14700,1.2
14760,1.0
14820,1.6
14880,1.6
14940,2.0
15000,2.4
15060,2.0
15120,3.0
15180,2.0
15240,3.2
15300,2.8
15360,2.8
15420,3.4
15480,4.0
15540,3.8
15600,3.4
15660,2.6
15720,3.6
15780,2.0
15840,2.0
15900,2.4
15960,2.8
16020,2.0
16080,2.2
16140,2.6
16200,2.2
16260,2.2
16320,1.8
16380,2.8
16440,2.2
16500,2.8
16560,2.8
16620,3.8
16680,2.0
16740,2.6
16800,3.4
16860,2.2
16920,2.4
16980,3.0
17040,2.6
17100,2.8
17160,2.4
17220,2.8
17280,4.0
17340,2.6
17400,4.6
17460,4.8
17520,3.2
17580,3.6
17640,4.4
17700,4.4
17760,5.4
17820,4.8
17880,5.8
17940,7.0
18000,5.2
18060,7.0
18120,9.8
18180,9.0
18240,11.0
18300,13.6
18360,16.4
18420,19.2
18480,20.0
18540,22.4
18600,21.0
18660,20.6
18720,19.4
18780,17.4
18840,19.2
18900,17.2
18960,17.4
19020,16.8
19080,18.0
19140,19.2
19200,19.4
19260,20.2
19320,20.0
19380,19.8
19440,21.4
19500,19.8
19560,22.2
19620,22.6
19680,21.8
19740,22.2
19800,23.4
19860,23.2
19920,22.8
19980,21.0
20040,24.0
20100,22.6
20160,21.4
20220,23.4
20280,24.2
20340,23.2
20400,24.0
20460,22.8
20520,23.2
20580,23.8
20640,23.8
20700,24.4
20760,24.4
20820,22.8
20880,22.2
20940,23.6
21000,23.8
21060,24.2
21120,25.4
21180,25.0
21240,22.8
21300,25.4
21360,24.8
21420,24.0
21480,24.8
21540,24.6
21600,25.2
21660,26.2
21720,24.6
21780,25.2
21840,22.4
21900,24.4
21960,24.8
22020,24.2
22080,25.0
22140,24.8
22200,25.6
22260,25.4
22320,24.6
22380,25.2
22440,23.8
22500,25.0
22560,23.2
22620,24.2
22680,24.6
22740,23.6
22800,25.0
22860,24.0
22920,23.4
22980,24.2
23040,23.8
23100,24.6
23160,24.8
23220,23.2
23280,24.8
23340,24.6
23400,24.4
23460,24.6
23520,22.6
23580,23.6
23640,25.0
23700,23.2
23760,23.6
23820,24.8
23880,24.2
23940,25.2
24000,22.2
24060,23.0
24120,23.6
24180,25.0
24240,24.8
24300,23.2
24360,23.2
24420,24.0
24480,24.4
24540,24.6
24600,24.0
24660,24.0
24720,22.8
24780,23.0
24840,24.4
24900,24.0
24960,23.4
25020,24.2
25080,23.0
25140,22.4
25200,23.0
25260,23.4
25320,23.4
25380,24.0
25440,24.2
25500,23.8
25560,23.4
25620,23.0
25680,24.2
25740,23.4
25800,24.6
25860,23.6
25920,24.0
25980,23.8
26040,23.8
26100,22.8
26160,24.6
26220,25.0
26280,25.0
26340,24.2
26400,25.0
26460,24.4
26520,25.6
26580,23.6
26640,24.6
26700,24.6
26760,24.2
26820,24.8
26880,24.4
26940,24.2
27000,25.0
27060,23.2
27120,24.8
27180,23.8
27240,24.6
27300,24.6
27360,25.0
27420,25.6
27480,23.6
27540,24.0
27600,24.4
27660,23.6
27720,24.2
27780,23.8
27840,24.6
27900,25.8
27960,24.4
28020,24.6
28080,24.0
28140,23.4
28200,24.0
28260,23.0
28320,23.8
28380,23.4
28440,21.2
28500,23.8
28560,23.6
28620,23.4
28680,21.2
28740,21.6
28800,21.6
28860,22.8
28920,23.4
28980,22.2
29040,21.8
29100,24.4
29160,22.8
