#Steps,score
60,1.0
120,0.6
180,1.2
240,0.4
300,1.2
360,0.4
420,0.8
480,1.2
540,1.2
600,0.8
660,1.2
720,1.6
780,0.4
840,0.4
900,1.2
960,1.2
1020,1.6
1080,1.2
1140,1.8
1200,1.0
1260,1.4
1320,1.4
1380,1.4
1440,1.6
1500,0.8
1560,0.4
1620,1.0
1680,0.8
1740,1.0
1800,0.8
1860,1.4
1920,1.6
1980,1.4
2040,1.0
2100,1.0
2160,1.2
2220,0.8
2280,2.4
2340,1.2
2400,1.2
2460,1.4
2520,1.0
2580,1.4
2640,0.4
2700,1.0
2760,1.4
2820,0.6
2880,1.0
2940,0.8
3000,0.8
3060,1.6
3120,0.8
3180,1.6
3240,0.6
3300,0.4
3360,1.0
3420,2.2
3480,0.6
3540,0.8
3600,1.6
3660,1.4
3720,1.8
3780,0.6
3840,1.0
3900,1.2
3960,1.4
4020,1.6
4080,1.0
4140,1.2
4200,1.0
4260,1.8
4320,0.6
4380,1.0
4440,1.6
4500,2.0
4560,0.4
4620,2.0
4680,1.6
4740,2.8
4800,1.2
4860,1.2
4920,0.2
4980,1.6
5040,0.4
5100,2.4
5160,2.2
5220,1.6
5280,1.0
5340,1.2
5400,2.4
5460,0.6
5520,2.0
5580,0.4
5640,2.0
5700,0.4
5760,1.8
5820,1.2
5880,1.8
5940,1.2
6000,1.2
6060,0.6
6120,1.2
6180,1.0
6240,0.8
6300,1.6
6360,0.2
6420,0.4
6480,1.2
6540,0.6
6600,1.6
6660,1.0
6720,1.4
6780,0.8
6840,1.4
6900,1.4
6960,0.8
7020,0.8
7080,0.6
7140,1.6
7200,0.8
7260,1.4
7320,0.6
7380,0.6
7440,1.0
7500,1.2
7560,1.2
7620,2.0
7680,1.0
7740,0.8
7800,1.6
7860,1.2
7920,1.6
7980,1.4
8040,1.0
8100,0.6
8160,1.6
8220,2.4
8280,1.8
8340,1.0
8400,1.6
8460,1.4
8520,1.0
8580,0.6
8640,0.8
8700,0.6
8760,1.4
8820,0.6
8880,0.4
8940,2.0
