#Steps,score
60,0.8
120,1.6
180,2.4
240,1.0
300,0.6
360,1.6
420,2.0
480,1.4
540,1.2
600,1.4
660,0.8
720,1.4
780,0.8
840,0.6
900,0.6
960,2.0
1020,1.0
1080,0.6
1140,1.0
1200,1.6
1260,0.8
1320,1.0
1380,2.0
1440,0.6
1500,0.6
1560,1.4
1620,0.8
1680,1.8
1740,1.2
1800,0.6
1860,1.6
1920,1.6
1980,1.2
2040,1.0
2100,0.6
2160,0.8
2220,1.0
2280,1.2
2340,1.2
2400,1.2
2460,0.2
2520,1.2
2580,0.6
2640,1.6
2700,1.6
2760,0.6
2820,2.2
2880,1.4
2940,1.4
3000,2.2
3060,0.8
3120,1.6
3180,1.4
3240,1.8
3300,0.6
3360,1.0
3420,2.4
3480,1.2
3540,1.6
3600,0.6
3660,2.0
3720,1.4
3780,1.2
3840,1.2
3900,1.0
3960,1.0
4020,0.8
4080,1.2
4140,1.6
4200,1.0
4260,1.2
4320,1.2
4380,1.6
4440,1.0
4500,0.6
4560,1.0
4620,1.4
4680,1.2
4740,0.8
4800,1.6
4860,0.8
4920,0.4
4980,2.8
5040,0.8
5100,0.2
5160,0.2
5220,0.8
5280,1.2
5340,2.2
5400,1.8
5460,1.4
5520,1.2
5580,0.2
5640,2.2
5700,1.6
5760,0.6
5820,0.4
5880,1.6
5940,0.6
6000,0.8
6060,1.4
6120,1.0
6180,0.6
6240,1.6
6300,1.6
6360,1.2
6420,1.4
6480,1.0
6540,0.4
6600,1.0
6660,1.2
6720,1.4
6780,1.2
6840,1.0
6900,2.0
6960,0.6
7020,1.8
7080,1.6
7140,0.8
7200,1.0
7260,1.4
7320,0.4
7380,1.6
7440,0.6
7500,1.4
7560,1.2
7620,1.0
7680,0.4
7740,0.4
7800,2.0
7860,1.2
7920,1.0
7980,1.8
8040,1.2
8100,0.8
8160,1.2
8220,1.2
8280,1.0
8340,2.4
8400,1.4
8460,1.2
8520,2.0
8580,1.2
8640,1.2
8700,1.2
8760,2.0
8820,1.4
8880,1.2
8940,1.8
9000,1.2
9060,0.8
9120,0.8
9180,0.8
9240,0.4
9300,0.2
9360,1.2
9420,0.4
9480,0.8
9540,0.6
9600,1.4
9660,0.8
9720,1.0
9780,1.0
9840,1.4
9900,0.8
9960,1.0
10020,1.0
10080,1.2
10140,0.0
10200,1.4
10260,1.2
10320,0.8
10380,1.6
10440,1.2
10500,1.6
10560,1.2
10620,2.2
10680,1.0
10740,1.4
10800,1.0
10860,1.4
10920,1.4
10980,1.4
11040,1.2
11100,0.6
11160,1.6
11220,1.8
11280,1.2
11340,0.8
11400,1.6
11460,2.2
11520,1.2
11580,1.2
11640,1.6
11700,0.8
11760,1.0
11820,0.4
11880,1.0
11940,0.6
12000,0.4
12060,2.0
12120,1.8
12180,1.4
12240,1.2
12300,1.2
12360,1.2
12420,1.0
12480,1.0
12540,0.8
12600,0.2
12660,1.0
12720,1.8
12780,1.2
12840,0.4
12900,1.6
12960,1.4
13020,0.4
13080,1.4
13140,1.2
13200,1.6
13260,1.4
13320,1.0
13380,1.0
13440,0.6
13500,0.6
13560,1.4
13620,0.4
13680,1.2
13740,0.8
13800,0.8
13860,1.8
13920,1.2
13980,0.0
14040,1.6
14100,1.2
14160,1.4
14220,1.0
14280,1.4
14340,0.8
14400,2.0
14460,0.6
14520,1.0
14580,0.8
14640,0.6
14700,0.8
14760,1.6
14820,1.6
14880,1.8
14940,1.0
15000,0.8
15060,1.0
15120,1.8
15180,0.6
15240,1.2
15300,1.0
15360,0.2
15420,0.8
15480,1.0
15540,1.0
15600,0.6
15660,1.4
15720,1.6
15780,0.4
15840,1.2
15900,2.0
15960,1.0
16020,0.8
16080,1.4
16140,1.4
16200,1.2
16260,0.8
16320,1.0
16380,0.6
16440,1.4
16500,1.0
16560,1.2
16620,0.4
16680,1.6
16740,1.4
16800,1.8
16860,2.4
16920,1.0
16980,1.4
17040,1.8
17100,1.4
17160,1.8
17220,1.0
17280,1.0
17340,2.0
17400,1.0
17460,1.0
17520,2.0
17580,1.8
17640,1.2
17700,1.6
17760,2.6
17820,1.0
17880,1.2
17940,0.2
18000,1.6
18060,1.0
18120,1.2
18180,1.2
18240,1.2
18300,0.8
18360,1.8
18420,1.6
18480,1.0
18540,0.8
18600,1.4
18660,1.2
18720,1.2
18780,0.6
18840,2.6
18900,1.0
18960,2.0
19020,1.4
19080,0.0
19140,1.2
19200,0.6
19260,1.0
19320,1.6
19380,1.6
19440,2.0
19500,1.4
19560,1.0
19620,1.0
19680,2.0
19740,0.4
19800,1.4
19860,0.8
19920,1.6
19980,0.8
20040,1.2
20100,1.4
20160,2.0
20220,2.0
20280,2.0
20340,2.0
20400,0.6
20460,1.4
20520,1.2
20580,1.8
20640,0.6
20700,1.4
20760,1.4
20820,1.0
20880,0.8
20940,1.2
21000,1.2
21060,2.0
21120,1.4
21180,2.8
21240,1.6
21300,0.8
21360,2.0
21420,0.2
21480,0.8
21540,0.8
21600,1.4
21660,1.0
21720,1.6
21780,1.8
21840,1.8
21900,1.8
21960,2.4
22020,1.8
22080,1.4
22140,2.0
22200,1.2
22260,1.6
22320,1.2
22380,2.2
22440,1.8
22500,2.0
22560,1.2
22620,1.8
22680,1.0
22740,1.8
22800,2.4
22860,1.6
22920,1.0
22980,1.6
23040,1.2
23100,1.6
23160,0.8
23220,1.6
23280,0.8
23340,1.8
23400,1.0
23460,1.6
23520,1.6
23580,1.6
23640,1.8
23700,1.8
23760,1.4
23820,1.6
