#Steps,score
6000,1.8
12000,20.4
18000,23.4
24000,25.0
30000,25.2
36000,22.6
42000,23.4
48000,24.4
54000,25.2
60000,23.2
66000,25.4
72000,25.2
78000,23.8
84000,22.8
90000,23.4
96000,23.8
102000,23.2
108000,24.0
114000,24.4
120000,23.6
126000,23.6
132000,26.2
138000,25.4
144000,24.2
150000,24.6
156000,23.2
162000,23.6
168000,25.2
174000,23.4
180000,24.2
186000,25.6
192000,25.0
198000,25.2
204000,23.4
210000,24.0
216000,26.6
222000,25.4
228000,23.8
234000,24.4
240000,25.2
246000,24.2
252000,24.4
258000,24.0
264000,25.2
270000,23.6
276000,24.6
282000,24.6
288000,26.2
294000,25.6
300000,22.2
306000,25.8
312000,24.4
318000,23.2
324000,24.2
330000,24.2
336000,24.4
342000,23.4
348000,24.4
354000,25.6
360000,25.0
366000,24.4
372000,24.2
378000,24.8
384000,24.8
390000,23.2
396000,25.2
402000,24.2
408000,24.4
414000,24.6
420000,25.6
426000,25.0
432000,24.4
438000,26.0
444000,23.4
450000,24.8
456000,23.6
462000,24.2
468000,25.2
474000,25.0
480000,24.4
486000,25.8
492000,25.4
498000,24.4
504000,24.2
510000,24.4
516000,25.4
522000,23.4
528000,24.6
534000,25.8
540000,25.4
546000,24.0
552000,25.6
558000,24.2
564000,24.8
570000,25.8
576000,24.2
582000,25.4
588000,24.6
594000,25.0
600000,24.0
