#Steps,score
60,1.6
120,1.0
180,0.2
240,0.2
300,0.8
360,1.2
420,1.4
480,0.6
540,1.6
600,0.8
660,1.4
720,0.6
780,1.2
840,0.8
900,1.4
960,0.8
1020,1.6
1080,3.0
1140,1.4
1200,1.0
1260,1.0
1320,1.2
1380,1.4
1440,1.4
1500,0.6
1560,0.6
1620,0.8
1680,1.4
1740,1.0
1800,1.0
1860,1.8
1920,1.8
1980,1.4
2040,0.8
2100,0.8
2160,0.4
2220,1.8
2280,1.4
2340,1.6
2400,1.6
2460,1.0
2520,1.4
2580,1.6
2640,1.2
2700,1.6
2760,1.4
2820,1.0
2880,0.6
2940,1.0
3000,1.6
3060,1.6
3120,1.4
3180,1.4
3240,1.2
3300,1.6
3360,1.4
3420,0.8
3480,1.0
3540,1.0
3600,0.8
3660,1.2
3720,1.8
3780,1.8
3840,1.8
3900,0.8
3960,1.4
4020,1.8
4080,1.6
4140,1.6
4200,1.0
4260,1.8
4320,0.6
4380,1.0
4440,1.2
4500,1.8
4560,1.6
4620,1.0
4680,1.2
4740,1.0
4800,0.8
4860,2.0
4920,2.0
4980,1.2
5040,0.6
5100,1.4
5160,1.2
5220,1.8
5280,2.2
5340,1.2
5400,1.6
5460,0.6
5520,1.0
5580,1.0
5640,1.0
5700,1.0
5760,1.6
5820,1.6
5880,2.6
5940,1.0
6000,1.0
6060,1.0
6120,1.2
6180,1.6
6240,1.4
6300,1.4
6360,1.6
6420,1.4
6480,1.2
6540,2.2
6600,2.0
6660,2.0
6720,1.4
6780,0.6
6840,1.6
6900,2.6
6960,1.4
7020,2.4
7080,0.8
7140,1.2
7200,1.8
7260,2.4
7320,1.2
7380,2.0
7440,2.2
7500,1.0
7560,0.8
7620,1.4
7680,1.8
7740,1.8
7800,1.6
7860,1.2
7920,1.2
7980,1.2
8040,1.2
8100,1.0
8160,0.8
8220,2.2
8280,1.4
8340,1.6
8400,2.6
8460,2.6
8520,1.6
8580,2.4
8640,1.4
8700,1.2
8760,0.2
8820,2.0
8880,1.8
8940,1.4
9000,1.2
9060,1.8
9120,1.4
9180,1.8
9240,1.0
9300,1.4
9360,1.4
9420,1.4
9480,2.4
9540,1.6
9600,1.4
9660,0.8
9720,2.0
9780,2.2
9840,0.8
9900,2.8
9960,3.0
10020,1.8
10080,0.4
10140,2.4
10200,1.8
10260,2.0
10320,1.8
10380,1.6
10440,2.0
10500,2.4
10560,2.0
10620,1.6
10680,1.6
10740,1.2
10800,1.2
10860,1.0
10920,1.6
10980,2.0
11040,2.4
11100,2.8
11160,1.8
11220,2.0
11280,2.0
11340,2.6
11400,1.2
11460,1.4
11520,3.4
11580,2.2
11640,3.4
11700,2.0
11760,2.8
11820,3.2
11880,2.6
11940,2.6
12000,3.0
12060,3.0
12120,3.4
12180,3.4
12240,2.8
12300,2.6
12360,2.2
12420,3.0
12480,3.8
12540,4.2
12600,3.0
12660,4.2
12720,4.0
12780,3.8
12840,6.6
12900,6.8
12960,5.0
13020,8.6
13080,11.2
13140,13.6
13200,11.6
13260,16.0
13320,20.2
13380,21.2
13440,20.6
13500,21.0
13560,23.4
13620,21.2
13680,19.4
13740,19.2
13800,16.8
13860,18.2
13920,15.6
13980,14.2
14040,15.0
14100,15.0
14160,14.6
14220,14.2
14280,13.6
14340,11.6
14400,13.2
14460,12.8
14520,14.4
14580,15.0
14640,16.0
14700,15.4
14760,18.0
14820,17.6
14880,20.8
14940,22.2
15000,21.2
15060,22.4
15120,22.8
15180,22.4
15240,20.8
15300,22.4
15360,21.4
15420,20.8
15480,20.8
15540,21.2
15600,21.2
15660,19.8
15720,21.2
15780,22.0
15840,21.0
15900,20.6
15960,21.0
16020,21.6
16080,20.4
16140,20.8
16200,21.2
16260,21.4
16320,19.0
16380,21.6
16440,22.8
16500,22.2
16560,21.2
16620,23.0
16680,22.4
16740,22.4
16800,22.0
16860,22.0
16920,23.2
16980,23.0
17040,23.2
17100,23.6
17160,22.0
17220,24.6
17280,23.4
17340,23.2
17400,24.2
17460,23.2
17520,24.0
17580,24.4
17640,25.2
17700,24.0
17760,24.2
17820,23.4
17880,23.8
17940,24.2
18000,23.8
18060,23.4
18120,23.4
18180,22.6
18240,25.6
18300,23.0
18360,24.2
18420,25.6
18480,23.0
18540,24.0
18600,25.0
18660,23.6
18720,23.8
18780,24.2
