#Steps,score
60,1.0
120,1.2
180,1.4
240,1.2
300,0.6
360,1.6
420,2.2
480,1.0
540,1.0
600,1.8
660,0.2
720,1.0
780,0.2
840,2.0
900,2.0
960,1.2
1020,1.6
1080,0.8
1140,1.0
1200,2.0
1260,0.4
1320,1.2
1380,1.2
1440,2.0
1500,1.0
1560,1.8
1620,0.4
1680,1.0
1740,1.4
1800,2.0
1860,0.8
1920,1.4
1980,1.4
2040,1.2
2100,0.8
2160,0.8
2220,1.0
2280,0.4
2340,1.6
2400,1.8
2460,0.8
2520,0.8
2580,0.4
2640,0.8
2700,0.8
2760,0.6
2820,2.4
2880,1.0
2940,1.8
3000,1.0
3060,0.8
3120,1.0
3180,1.4
3240,1.4
3300,2.0
3360,0.4
3420,1.6
3480,1.8
3540,1.2
3600,1.0
3660,1.4
3720,1.6
3780,1.4
3840,2.0
3900,1.4
3960,1.2
4020,1.2
4080,1.2
4140,1.2
4200,2.4
4260,1.6
4320,1.2
4380,2.2
4440,1.4
4500,1.2
4560,1.8
4620,1.0
4680,1.6
4740,1.2
4800,2.0
4860,1.4
4920,1.4
4980,0.8
5040,1.6
5100,2.2
5160,2.8
5220,1.6
5280,1.2
5340,0.8
5400,2.0
5460,1.6
5520,1.4
5580,0.6
5640,2.0
5700,1.4
5760,1.4
5820,2.4
5880,1.0
5940,1.6
6000,2.0
6060,1.4
6120,1.6
6180,2.4
6240,2.2
6300,2.2
6360,3.6
6420,1.0
6480,1.8
6540,1.8
6600,2.0
6660,1.6
6720,2.2
6780,1.8
6840,1.0
6900,2.0
6960,2.4
7020,1.6
7080,2.0
7140,1.6
7200,1.0
7260,2.6
7320,2.6
7380,0.8
7440,1.8
7500,1.2
7560,1.0
7620,1.4
7680,1.6
7740,1.0
7800,2.0
7860,0.8
7920,1.6
7980,1.8
8040,2.2
8100,3.0
8160,1.6
8220,1.2
8280,2.2
8340,1.2
8400,3.0
8460,1.6
8520,1.8
8580,2.0
8640,1.4
8700,1.8
8760,1.8
8820,1.8
8880,0.8
8940,3.0
9000,1.8
9060,2.6
9120,1.0
9180,1.6
9240,2.6
9300,1.6
9360,1.8
9420,2.0
9480,2.4
9540,2.4
9600,2.2
9660,1.0
9720,2.6
9780,2.4
9840,2.0
9900,1.8
9960,2.4
10020,1.6
10080,3.0
10140,2.2
10200,1.0
10260,3.8
10320,3.2
10380,2.6
10440,2.2
10500,4.4
10560,3.2
10620,3.2
10680,4.6
10740,5.2
10800,7.0
10860,6.0
10920,9.2
10980,11.6
11040,13.6
11100,16.0
11160,16.8
11220,18.0
11280,19.4
11340,18.4
11400,16.6
11460,19.8
11520,19.8
11580,21.2
11640,20.8
11700,21.0
11760,20.4
11820,19.8
11880,19.6
11940,21.8
12000,21.4
12060,20.6
12120,21.6
12180,21.2
12240,21.4
12300,22.8
12360,21.6
12420,23.2
12480,22.6
12540,22.2
12600,21.2
12660,22.2
12720,21.4
12780,21.4
12840,23.8
12900,23.8
12960,23.4
13020,22.6
13080,23.0
13140,21.0
13200,23.6
13260,22.6
13320,22.6
13380,23.2
13440,23.4
13500,22.2
13560,22.0
13620,23.0
13680,22.8
13740,23.2
13800,23.0
13860,24.2
13920,21.8
13980,22.2
14040,22.6
14100,22.4
14160,21.6
14220,22.8
14280,23.6
14340,23.0
14400,23.0
14460,23.2
14520,23.4
14580,23.2
14640,24.0
14700,24.0
14760,23.0
14820,23.8
14880,22.6
14940,23.4
15000,25.2
15060,22.6
15120,20.4
15180,22.0
15240,24.2
15300,22.6
15360,23.8
15420,25.8
15480,22.4
15540,22.8
15600,21.8
15660,23.2
15720,23.0
15780,22.8
15840,22.2
15900,22.8
15960,22.6
16020,22.8
16080,22.6
16140,22.4
16200,24.2
16260,23.8
16320,24.8
16380,23.8
16440,23.0
16500,23.0
16560,24.2
16620,23.4
16680,23.4
16740,23.0
16800,23.4
16860,21.6
16920,23.8
16980,22.6
17040,23.4
17100,23.8
17160,23.8
17220,23.6
17280,23.0
17340,23.0
17400,24.4
17460,24.0
17520,23.2
17580,24.8
17640,24.4
17700,23.8
17760,24.6
17820,24.0
17880,24.0
17940,24.6
18000,24.8
18060,25.2
18120,23.6
18180,24.4
18240,24.4
18300,24.8
18360,25.4
18420,25.6
18480,25.6
18540,23.8
18600,25.4
18660,24.2
18720,23.4
18780,24.2
18840,24.8
18900,24.0
18960,24.2
19020,24.4
19080,24.2
19140,25.8
19200,23.0
19260,24.0
19320,24.2
19380,25.4
19440,22.2
19500,24.2
19560,24.0
19620,24.2
19680,23.8
19740,24.6
19800,24.0
19860,24.0
19920,25.4
19980,24.2
20040,24.2
20100,25.4
20160,23.8
20220,23.6
20280,24.0
20340,24.0
20400,23.4
20460,24.2
20520,24.6
20580,23.0
20640,24.4
20700,25.0
20760,24.6
20820,24.8
20880,24.6
20940,23.4
21000,23.8
21060,25.6
21120,25.2
21180,24.2
21240,25.4
21300,26.0
21360,24.6
21420,23.8
21480,24.6
21540,24.2
21600,24.4
21660,24.8
21720,23.8
21780,24.6
21840,23.8
21900,23.0
21960,24.2
22020,25.8
22080,24.4
22140,25.2
22200,25.2
22260,23.8
22320,24.8
22380,22.6
22440,24.0
22500,24.6
