#Steps,score
6000,2.0
12000,23.2
18000,23.2
24000,24.2
30000,24.4
36000,23.2
42000,23.6
48000,22.6
54000,23.2
60000,25.0
66000,24.4
72000,25.4
78000,24.6
84000,24.6
90000,23.0
96000,22.6
102000,26.2
108000,25.6
114000,25.2
120000,24.2
126000,21.8
132000,24.8
138000,23.8
144000,25.0
150000,23.2
156000,24.8
162000,24.6
168000,26.2
174000,25.8
180000,25.6
186000,24.6
192000,24.2
198000,24.2
204000,24.8
210000,25.4
216000,25.2
222000,25.6
228000,24.6
234000,25.2
240000,24.2
246000,24.0
252000,25.6
258000,23.8
264000,23.6
270000,25.6
276000,24.4
282000,25.6
288000,26.2
294000,24.0
300000,23.6
306000,24.6
312000,23.4
318000,24.0
324000,25.0
330000,25.4
336000,25.6
342000,24.8
348000,23.6
354000,25.0
360000,24.6
366000,23.6
372000,24.0
378000,24.4
384000,25.6
390000,26.8
396000,25.4
402000,25.2
408000,23.4
414000,25.4
420000,26.0
426000,26.0
432000,23.8
438000,26.0
444000,23.8
450000,26.2
456000,26.6
462000,25.6
468000,26.0
474000,25.4
480000,25.4
486000,24.6
492000,25.6
498000,26.4
504000,25.2
510000,24.8
516000,27.0
522000,25.4
528000,24.8
534000,25.2
540000,24.6
546000,25.2
552000,24.8
558000,26.4
564000,24.2
570000,24.2
576000,23.0
582000,27.0
588000,26.8
594000,25.2
600000,24.6
