#Steps,score
600,1.0
1200,1.8
1800,2.2
2400,3.8
3000,15.8
3600,14.2
4200,16.2
4800,16.4
5400,18.6
6000,19.2
6600,20.0
7200,22.4
7800,22.0
8400,21.2
9000,23.6
9600,22.2
10200,22.4
10800,22.4
11400,22.2
12000,22.6
12600,23.8
13200,22.4
13800,22.4
14400,24.2
15000,24.2
15600,22.4
16200,23.8
16800,23.2
17400,22.8
18000,23.2
18600,23.4
19200,22.8
19800,21.8
20400,22.2
21000,24.4
21600,23.6
22200,23.4
22800,22.8
23400,24.2
24000,23.8
24600,23.2
25200,22.6
25800,25.0
26400,22.4
27000,22.0
27600,22.2
28200,23.8
28800,24.0
29400,21.6
30000,23.8
30600,23.6
31200,22.4
31800,23.8
32400,23.4
33000,23.8
33600,22.6
34200,23.8
34800,24.0
35400,23.0
36000,24.2
36600,23.2
37200,23.8
37800,22.4
38400,24.6
39000,23.0
39600,23.4
40200,23.6
40800,22.4
41400,22.8
42000,23.4
42600,23.0
43200,23.2
43800,23.0
44400,23.6
45000,23.0
45600,24.2
46200,25.2
46800,24.2
47400,23.0
48000,22.6
48600,24.0
49200,22.4
49800,24.2
50400,23.0
51000,22.2
51600,24.0
52200,24.0
52800,24.0
53400,23.4
54000,22.8
54600,24.2
55200,23.4
55800,22.6
56400,24.2
57000,24.8
57600,22.8
58200,22.8
58800,22.8
59400,23.4
60000,23.8
60600,23.8
61200,23.2
61800,24.0
62400,24.0
63000,23.6
63600,23.6
64200,23.8
64800,23.6
65400,22.8
66000,23.8
66600,22.6
67200,23.8
67800,23.2
68400,22.4
69000,23.8
69600,24.4
70200,23.2
70800,24.6
71400,23.6
72000,23.0
72600,23.0
73200,23.4
73800,23.6
74400,22.8
75000,23.4
75600,23.4
76200,24.6
76800,24.0
77400,23.0
78000,22.8
78600,22.0
79200,22.6
79800,25.4
80400,22.6
81000,22.2
81600,23.2
82200,23.6
82800,23.4
83400,24.4
84000,23.2
84600,22.2
85200,22.8
85800,23.0
86400,24.6
87000,22.8
87600,23.2
88200,22.8
88800,23.8
89400,23.6
90000,23.2
90600,23.2
91200,22.4
91800,25.0
92400,23.8
93000,23.4
93600,22.8
94200,24.4
94800,24.8
95400,23.0
96000,22.8
96600,22.4
97200,23.2
97800,24.8
98400,23.6
99000,23.2
99600,22.8
100200,23.2
100800,24.4
101400,23.0
102000,23.8
102600,22.2
103200,23.8
103800,24.2
104400,23.4
105000,23.2
105600,22.4
106200,23.0
106800,23.0
107400,23.6
108000,24.6
108600,22.6
109200,22.8
109800,24.2
110400,24.2
111000,24.2
111600,23.0
112200,23.6
112800,24.0
113400,24.4
114000,23.6
114600,23.4
115200,23.8
115800,22.8
116400,23.4
117000,23.6
117600,23.8
118200,23.6
118800,23.4
119400,23.8
120000,22.0
