#Steps,score
60,0.8
120,1.8
180,0.6
240,0.6
300,1.2
360,2.0
420,1.0
480,1.0
540,2.0
600,0.6
660,0.8
720,2.6
780,1.0
840,1.6
900,2.2
960,0.8
1020,2.0
1080,1.4
1140,2.2
1200,0.8
1260,0.8
1320,1.8
1380,1.4
1440,1.8
1500,1.4
1560,1.4
1620,0.8
1680,1.2
1740,1.2
1800,0.6
1860,1.0
1920,1.0
1980,1.0
2040,1.2
2100,1.4
2160,2.2
2220,0.4
2280,1.6
2340,1.8
2400,2.0
2460,0.6
2520,1.0
2580,1.8
2640,2.2
2700,1.0
2760,1.0
2820,0.4
2880,1.0
2940,1.0
3000,0.8
3060,0.4
3120,1.4
3180,2.0
3240,1.2
3300,1.4
3360,1.0
3420,1.0
3480,1.8
3540,1.0
3600,1.4
3660,1.0
3720,1.4
3780,1.0
3840,1.4
3900,0.4
3960,0.8
4020,1.0
4080,0.8
4140,1.2
4200,1.2
4260,1.2
4320,1.6
4380,1.0
4440,1.6
4500,0.8
4560,1.4
4620,1.8
4680,2.0
4740,1.2
4800,1.0
4860,1.2
4920,1.8
4980,1.0
5040,1.2
5100,1.6
5160,0.6
5220,1.2
5280,1.4
5340,1.6
5400,2.2
5460,1.0
5520,1.2
5580,0.2
5640,1.8
5700,1.8
5760,1.2
5820,1.4
5880,0.8
5940,1.0
6000,0.2
6060,1.2
6120,0.4
6180,0.4
6240,0.4
6300,1.2
6360,1.2
6420,0.4
6480,1.4
6540,2.2
6600,1.2
6660,1.8
6720,1.0
6780,1.0
6840,0.2
6900,0.8
6960,0.2
7020,1.8
7080,0.6
7140,1.0
7200,1.4
7260,1.0
7320,1.2
7380,0.6
7440,0.4
7500,1.4
7560,1.6
7620,1.6
7680,1.0
7740,1.4
7800,2.0
7860,1.2
7920,1.4
7980,1.0
8040,1.6
8100,1.4
8160,1.0
8220,1.2
8280,1.8
8340,2.2
8400,1.8
8460,0.8
8520,0.8
8580,1.2
8640,0.2
8700,0.8
8760,1.6
8820,2.0
8880,0.6
8940,0.6
9000,1.8
9060,1.0
9120,1.4
9180,2.0
9240,1.6
9300,1.0
9360,2.0
9420,0.8
9480,2.4
9540,1.8
9600,1.2
9660,1.8
9720,1.2
9780,2.0
9840,1.2
9900,1.8
9960,1.0
10020,1.2
10080,2.2
10140,0.6
10200,1.0
10260,0.8
10320,1.6
10380,1.6
10440,0.4
10500,1.4
10560,1.8
10620,2.0
10680,0.8
10740,1.2
10800,0.8
10860,1.0
10920,0.6
10980,2.2
11040,0.8
11100,1.8
11160,1.0
11220,1.4
11280,0.8
11340,2.2
11400,1.0
11460,1.6
11520,1.4
11580,0.8
11640,0.4
11700,1.4
11760,1.4
11820,1.4
11880,1.0
11940,1.0
12000,1.4
12060,1.4
12120,1.4
12180,1.4
12240,1.2
12300,1.8
12360,1.4
12420,1.6
12480,1.4
12540,1.8
12600,0.8
12660,1.4
12720,0.8
12780,1.6
12840,2.2
12900,1.2
12960,0.8
13020,1.6
13080,1.8
13140,0.4
13200,1.0
13260,0.6
13320,1.0
13380,1.2
13440,1.6
13500,2.4
13560,1.6
13620,1.0
13680,1.8
13740,2.0
13800,1.2
13860,1.2
13920,2.2
13980,0.6
14040,1.4
14100,0.8
14160,1.2
14220,1.0
14280,1.2
14340,0.6
14400,1.8
14460,1.4
14520,2.2
14580,2.0
14640,0.6
14700,1.4
14760,1.4
14820,1.2
14880,0.6
14940,1.0
15000,0.8
15060,1.0
15120,1.0
15180,2.2
15240,1.2
15300,1.0
15360,1.8
15420,0.6
15480,2.0
15540,1.4
15600,1.2
15660,0.4
15720,2.2
15780,0.6
15840,1.6
15900,1.4
15960,1.0
16020,1.2
16080,0.6
16140,2.0
16200,0.8
16260,1.0
16320,1.4
16380,1.0
16440,1.8
16500,1.0
16560,2.4
16620,1.2
16680,2.2
16740,1.2
16800,0.6
16860,1.4
16920,1.8
16980,1.8
17040,1.6
17100,1.2
17160,1.2
17220,1.8
17280,0.8
17340,1.0
17400,1.2
17460,1.6
17520,1.4
17580,1.4
17640,1.2
17700,1.0
17760,1.0
17820,1.2
17880,1.8
17940,1.8
18000,0.8
18060,1.0
18120,1.8
18180,1.4
18240,0.8
18300,0.8
18360,1.2
18420,0.8
18480,1.2
18540,1.2
18600,2.2
18660,1.4
18720,1.6
18780,0.6
18840,1.6
18900,2.4
18960,0.8
19020,1.2
19080,1.2
19140,1.4
19200,1.2
19260,0.8
19320,0.2
19380,1.4
19440,1.4
19500,1.6
19560,1.0
19620,1.6
19680,0.8
19740,1.4
19800,1.4
19860,1.6
19920,1.8
19980,0.8
20040,1.4
20100,1.8
20160,1.4
20220,1.0
20280,1.2
20340,0.8
20400,1.2
20460,1.8
20520,1.4
20580,0.8
20640,1.4
20700,1.4
20760,0.6
20820,0.8
20880,1.6
20940,2.2
21000,0.8
21060,1.2
21120,0.6
21180,1.2
21240,1.6
21300,1.8
21360,2.2
21420,2.0
21480,2.2
21540,1.6
21600,2.0
21660,1.8
21720,1.0
21780,1.0
21840,1.6
21900,0.8
21960,0.8
22020,0.6
22080,2.4
22140,0.6
22200,1.4
22260,1.2
22320,0.6
22380,3.0
22440,1.6
22500,1.0
22560,2.0
22620,1.0
22680,1.8
22740,3.0
22800,1.0
22860,1.2
22920,3.0
22980,1.8
23040,1.4
23100,0.4
23160,0.8
23220,1.0
23280,1.8
23340,1.2
23400,0.8
23460,1.8
23520,1.8
23580,1.6
23640,1.0
23700,3.0
23760,1.0
23820,1.0
23880,1.8
23940,1.8
24000,1.0
24060,1.8
24120,1.8
24180,1.4
24240,1.4
24300,1.0
24360,1.4
24420,1.0
24480,1.2
24540,0.8
24600,1.8
24660,0.6
24720,1.0
24780,1.0
24840,1.2
24900,2.0
24960,1.8
25020,2.6
25080,0.6
25140,1.2
25200,0.8
25260,0.8
25320,1.2
25380,1.0
25440,1.2
25500,1.0
25560,1.2
25620,1.4
25680,1.2
25740,1.2
25800,0.6
25860,1.2
25920,0.8
25980,2.0
26040,1.4
26100,1.0
26160,1.4
26220,0.8
26280,1.4
26340,1.4
26400,1.2
26460,1.8
26520,1.2
26580,1.6
26640,1.6
26700,1.0
26760,1.6
26820,1.8
26880,1.2
26940,0.6
27000,0.6
27060,0.8
27120,0.8
27180,1.4
27240,1.0
27300,1.2
27360,1.6
27420,2.0
27480,1.4
27540,0.2
27600,1.6
27660,1.0
27720,2.6
27780,1.6
27840,1.2
27900,1.6
27960,1.0
28020,1.6
28080,1.0
28140,1.6
28200,1.4
28260,0.6
28320,1.4
28380,1.0
28440,2.0
28500,1.2
28560,0.8
28620,1.2
28680,1.6
28740,0.8
28800,1.8
28860,2.6
28920,1.2
28980,1.6
29040,1.6
29100,1.4
29160,1.4
29220,1.4
29280,1.2
29340,1.6
29400,2.0
29460,1.0
29520,0.8
29580,1.6
29640,1.4
29700,1.6
29760,1.8
29820,1.2
29880,1.2
29940,0.8
30000,1.2
30060,1.2
30120,0.6
30180,1.2
30240,1.4
30300,1.2
30360,0.4
30420,2.0
30480,1.8
30540,2.2
30600,1.2
30660,0.6
30720,1.2
30780,2.6
