#Steps,score
60,1.0
120,1.6
180,1.4
240,1.4
300,1.2
360,2.0
420,0.6
480,0.8
540,1.6
600,1.0
660,0.6
720,1.4
780,0.6
840,1.0
900,0.8
960,1.0
1020,1.4
1080,1.0
1140,0.8
1200,0.6
1260,1.0
1320,1.6
1380,1.0
1440,0.8
1500,0.8
1560,1.8
1620,2.0
1680,1.6
1740,1.6
1800,1.0
1860,1.0
1920,1.4
1980,1.0
2040,0.8
2100,1.0
2160,1.2
2220,1.0
2280,0.8
2340,1.8
2400,1.0
2460,1.0
2520,0.8
2580,0.8
2640,1.0
2700,1.0
2760,0.8
2820,1.4
2880,1.4
2940,1.4
3000,0.6
3060,1.8
3120,2.0
3180,3.0
3240,0.8
3300,1.0
3360,1.6
3420,1.4
3480,1.6
3540,1.8
3600,1.4
3660,1.0
3720,2.4
3780,1.8
3840,1.2
3900,0.6
3960,1.4
4020,3.4
4080,1.6
4140,1.2
4200,1.0
4260,1.0
4320,1.2
4380,2.2
4440,1.8
4500,1.6
4560,2.0
4620,2.2
4680,1.0
4740,0.8
4800,1.2
4860,2.2
4920,1.8
4980,2.4
5040,1.8
5100,1.4
5160,1.4
5220,1.2
5280,2.0
5340,2.2
5400,2.0
5460,1.4
5520,1.4
5580,2.0
5640,3.0
5700,2.4
5760,4.0
5820,3.6
5880,4.2
5940,4.0
6000,5.0
6060,4.8
6120,5.2
6180,7.2
6240,8.2
6300,12.0
6360,13.4
6420,19.2
6480,21.0
6540,17.4
6600,18.8
6660,18.8
6720,18.6
6780,16.8
6840,17.4
6900,17.6
6960,16.0
7020,17.0
7080,18.6
7140,17.4
7200,19.0
7260,18.2
7320,19.0
7380,20.0
7440,20.0
7500,21.2
7560,22.2
7620,21.0
7680,21.6
7740,20.8
7800,22.4
7860,21.8
7920,24.0
7980,23.4
8040,24.8
8100,23.0
8160,24.0
8220,24.4
8280,23.4
8340,22.6
8400,23.6
8460,23.8
8520,23.8
8580,23.0
8640,22.0
8700,25.4
8760,24.2
8820,23.4
8880,23.0
8940,23.4
9000,23.4
9060,21.0
9120,23.0
9180,22.0
9240,23.2
9300,22.0
9360,22.8
9420,21.4
9480,23.0
9540,22.0
9600,22.2
9660,21.8
9720,23.0
9780,21.6
9840,21.2
9900,21.6
9960,21.6
10020,23.2
10080,23.0
10140,23.4
10200,23.6
10260,23.2
10320,25.4
10380,24.0
10440,23.8
10500,22.2
10560,23.2
10620,23.8
10680,24.4
10740,23.2
10800,23.4
10860,23.4
10920,24.6
10980,24.0
11040,22.4
11100,25.0
11160,22.8
11220,23.6
11280,23.6
11340,24.6
11400,24.8
11460,24.6
11520,24.0
11580,23.4
11640,22.4
11700,24.6
11760,23.8
11820,23.0
11880,22.6
11940,22.8
12000,22.4
12060,22.0
12120,23.4
12180,23.0
12240,22.0
12300,23.4
12360,22.2
12420,22.6
12480,23.6
12540,23.0
12600,23.0
12660,24.4
12720,22.8
12780,23.6
12840,22.6
12900,22.8
12960,23.2
13020,22.2
13080,23.0
13140,22.6
13200,23.6
13260,22.8
13320,24.8
13380,25.0
13440,23.4
13500,23.4
13560,24.6
13620,24.4
13680,22.4
13740,24.0
13800,22.8
13860,25.0
13920,22.6
13980,22.0
14040,24.4
14100,24.6
14160,25.0
14220,23.6
14280,22.8
14340,23.2
14400,22.8
14460,22.8
14520,23.2
14580,21.4
14640,24.0
14700,22.2
14760,23.8
14820,23.6
14880,24.6
14940,25.4
15000,23.6
15060,23.8
15120,23.4
15180,22.8
15240,23.6
15300,24.4
15360,24.4
15420,24.8
15480,23.2
15540,24.0
15600,24.0
15660,24.0
15720,25.2
15780,23.4
15840,24.4
15900,23.0
15960,24.8
16020,23.0
16080,23.8
16140,23.8
16200,24.6
16260,24.6
16320,24.0
16380,23.0
16440,24.4
16500,23.2
16560,24.2
16620,23.2
16680,23.8
16740,23.8
16800,25.0
16860,25.2
16920,24.0
16980,24.0
17040,23.6
17100,22.6
17160,22.6
17220,25.0
17280,24.4
17340,24.2
17400,25.0
17460,24.6
17520,23.8
17580,24.4
17640,24.2
17700,23.2
17760,23.6
17820,22.8
17880,24.2
17940,25.4
18000,25.4
18060,24.2
18120,22.6
18180,24.8
18240,23.4
18300,23.2
18360,24.6
18420,23.6
18480,24.4
18540,23.6
18600,24.0
18660,24.4
18720,24.2
18780,23.6
18840,25.6
18900,24.2
18960,24.8
19020,22.6
19080,25.2
19140,23.4
19200,24.8
19260,24.6
19320,26.0
19380,24.6
19440,24.2
19500,24.2
19560,24.4
19620,24.6
19680,22.8
19740,24.6
19800,23.0
19860,23.2
19920,23.6
19980,24.4
20040,23.4
20100,23.2
20160,23.0
20220,24.4
20280,23.2
20340,24.8
20400,24.0
20460,23.8
20520,22.8
20580,23.8
20640,26.8
20700,25.2
20760,23.8
20820,25.2
20880,23.0
20940,24.8
21000,23.4
21060,24.6
21120,25.4
21180,24.2
21240,25.0
21300,23.6
21360,24.0
21420,22.4
21480,23.6
21540,24.6
21600,23.6
21660,24.6
21720,26.4
21780,23.2
21840,24.2
21900,24.4
21960,24.6
22020,22.2
22080,23.4
22140,22.8
22200,23.4
22260,23.8
22320,25.4
22380,23.6
22440,24.4
22500,24.8
