#Steps,score
600,0.6
1200,0.6
1800,1.2
2400,1.8
3000,1.4
3600,1.0
4200,1.2
4800,1.8
5400,3.4
6000,2.0
6600,4.4
7200,3.6
7800,3.6
8400,10.8
9000,22.8
9600,25.0
10200,25.6
10800,25.8
11400,25.4
12000,25.0
12600,25.2
13200,26.0
13800,25.6
14400,25.4
15000,25.0
15600,25.8
16200,27.0
16800,26.0
17400,24.4
18000,25.8
18600,25.0
19200,26.8
19800,25.2
20400,25.4
21000,25.8
21600,25.2
22200,25.4
22800,25.6
23400,25.8
24000,25.0
24600,26.0
25200,26.0
25800,25.0
26400,24.8
27000,26.0
27600,26.4
28200,26.2
28800,25.8
29400,24.4
30000,26.4
30600,25.6
31200,26.6
31800,25.2
32400,25.4
33000,24.4
33600,26.8
34200,26.6
34800,25.4
35400,25.4
36000,24.6
36600,24.4
37200,26.4
37800,26.4
38400,26.0
39000,26.0
39600,26.0
40200,25.6
40800,24.2
41400,25.8
42000,25.6
42600,25.2
43200,25.8
43800,27.4
44400,24.6
45000,25.4
45600,26.6
46200,26.2
46800,25.2
47400,26.4
48000,25.0
48600,24.6
49200,25.8
49800,25.6
50400,24.2
51000,25.8
51600,27.6
52200,26.8
52800,26.4
53400,25.6
54000,25.2
54600,25.4
55200,25.0
55800,26.2
56400,25.4
57000,24.8
57600,27.2
58200,26.6
58800,26.6
59400,25.6
60000,24.8
60600,26.2
61200,25.4
61800,25.0
62400,25.2
63000,24.6
63600,25.4
64200,25.8
64800,25.8
65400,23.8
66000,24.2
66600,26.0
67200,26.0
67800,25.4
68400,25.6
69000,27.2
69600,25.2
70200,26.2
70800,24.0
71400,25.0
72000,25.4
72600,25.2
73200,23.6
73800,25.2
74400,26.0
75000,24.8
75600,26.4
76200,26.0
76800,25.2
77400,25.4
78000,24.8
78600,26.8
79200,25.8
79800,25.4
80400,25.6
81000,25.4
81600,26.0
82200,26.4
82800,25.8
83400,24.8
84000,26.0
84600,25.6
85200,25.0
85800,24.6
86400,25.8
87000,25.2
87600,27.0
88200,25.4
88800,26.0
89400,25.4
90000,25.2
90600,25.8
91200,24.2
91800,26.0
92400,23.8
93000,27.0
93600,24.8
94200,26.4
94800,26.0
95400,26.8
96000,27.6
96600,25.8
97200,27.2
97800,25.2
98400,26.4
99000,27.8
99600,25.4
100200,26.4
100800,27.2
101400,26.4
102000,25.8
102600,27.0
103200,24.8
103800,25.2
104400,25.0
105000,25.8
105600,25.0
106200,27.0
106800,24.2
107400,25.6
108000,25.2
108600,25.0
109200,26.2
109800,26.4
110400,26.4
111000,26.0
111600,26.4
112200,25.4
112800,24.6
113400,26.2
114000,26.6
114600,26.4
115200,26.0
115800,25.0
116400,26.4
117000,26.2
117600,25.6
118200,26.8
118800,25.8
119400,25.8
120000,26.2
