#Steps,score
60,1.6
120,0.6
180,0.6
240,1.6
300,1.4
360,0.4
420,1.0
480,0.6
540,2.0
600,1.4
660,1.8
720,1.0
780,0.8
840,0.4
900,0.6
960,1.0
1020,0.0
1080,0.8
1140,1.2
1200,0.8
1260,0.8
1320,1.0
1380,0.8
1440,1.2
1500,2.0
1560,1.0
1620,0.6
1680,1.6
1740,1.2
1800,0.4
1860,0.8
1920,1.4
1980,0.8
2040,0.8
2100,2.2
2160,1.2
2220,1.4
2280,1.6
2340,1.4
2400,1.0
2460,1.0
2520,1.2
2580,1.2
2640,0.8
2700,0.8
2760,1.4
2820,0.2
2880,1.4
2940,1.2
3000,1.2
3060,1.2
3120,1.6
3180,1.6
3240,1.0
3300,0.4
3360,1.0
3420,1.8
3480,1.0
3540,1.2
3600,1.2
3660,0.8
3720,1.4
3780,2.0
3840,1.0
3900,1.4
3960,1.4
4020,1.0
4080,0.8
4140,1.0
4200,0.8
4260,1.2
4320,0.6
4380,1.0
4440,1.6
4500,1.8
4560,0.6
4620,1.4
4680,2.0
4740,1.8
4800,1.6
4860,1.8
4920,1.2
4980,1.4
5040,1.8
5100,1.2
5160,1.0
5220,1.8
5280,1.2
5340,1.6
5400,1.4
5460,2.2
5520,1.4
5580,0.6
5640,0.6
5700,0.6
5760,0.4
5820,1.2
5880,1.6
5940,1.4
6000,1.0
6060,1.4
6120,2.2
6180,2.0
6240,1.6
6300,1.6
6360,1.0
6420,1.0
6480,1.0
6540,0.6
6600,0.0
6660,1.6
6720,1.2
6780,1.2
6840,2.0
6900,1.0
6960,1.0
7020,1.4
7080,0.8
7140,2.2
7200,1.4
7260,1.0
7320,0.8
7380,0.8
7440,0.8
7500,1.0
7560,1.2
7620,0.6
7680,1.0
7740,1.2
7800,1.0
7860,0.8
7920,1.0
7980,0.8
8040,1.6
8100,1.4
8160,1.6
8220,1.4
8280,1.4
8340,1.2
8400,1.4
8460,1.4
8520,1.2
8580,0.8
8640,1.0
8700,1.0
8760,1.4
8820,1.8
8880,1.4
8940,0.8
9000,1.4
9060,0.6
9120,0.8
9180,0.8
9240,1.4
9300,2.0
9360,1.0
9420,0.8
9480,1.4
9540,1.8
9600,1.6
9660,0.6
9720,1.4
9780,1.2
9840,1.6
9900,0.8
9960,1.0
10020,1.8
10080,1.4
10140,1.2
10200,1.4
10260,0.8
10320,0.0
10380,1.4
10440,1.0
10500,0.8
10560,2.2
10620,1.0
10680,1.2
10740,1.6
10800,2.0
10860,1.4
10920,1.0
10980,2.0
11040,1.2
11100,1.0
11160,1.8
11220,1.6
11280,0.8
11340,1.4
11400,0.8
11460,0.8
11520,0.8
11580,1.6
11640,1.6
11700,1.0
11760,2.6
11820,1.8
11880,1.2
11940,1.2
12000,0.2
12060,2.0
12120,1.0
12180,1.4
12240,1.0
12300,0.2
12360,1.4
12420,0.8
12480,0.6
12540,1.8
12600,1.8
12660,1.4
12720,1.6
12780,0.8
12840,1.2
12900,0.6
12960,2.2
13020,1.2
13080,0.8
13140,0.8
13200,0.8
13260,0.6
13320,2.2
13380,0.4
13440,1.2
13500,1.2
13560,1.0
13620,1.4
13680,1.2
13740,1.6
13800,0.6
13860,2.0
13920,1.0
13980,1.2
14040,1.0
14100,1.4
14160,0.8
14220,2.4
14280,1.0
14340,1.4
14400,1.6
14460,1.0
14520,1.6
14580,1.8
14640,1.0
14700,1.0
14760,1.2
14820,1.6
14880,1.0
14940,1.2
15000,1.6
15060,1.8
15120,1.0
15180,1.2
15240,0.6
15300,1.6
15360,1.6
15420,1.2
15480,1.4
15540,1.2
15600,1.0
15660,1.0
15720,1.4
15780,2.2
15840,2.4
15900,1.0
15960,0.6
16020,1.0
16080,1.4
16140,2.0
16200,1.8
16260,1.2
16320,1.2
16380,0.8
16440,0.6
16500,1.0
16560,1.4
16620,0.8
16680,0.6
16740,0.8
16800,2.2
16860,1.8
16920,1.2
16980,1.8
17040,2.4
17100,1.6
17160,1.2
17220,0.8
17280,1.0
17340,1.0
17400,1.0
17460,1.0
17520,1.0
17580,0.8
17640,1.4
17700,2.0
17760,2.4
17820,1.0
17880,1.0
17940,2.2
18000,1.6
18060,1.6
18120,1.4
18180,1.2
18240,0.6
18300,2.0
18360,1.6
18420,1.4
18480,0.6
18540,1.0
18600,0.8
18660,0.8
18720,1.6
18780,1.6
18840,1.0
18900,1.2
18960,1.0
19020,1.0
19080,2.4
19140,1.6
19200,2.0
19260,1.8
19320,2.0
19380,1.0
19440,1.0
19500,1.4
19560,1.4
19620,1.0
19680,0.8
19740,1.0
19800,0.6
19860,1.4
19920,1.4
19980,2.0
20040,1.8
20100,1.4
20160,1.4
20220,1.0
20280,1.2
20340,1.4
20400,0.4
20460,1.4
20520,1.2
20580,0.8
20640,1.0
20700,1.2
20760,1.4
