#Steps,score
600,1.2
1200,1.2
1800,1.4
2400,1.8
3000,1.2
3600,0.2
4200,1.0
4800,1.2
5400,1.2
6000,2.0
6600,1.4
7200,1.8
7800,2.8
8400,1.2
9000,0.8
9600,1.2
10200,0.8
10800,0.8
11400,1.2
12000,1.4
12600,2.6
13200,1.0
13800,2.0
14400,3.6
15000,1.4
15600,1.2
16200,5.0
16800,15.2
17400,1.2
18000,0.6
18600,0.4
19200,0.8
19800,0.8
20400,1.0
21000,0.4
21600,1.0
22200,1.4
22800,1.6
23400,1.0
24000,2.0
24600,0.6
25200,1.6
25800,2.2
26400,2.0
27000,1.6
27600,1.4
28200,5.2
28800,2.8
29400,22.0
30000,3.6
30600,0.8
31200,1.4
31800,1.4
32400,2.0
33000,1.6
33600,1.8
34200,1.6
34800,1.2
35400,0.6
36000,1.0
36600,0.2
37200,1.2
37800,0.8
38400,0.8
39000,0.8
39600,0.6
40200,0.4
40800,1.6
41400,0.6
42000,1.8
42600,0.8
43200,1.6
43800,0.8
44400,0.2
45000,1.0
45600,1.2
46200,1.8
46800,0.2
47400,0.4
48000,0.6
48600,2.0
49200,0.4
49800,1.2
50400,1.0
51000,1.0
51600,1.0
52200,1.0
52800,0.6
53400,0.4
54000,0.6
54600,0.6
55200,1.4
55800,1.0
56400,0.4
57000,0.6
57600,1.0
58200,0.4
58800,1.4
59400,0.2
60000,1.4
60600,9.6
61200,0.4
61800,1.2
62400,1.0
63000,1.4
63600,0.6
64200,0.2
64800,0.4
65400,0.4
66000,0.4
66600,0.4
67200,2.0
67800,1.6
68400,1.4
69000,1.2
69600,1.0
70200,0.4
70800,2.2
71400,1.8
72000,1.0
72600,2.4
73200,0.6
73800,1.2
74400,0.6
75000,1.8
75600,2.0
76200,1.8
76800,1.6
77400,1.6
78000,1.4
78600,1.8
79200,0.6
79800,1.8
80400,0.4
81000,1.2
81600,1.2
82200,2.4
82800,1.6
83400,1.6
84000,2.8
84600,1.6
85200,2.4
85800,3.0
86400,3.2
87000,5.0
87600,5.6
88200,9.4
88800,21.8
89400,21.6
90000,16.2
90600,24.4
91200,4.6
91800,1.6
92400,0.4
93000,0.8
93600,0.2
94200,1.6
94800,0.6
95400,1.0
96000,0.2
96600,0.8
97200,1.8
97800,1.0
98400,1.6
99000,1.2
99600,1.4
100200,1.8
100800,0.8
101400,1.0
102000,0.2
102600,1.4
103200,1.0
103800,1.2
104400,1.8
105000,1.0
105600,1.6
106200,0.4
106800,1.2
107400,0.6
108000,1.8
108600,1.4
109200,1.6
109800,9.2
110400,18.0
111000,21.6
111600,22.0
112200,25.2
112800,23.8
113400,23.8
114000,24.6
114600,26.4
115200,25.4
115800,26.0
116400,25.8
117000,26.2
117600,25.2
118200,25.0
118800,26.0
119400,24.4
120000,26.2
