#Steps,score
600,1.0
1200,0.8
1800,1.4
2400,0.8
3000,0.8
3600,1.4
4200,1.6
4800,2.0
5400,1.0
6000,7.8
6600,20.2
7200,24.6
7800,22.8
8400,19.8
9000,13.0
9600,24.2
10200,25.2
10800,25.2
11400,26.4
12000,25.2
12600,25.0
13200,26.8
13800,25.2
14400,25.4
15000,24.4
15600,23.4
16200,24.2
16800,25.2
17400,24.4
18000,22.6
18600,24.0
19200,23.0
19800,21.8
20400,23.8
21000,26.4
21600,24.4
22200,24.2
22800,22.8
23400,22.6
24000,23.2
24600,25.2
25200,23.4
25800,24.4
26400,23.2
27000,25.0
27600,23.2
28200,24.2
28800,22.2
29400,22.6
30000,21.0
30600,25.2
31200,24.8
31800,20.6
32400,22.0
33000,23.2
33600,23.2
34200,23.6
34800,23.0
35400,22.6
36000,22.4
36600,22.8
37200,24.8
37800,23.4
38400,24.2
39000,23.4
39600,24.6
40200,22.0
40800,25.2
41400,22.6
42000,23.4
42600,22.4
43200,25.0
43800,22.2
44400,22.0
45000,22.6
45600,23.0
46200,24.4
46800,22.4
47400,23.8
48000,21.8
48600,22.6
49200,22.4
49800,23.6
50400,20.8
51000,16.6
51600,22.6
52200,24.6
52800,24.4
53400,22.6
54000,23.4
54600,22.4
55200,23.2
55800,23.2
56400,23.0
57000,22.4
57600,22.2
58200,21.6
58800,21.2
59400,22.6
60000,22.6
60600,23.8
61200,21.8
61800,23.6
62400,23.8
63000,22.8
63600,23.6
64200,21.2
64800,20.8
65400,22.4
66000,24.0
66600,23.4
67200,24.2
67800,20.0
68400,22.4
69000,22.6
69600,23.8
70200,23.6
70800,24.2
71400,23.8
72000,24.4
72600,23.2
73200,23.4
73800,24.4
74400,25.2
75000,23.0
75600,25.2
76200,24.6
76800,23.6
77400,25.6
78000,23.6
78600,22.8
79200,22.8
79800,21.6
80400,22.4
81000,23.2
81600,23.0
82200,23.0
82800,21.8
83400,23.8
84000,23.2
84600,24.4
85200,21.6
85800,22.6
86400,23.2
87000,23.4
87600,23.2
88200,23.4
88800,24.4
89400,24.6
90000,24.4
90600,21.4
91200,22.2
91800,25.8
92400,24.6
93000,21.2
93600,19.6
94200,21.6
94800,24.6
95400,23.2
96000,23.8
96600,23.6
97200,24.2
97800,25.2
98400,22.8
99000,23.8
99600,24.4
100200,23.2
100800,22.6
101400,24.6
102000,24.2
102600,22.8
103200,23.0
103800,23.6
104400,23.0
105000,22.8
105600,21.0
106200,23.2
106800,24.6
107400,22.4
108000,21.8
108600,21.2
109200,22.6
109800,24.6
110400,23.0
111000,21.0
111600,23.0
112200,23.8
112800,22.2
113400,23.2
114000,22.4
114600,24.0
115200,24.6
115800,23.8
116400,22.2
117000,22.4
117600,22.6
118200,24.0
118800,23.4
119400,24.0
120000,21.8
