#Steps,score
600,1.2
1200,1.8
1800,1.4
2400,1.4
3000,1.2
3600,1.2
4200,0.6
4800,1.8
5400,0.8
6000,1.8
6600,0.8
7200,1.4
7800,1.0
8400,2.0
9000,1.2
9600,1.4
10200,0.8
10800,1.8
11400,1.0
12000,1.4
12600,1.0
13200,1.2
13800,0.4
14400,2.6
15000,2.0
15600,1.6
16200,1.0
16800,0.8
17400,2.8
18000,1.8
18600,0.8
19200,1.6
19800,0.8
20400,1.2
21000,1.8
21600,1.0
22200,1.0
22800,2.0
23400,1.4
24000,1.4
24600,1.8
25200,1.8
25800,1.8
26400,0.6
27000,0.8
27600,2.0
28200,1.8
28800,1.2
29400,1.4
30000,1.4
30600,1.6
31200,1.0
31800,1.8
32400,1.4
33000,1.8
33600,1.4
34200,2.2
34800,1.4
35400,1.2
36000,0.8
36600,2.0
37200,2.0
37800,1.8
38400,0.6
39000,1.6
39600,1.0
40200,1.8
40800,0.8
41400,2.0
42000,1.4
42600,2.0
43200,2.2
43800,0.6
44400,0.6
45000,2.4
45600,1.8
46200,1.8
