#Steps,score
600,1.0
1200,0.6
1800,0.6
2400,1.8
3000,1.4
3600,1.0
4200,2.2
4800,3.6
5400,3.2
6000,4.0
6600,6.0
7200,26.2
7800,23.0
8400,21.6
9000,24.0
9600,24.4
10200,25.6
10800,26.0
11400,27.0
12000,26.6
12600,24.8
13200,25.2
13800,26.6
14400,28.0
15000,24.6
15600,27.0
16200,25.2
16800,25.6
17400,27.4
18000,26.0
18600,27.4
19200,25.2
19800,26.6
20400,25.4
21000,27.2
21600,25.4
22200,27.0
22800,26.4
23400,26.6
24000,26.8
24600,25.6
25200,26.4
25800,25.8
26400,25.4
27000,25.4
27600,25.8
28200,26.4
28800,26.2
29400,25.4
30000,26.0
30600,24.8
31200,26.4
31800,24.8
32400,25.0
33000,25.8
33600,25.8
34200,25.8
34800,26.0
35400,25.4
36000,25.8
36600,25.2
37200,26.2
37800,27.6
38400,25.2
39000,25.4
39600,25.2
40200,26.0
40800,27.2
41400,25.0
42000,25.8
42600,25.0
43200,25.2
43800,25.0
44400,25.2
45000,26.6
45600,25.6
46200,25.2
46800,25.0
47400,25.0
48000,26.2
48600,25.6
49200,24.8
49800,25.4
50400,25.6
51000,26.4
51600,24.6
52200,24.0
52800,25.0
53400,24.6
54000,25.6
54600,26.0
55200,25.4
55800,25.6
56400,24.8
57000,25.2
57600,25.2
58200,25.6
58800,25.6
59400,25.2
60000,24.4
60600,25.4
61200,24.6
61800,26.2
62400,26.4
63000,24.4
63600,27.2
64200,25.4
64800,25.2
65400,25.8
66000,25.4
66600,26.0
67200,26.6
67800,26.8
68400,24.8
69000,25.4
69600,25.6
70200,25.6
70800,26.6
71400,26.6
72000,25.0
72600,25.4
73200,26.6
73800,24.2
74400,25.8
75000,25.4
75600,27.0
76200,25.8
76800,25.6
77400,26.2
78000,25.6
78600,26.2
79200,26.6
79800,26.6
80400,27.0
81000,25.8
81600,24.4
82200,27.0
82800,25.6
83400,25.4
84000,23.4
84600,23.4
85200,24.8
85800,25.2
86400,26.6
87000,27.0
87600,26.2
88200,26.0
88800,26.6
89400,26.4
90000,24.6
90600,26.2
91200,25.0
91800,25.8
92400,24.8
93000,25.6
93600,25.0
94200,25.6
94800,25.0
95400,25.8
96000,25.2
96600,25.4
97200,26.4
97800,26.0
98400,25.0
99000,25.6
99600,25.2
100200,24.6
100800,24.4
101400,26.0
102000,25.0
102600,25.6
103200,26.2
103800,25.6
104400,28.0
105000,26.2
105600,27.8
106200,26.6
106800,26.2
107400,26.8
108000,25.8
108600,23.8
109200,26.8
109800,25.2
110400,25.8
111000,23.6
111600,26.4
112200,25.6
112800,26.4
113400,26.0
114000,25.6
114600,26.2
115200,26.4
115800,26.4
116400,25.2
117000,26.0
117600,26.4
118200,26.6
118800,25.8
119400,26.0
120000,25.6
120600,26.6
121200,23.8
121800,26.6
122400,26.2
123000,25.0
123600,26.4
124200,27.2
124800,24.8
125400,26.8
126000,26.2
126600,25.4
127200,26.8
127800,26.2
128400,26.4
129000,26.4
129600,25.6
130200,23.8
130800,27.6
131400,25.0
132000,26.2
132600,26.6
133200,25.6
133800,26.2
134400,25.6
135000,25.0
135600,26.4
136200,26.0
136800,26.8
137400,25.4
138000,25.2
138600,25.6
139200,27.8
139800,25.2
140400,25.0
141000,24.4
141600,25.2
142200,25.6
142800,25.2
143400,26.2
144000,24.8
144600,26.2
145200,26.6
145800,26.8
146400,25.2
147000,25.2
147600,25.2
148200,27.0
148800,26.4
149400,26.4
150000,26.6
150600,26.4
151200,25.2
151800,26.4
152400,26.2
153000,26.2
153600,25.0
154200,24.2
154800,26.6
155400,26.0
156000,24.6
156600,25.0
157200,25.6
157800,24.2
158400,26.8
159000,25.4
159600,26.2
160200,25.4
160800,25.8
161400,24.6
162000,25.8
162600,25.0
163200,24.0
163800,26.0
164400,25.2
165000,26.4
165600,25.2
166200,25.0
166800,27.2
167400,26.0
168000,25.4
168600,26.4
169200,26.0
169800,26.8
170400,26.4
171000,25.2
171600,26.4
172200,26.2
172800,25.0
173400,25.2
174000,25.0
174600,26.0
175200,25.0
175800,25.4
176400,25.2
177000,26.8
177600,26.0
178200,25.4
178800,25.4
179400,26.2
180000,25.2
180600,26.2
181200,26.4
181800,24.8
182400,25.6
183000,25.6
183600,26.0
184200,25.4
184800,26.8
185400,26.2
186000,25.2
186600,26.2
187200,26.8
187800,25.8
188400,24.8
189000,24.8
189600,26.8
190200,27.0
190800,27.2
191400,27.2
192000,24.8
192600,24.8
193200,26.2
193800,26.6
194400,26.0
195000,27.6
195600,27.4
196200,25.0
196800,26.0
197400,25.8
198000,26.2
198600,27.2
199200,26.8
199800,27.4
200400,26.4
201000,26.2
201600,26.0
202200,25.2
202800,25.0
203400,26.2
204000,26.6
204600,26.4
205200,27.2
205800,27.0
206400,24.4
207000,26.2
207600,26.8
208200,25.8
208800,26.0
209400,25.6
210000,27.0
210600,25.6
211200,25.4
211800,25.0
212400,25.8
213000,27.2
213600,25.6
214200,25.0
214800,25.4
215400,25.6
216000,26.2
216600,25.0
217200,26.4
217800,26.0
218400,23.8
219000,24.6
219600,26.4
220200,25.2
220800,23.8
221400,27.2
222000,25.2
222600,25.0
223200,27.2
223800,25.6
224400,27.6
225000,25.4
225600,24.8
226200,26.2
226800,24.4
227400,25.6
228000,25.4
228600,25.0
229200,25.2
229800,25.8
230400,25.8
231000,24.6
231600,26.0
232200,24.4
232800,25.2
233400,23.4
234000,24.8
234600,24.8
235200,24.6
235800,25.4
236400,25.4
237000,25.6
237600,25.6
238200,26.4
238800,24.6
239400,24.0
240000,26.4
240600,25.0
241200,25.6
241800,24.6
242400,24.2
243000,26.0
243600,23.6
244200,23.8
244800,26.4
245400,25.6
246000,24.4
246600,23.4
247200,24.8
247800,26.6
248400,25.0
249000,26.2
249600,26.0
250200,26.8
250800,26.0
251400,25.4
252000,25.0
252600,26.4
253200,26.4
253800,26.0
254400,25.4
255000,27.0
255600,26.4
256200,25.2
256800,24.4
257400,26.6
258000,25.6
258600,27.0
259200,23.0
259800,25.2
260400,24.2
261000,25.2
261600,25.6
262200,25.4
262800,28.2
263400,25.8
264000,25.0
264600,25.0
265200,25.8
265800,26.6
266400,25.6
267000,25.0
267600,24.6
268200,26.6
268800,26.2
269400,27.6
270000,26.0
270600,24.8
271200,27.6
271800,26.2
272400,25.0
273000,26.0
273600,25.6
274200,26.8
274800,26.8
275400,26.8
276000,25.2
276600,25.8
277200,26.6
277800,25.0
278400,25.4
279000,25.6
279600,24.8
280200,24.8
280800,25.2
281400,24.0
282000,25.6
282600,26.6
283200,24.8
283800,26.2
284400,26.8
285000,25.0
285600,24.4
286200,27.0
286800,26.0
287400,25.8
288000,26.8
288600,25.6
289200,26.2
289800,27.2
290400,25.6
291000,25.4
291600,26.6
292200,27.8
292800,26.0
293400,25.2
294000,24.2
294600,24.2
295200,25.6
295800,24.2
296400,25.8
297000,26.2
297600,25.8
298200,25.0
298800,24.8
299400,26.4
300000,25.8
300600,27.2
301200,26.6
301800,27.8
302400,26.0
303000,25.8
303600,25.0
304200,26.8
304800,26.0
305400,25.6
306000,26.2
306600,26.0
307200,26.4
307800,26.2
308400,25.4
309000,26.0
309600,25.6
310200,25.4
310800,25.8
311400,24.4
312000,25.8
312600,24.4
313200,27.8
313800,26.0
314400,26.0
315000,26.6
315600,27.2
316200,25.6
316800,25.0
317400,25.8
318000,25.0
318600,26.4
319200,26.6
319800,25.2
320400,25.2
321000,24.4
321600,24.8
322200,25.0
322800,25.4
323400,26.0
324000,26.8
324600,29.0
325200,25.2
325800,25.2
326400,24.6
327000,25.6
327600,26.4
328200,25.2
328800,25.2
329400,26.4
330000,26.8
330600,24.6
331200,26.4
331800,24.8
332400,24.2
333000,26.6
333600,27.0
334200,26.0
334800,25.6
335400,24.6
336000,27.4
336600,24.8
337200,25.4
337800,27.2
338400,25.8
339000,26.4
339600,25.6
340200,25.4
340800,26.6
341400,25.2
342000,26.0
342600,26.4
343200,25.8
343800,24.6
344400,25.0
345000,25.8
345600,25.0
346200,25.8
346800,25.2
347400,26.0
348000,24.8
348600,25.6
349200,26.2
349800,26.0
350400,25.4
351000,26.0
351600,25.0
352200,25.0
352800,24.6
353400,25.8
354000,24.6
354600,26.2
355200,26.2
355800,25.8
356400,26.2
357000,26.0
357600,25.8
358200,26.0
358800,24.4
359400,24.8
360000,25.2
