#Steps,score
60,0.4
120,0.6
180,0.6
240,1.8
300,2.0
360,1.8
420,0.8
480,1.4
540,1.8
600,0.6
660,1.0
720,1.4
780,0.4
840,0.8
900,1.0
960,1.0
1020,0.4
1080,1.2
1140,1.4
1200,1.6
1260,1.2
1320,1.0
1380,1.0
1440,1.2
1500,2.0
1560,1.2
1620,1.4
1680,1.6
1740,1.8
1800,0.6
1860,0.6
1920,0.6
1980,1.0
2040,1.2
2100,1.6
2160,2.0
2220,0.6
2280,1.0
2340,1.8
2400,1.8
2460,1.8
2520,1.0
2580,1.0
2640,1.8
2700,1.6
2760,1.2
2820,1.0
2880,0.8
2940,2.4
3000,0.8
3060,1.6
3120,1.0
3180,1.4
3240,1.6
3300,1.2
3360,1.6
3420,1.8
3480,1.4
3540,1.6
3600,1.6
3660,1.6
3720,1.0
3780,1.4
3840,1.2
3900,1.4
3960,1.8
4020,0.8
4080,1.8
4140,0.4
4200,1.2
4260,1.0
4320,1.2
4380,0.6
4440,1.6
4500,0.6
4560,0.8
4620,1.2
4680,0.4
4740,0.8
4800,1.2
4860,2.2
4920,1.2
4980,1.8
5040,1.8
5100,0.4
5160,1.2
5220,1.8
5280,2.4
5340,0.6
5400,0.8
5460,1.0
5520,1.8
5580,1.6
5640,2.0
5700,0.8
5760,1.0
5820,1.2
5880,0.6
5940,0.8
6000,1.6
6060,1.8
6120,1.0
6180,1.6
6240,1.4
6300,1.4
6360,1.6
6420,0.4
6480,1.6
6540,0.4
6600,1.0
6660,1.2
6720,1.6
6780,1.4
6840,1.6
6900,1.6
6960,1.4
7020,0.8
7080,1.0
7140,0.8
7200,1.0
7260,0.4
7320,0.2
7380,1.8
7440,0.8
7500,1.2
7560,1.4
7620,1.0
7680,2.2
7740,1.6
7800,1.4
7860,1.4
7920,2.2
7980,2.0
8040,1.0
8100,2.2
8160,2.0
8220,0.8
8280,0.8
8340,2.0
8400,2.4
8460,1.2
8520,1.4
8580,1.2
8640,1.0
8700,1.6
8760,1.0
8820,1.8
8880,1.4
8940,1.4
9000,0.8
9060,1.4
9120,2.6
9180,1.8
9240,1.2
9300,1.2
9360,2.2
9420,1.8
9480,1.2
9540,1.2
9600,2.0
9660,1.0
9720,1.4
9780,0.6
9840,1.4
9900,0.8
9960,0.6
10020,2.4
10080,1.0
10140,1.8
10200,1.8
10260,2.0
10320,1.6
10380,1.2
10440,1.6
10500,2.4
10560,1.0
10620,0.8
10680,1.6
10740,2.6
10800,2.4
10860,0.4
10920,2.4
10980,2.0
11040,2.0
11100,1.0
11160,0.8
11220,1.8
11280,2.6
11340,1.8
11400,1.8
11460,1.8
11520,0.8
11580,1.8
11640,2.2
11700,1.6
11760,1.0
11820,2.2
11880,1.2
11940,1.8
12000,1.4
12060,1.0
12120,1.8
12180,0.6
12240,0.4
12300,2.2
12360,1.4
12420,1.6
12480,0.4
12540,3.0
12600,1.8
12660,1.8
12720,1.6
12780,1.6
12840,1.2
12900,1.4
12960,1.6
13020,0.6
13080,2.2
13140,0.6
13200,2.4
13260,1.6
13320,2.2
13380,1.8
13440,2.2
13500,1.4
13560,1.0
13620,2.2
13680,2.2
13740,1.8
13800,2.0
13860,1.4
13920,2.8
13980,2.0
14040,2.2
14100,0.6
14160,2.0
14220,1.2
14280,2.2
14340,1.8
14400,1.6
14460,2.6
14520,2.0
14580,1.8
14640,2.0
14700,2.4
14760,2.4
14820,2.6
14880,3.2
14940,2.4
15000,3.0
