#Steps,score
60,0.8
120,1.2
180,1.4
240,1.4
300,0.8
360,0.4
420,2.2
480,1.0
540,1.0
600,0.8
660,0.8
720,1.2
780,0.6
840,1.0
900,0.8
960,1.2
1020,0.6
1080,1.6
1140,0.8
1200,1.2
1260,1.0
1320,0.4
1380,1.2
1440,0.4
1500,1.0
1560,1.6
1620,1.8
1680,2.2
1740,1.0
1800,0.8
1860,0.8
1920,0.6
1980,1.2
2040,0.4
2100,1.2
2160,1.0
2220,1.4
2280,0.8
2340,2.0
2400,0.4
2460,0.8
2520,0.8
2580,1.2
2640,1.0
2700,1.6
2760,1.2
2820,1.8
2880,1.0
2940,1.6
3000,1.0
3060,0.8
3120,1.4
3180,1.8
3240,1.4
3300,1.2
3360,1.2
3420,0.6
3480,1.2
3540,1.8
3600,0.8
3660,1.8
3720,1.6
3780,1.0
3840,2.2
3900,0.6
3960,1.2
4020,1.6
4080,1.4
4140,2.4
4200,0.6
4260,1.2
4320,1.2
4380,0.8
4440,1.6
4500,1.6
4560,0.8
4620,1.2
4680,1.0
4740,0.8
4800,1.4
4860,1.6
4920,1.8
4980,1.8
5040,1.6
5100,0.8
5160,1.4
5220,1.0
5280,1.8
5340,0.8
5400,1.0
5460,2.0
5520,1.6
5580,1.2
5640,2.0
5700,2.0
5760,0.2
5820,1.2
5880,1.6
5940,1.4
6000,1.8
6060,1.8
6120,1.4
6180,1.8
6240,1.0
6300,1.2
6360,1.8
6420,1.0
6480,0.8
6540,1.8
6600,1.0
6660,0.8
6720,1.4
6780,1.0
6840,0.8
6900,1.8
6960,0.8
7020,0.8
7080,1.4
7140,1.6
7200,1.2
7260,1.4
7320,1.6
7380,0.6
7440,1.6
7500,0.8
7560,2.2
7620,1.4
7680,1.8
7740,1.8
7800,1.2
7860,1.6
7920,0.4
7980,1.0
8040,1.2
8100,0.8
8160,1.4
8220,1.4
8280,0.6
8340,1.6
8400,0.6
8460,1.2
8520,1.4
8580,1.0
8640,1.6
8700,1.2
8760,1.6
8820,0.6
8880,0.8
8940,1.4
9000,1.4
9060,0.8
9120,1.2
9180,1.6
9240,1.8
9300,1.6
9360,1.4
9420,0.8
9480,1.6
9540,1.6
9600,1.8
9660,1.0
9720,1.0
9780,1.2
9840,1.6
9900,1.0
9960,1.8
10020,1.0
10080,1.0
10140,1.8
10200,1.8
10260,2.0
10320,1.2
10380,1.0
10440,0.8
10500,2.0
10560,1.2
10620,0.2
10680,2.0
10740,1.8
10800,1.2
10860,1.0
10920,0.4
10980,1.2
11040,1.8
11100,1.2
11160,1.0
11220,2.0
11280,1.0
11340,1.4
11400,2.2
11460,1.0
11520,0.6
11580,1.6
11640,1.2
11700,2.2
11760,1.2
11820,2.4
11880,1.2
11940,1.0
12000,2.4
12060,3.0
12120,2.0
12180,1.6
12240,1.4
12300,2.4
12360,2.0
12420,0.8
12480,1.8
12540,2.6
12600,1.0
12660,2.0
12720,2.2
12780,1.0
12840,1.6
12900,2.0
12960,2.4
13020,2.8
13080,2.0
13140,1.8
13200,2.0
13260,0.8
13320,1.2
13380,1.6
13440,0.6
13500,0.8
13560,1.0
13620,1.4
13680,1.0
13740,1.4
13800,1.6
13860,2.4
13920,1.0
13980,1.4
14040,0.8
14100,1.4
14160,2.4
14220,1.4
14280,1.6
14340,1.2
14400,0.6
14460,1.8
14520,1.2
14580,1.6
14640,0.8
14700,2.0
14760,1.4
14820,1.8
14880,1.2
14940,2.0
15000,1.0
15060,1.6
15120,1.0
15180,2.2
15240,1.6
15300,0.6
15360,1.0
15420,3.0
15480,1.2
15540,1.8
15600,1.8
15660,1.4
15720,1.4
15780,1.6
15840,1.8
15900,1.4
15960,1.0
16020,1.2
16080,1.4
16140,2.4
16200,1.6
16260,0.6
16320,2.2
16380,0.8
16440,1.8
16500,1.8
