#Steps,score
60,1.0
120,0.8
180,1.0
240,1.0
300,1.6
360,0.8
420,1.4
480,0.8
540,0.6
600,1.2
660,0.8
720,1.2
780,1.6
840,1.2
900,1.2
960,2.2
1020,1.4
1080,1.8
1140,1.0
1200,1.4
1260,1.4
1320,1.2
1380,1.4
1440,1.0
1500,2.0
1560,1.2
1620,1.6
1680,2.0
1740,0.8
1800,1.4
1860,0.8
1920,2.2
1980,1.6
2040,1.6
2100,1.0
2160,1.8
2220,1.0
2280,0.8
2340,1.4
2400,2.0
2460,1.2
2520,2.6
2580,0.8
2640,1.6
2700,1.8
2760,1.4
2820,1.2
2880,1.8
2940,1.0
3000,1.4
3060,0.8
3120,1.8
3180,1.2
3240,2.6
3300,1.2
3360,1.4
3420,1.8
3480,1.8
3540,2.4
3600,1.4
3660,1.2
3720,0.8
3780,1.4
3840,2.8
3900,1.0
3960,2.2
4020,1.4
4080,1.8
4140,1.6
4200,3.0
4260,1.6
4320,1.6
4380,2.0
4440,1.8
4500,1.0
4560,1.8
4620,2.0
4680,1.6
4740,2.2
4800,3.2
4860,2.2
4920,2.6
4980,2.4
5040,3.2
5100,3.2
5160,2.8
5220,3.2
5280,3.0
5340,3.2
5400,4.6
5460,3.2
5520,2.8
5580,3.2
5640,5.0
5700,3.2
5760,4.6
5820,5.6
5880,6.6
5940,7.2
6000,6.6
6060,6.0
6120,6.2
6180,9.8
6240,13.4
6300,13.0
6360,15.6
6420,17.4
6480,17.4
6540,16.4
6600,15.4
6660,17.4
6720,18.6
6780,21.2
6840,20.8
6900,19.2
6960,21.6
7020,20.4
7080,20.8
7140,21.4
7200,19.8
7260,23.0
7320,21.4
7380,23.2
7440,21.6
7500,22.4
7560,22.2
7620,21.6
7680,21.6
7740,22.8
7800,21.2
7860,21.4
7920,23.2
7980,22.6
8040,23.2
8100,23.4
8160,22.2
8220,23.2
8280,23.8
8340,23.4
8400,21.8
8460,22.2
8520,22.0
8580,21.6
8640,21.4
8700,22.4
8760,22.8
8820,22.6
8880,23.8
8940,23.0
9000,23.2
9060,23.2
9120,24.2
9180,22.2
9240,22.8
9300,23.8
9360,23.2
9420,23.2
9480,24.0
9540,22.8
9600,22.6
9660,23.8
9720,23.0
9780,22.2
9840,22.8
9900,24.0
9960,25.2
10020,23.6
10080,23.0
10140,23.8
10200,23.0
10260,23.6
10320,22.8
10380,24.0
10440,22.8
10500,23.2
10560,24.6
10620,23.2
10680,24.4
10740,22.2
10800,23.0
10860,23.6
10920,22.0
10980,25.2
11040,23.0
11100,25.2
11160,24.2
11220,22.2
11280,23.4
11340,23.4
11400,25.4
11460,22.8
11520,23.2
11580,23.4
11640,23.0
11700,23.0
11760,23.2
11820,22.6
11880,23.6
11940,25.0
12000,23.0
12060,23.2
12120,22.6
12180,23.8
12240,23.0
12300,23.4
12360,23.8
12420,23.6
12480,23.2
12540,23.6
12600,24.2
12660,22.0
12720,23.2
12780,23.0
12840,24.8
12900,24.2
12960,21.8
13020,23.2
13080,22.8
13140,22.2
13200,22.6
13260,23.0
13320,23.6
13380,23.6
13440,22.8
13500,24.2
13560,23.8
13620,23.4
13680,24.4
13740,22.6
13800,23.2
13860,24.2
13920,23.2
13980,23.0
14040,24.8
14100,24.4
14160,23.2
14220,24.4
14280,23.6
14340,24.8
14400,23.4
14460,23.4
14520,23.2
14580,22.8
14640,23.4
14700,24.4
14760,24.0
14820,23.8
14880,22.8
14940,23.6
15000,24.4
15060,23.6
15120,24.0
15180,23.2
15240,23.4
15300,23.4
15360,25.2
15420,24.4
15480,24.4
15540,24.2
15600,24.2
15660,21.8
15720,24.0
15780,24.4
15840,23.8
15900,24.8
15960,22.4
16020,23.2
16080,23.8
16140,23.8
16200,23.0
16260,24.0
16320,24.0
16380,22.6
16440,22.6
16500,23.8
16560,23.0
16620,24.6
16680,22.8
16740,22.8
16800,23.2
16860,22.8
16920,23.8
16980,23.6
17040,24.4
17100,23.8
17160,23.2
17220,25.2
17280,23.8
17340,24.6
17400,24.6
17460,22.8
17520,20.6
17580,24.4
17640,24.6
17700,25.2
17760,22.8
17820,24.0
17880,24.2
17940,23.2
18000,24.2
18060,23.6
18120,23.6
18180,24.0
18240,25.0
18300,24.2
18360,23.8
18420,23.6
18480,26.2
18540,23.8
18600,24.6
18660,22.2
18720,22.8
18780,24.8
18840,24.6
18900,24.2
18960,25.0
19020,24.0
19080,25.6
19140,23.8
19200,23.8
19260,23.8
19320,24.6
19380,24.2
19440,24.4
19500,24.6
19560,24.2
19620,23.6
19680,24.8
19740,24.0
19800,24.0
19860,24.6
19920,24.6
19980,22.2
20040,22.0
20100,24.0
20160,24.4
20220,24.0
20280,23.0
20340,24.6
20400,24.0
20460,25.2
20520,24.2
20580,23.4
20640,23.6
20700,24.6
20760,24.2
20820,24.4
20880,23.0
20940,24.2
21000,24.6
21060,23.4
21120,23.6
21180,24.4
21240,23.8
21300,24.8
21360,24.0
21420,24.8
21480,24.2
21540,23.6
21600,23.2
21660,23.8
21720,24.8
21780,24.4
21840,24.8
21900,24.6
21960,26.0
22020,23.6
22080,24.4
22140,24.2
22200,25.0
22260,23.0
22320,24.0
22380,22.8
22440,26.0
22500,25.0
