#Steps,score
60,0.2
120,0.8
180,0.8
240,2.0
300,0.8
360,1.4
420,1.6
480,0.6
540,1.0
600,1.8
660,1.2
720,0.8
780,1.0
840,0.2
900,1.2
960,1.0
1020,0.8
1080,0.8
1140,1.8
1200,0.6
1260,1.4
1320,1.8
1380,1.0
1440,0.8
1500,0.4
1560,1.2
1620,0.6
1680,0.6
1740,0.6
1800,1.8
1860,1.2
1920,1.2
1980,0.8
2040,1.8
2100,2.4
2160,1.2
2220,0.6
2280,0.8
2340,0.8
2400,0.8
2460,1.0
2520,0.8
2580,1.0
2640,0.6
2700,1.0
2760,0.8
2820,1.0
2880,0.4
2940,1.0
3000,1.4
3060,1.4
3120,1.8
3180,0.6
3240,2.2
3300,1.2
3360,0.8
3420,0.8
3480,0.8
3540,1.6
3600,0.8
3660,1.2
3720,1.0
3780,0.8
3840,0.8
3900,0.8
3960,1.6
4020,1.0
4080,0.6
4140,0.4
4200,1.2
4260,1.2
4320,1.4
4380,1.8
4440,0.8
4500,0.8
4560,0.8
4620,0.6
4680,1.4
4740,0.6
4800,1.2
4860,1.0
4920,1.6
4980,1.8
5040,1.6
5100,0.6
5160,1.2
5220,1.8
5280,1.2
5340,0.8
5400,1.0
5460,1.2
5520,0.6
5580,1.0
5640,0.4
5700,1.0
5760,0.6
5820,1.8
5880,2.4
5940,1.0
6000,0.8
6060,1.4
6120,1.2
6180,1.6
6240,0.6
6300,1.8
6360,1.0
6420,1.2
6480,0.6
6540,1.4
6600,1.0
6660,0.8
6720,1.4
6780,1.0
6840,0.8
6900,1.4
6960,1.2
7020,1.8
7080,1.4
7140,1.4
7200,1.6
7260,1.4
7320,1.2
7380,1.8
7440,1.8
7500,1.2
7560,1.0
7620,0.8
7680,1.2
7740,0.8
7800,1.2
7860,1.6
7920,1.2
7980,1.0
8040,1.4
8100,1.4
8160,1.2
8220,1.4
8280,1.2
8340,1.6
8400,0.0
8460,1.6
8520,1.0
8580,1.6
8640,1.0
8700,1.0
8760,1.8
8820,1.0
8880,0.8
8940,1.0
9000,1.4
9060,0.8
9120,1.0
9180,1.4
9240,1.0
9300,1.2
9360,1.4
9420,1.4
9480,1.2
9540,1.2
9600,1.2
9660,0.8
9720,1.0
9780,1.0
9840,1.2
9900,2.0
9960,1.2
10020,1.4
10080,1.2
10140,1.8
10200,2.0
10260,1.8
10320,1.2
10380,1.6
10440,0.8
10500,0.6
10560,1.4
10620,1.8
10680,2.0
10740,1.6
10800,1.2
10860,0.8
10920,1.8
10980,1.0
11040,1.0
11100,1.0
11160,0.8
11220,0.8
11280,2.2
11340,1.0
11400,1.0
11460,0.4
11520,0.6
11580,1.4
11640,1.8
11700,1.8
11760,1.4
11820,1.2
11880,1.4
11940,2.2
12000,1.2
12060,1.4
12120,1.8
12180,1.0
12240,1.0
12300,1.6
12360,1.8
