#Steps,score
60,0.8
120,1.4
180,2.2
240,1.4
300,1.8
360,1.4
420,1.2
480,0.8
540,1.6
600,0.6
660,1.6
720,0.6
780,0.8
840,1.2
900,0.6
960,0.4
1020,1.6
1080,1.6
1140,1.0
1200,1.4
1260,0.8
1320,2.6
1380,1.4
1440,0.6
1500,1.0
1560,1.8
1620,0.6
1680,1.4
1740,1.6
1800,0.8
1860,0.6
1920,0.8
1980,1.8
2040,0.8
2100,1.8
2160,0.8
2220,0.8
2280,0.8
2340,1.6
2400,1.0
2460,2.0
2520,0.4
2580,1.6
2640,2.4
2700,1.8
2760,1.6
2820,0.8
2880,1.6
2940,0.6
3000,0.6
3060,1.2
3120,1.8
3180,1.8
3240,1.4
3300,1.4
3360,0.8
3420,0.4
3480,1.4
3540,0.8
3600,1.4
3660,1.0
3720,1.0
3780,1.6
3840,1.4
3900,0.4
3960,1.2
4020,0.8
4080,1.0
4140,1.8
4200,1.4
4260,0.2
4320,1.2
4380,2.0
4440,0.6
4500,1.0
4560,0.6
4620,1.8
4680,2.4
4740,1.8
4800,1.4
4860,1.0
4920,1.6
4980,0.4
5040,0.8
5100,1.0
5160,1.4
5220,2.2
5280,1.6
5340,1.0
5400,1.6
5460,1.6
5520,0.4
5580,1.4
5640,1.2
5700,1.6
5760,0.8
5820,1.6
5880,0.8
5940,2.0
6000,0.6
6060,1.4
6120,1.6
6180,1.6
6240,1.4
6300,1.4
6360,2.0
6420,1.2
6480,0.6
6540,1.6
6600,1.6
6660,2.6
6720,0.2
6780,1.6
6840,1.0
6900,2.0
6960,1.2
7020,1.0
7080,1.4
7140,1.8
7200,0.4
7260,2.4
7320,1.4
7380,0.4
7440,2.2
7500,1.0
7560,0.6
7620,1.4
7680,0.8
7740,2.2
7800,1.6
7860,2.4
7920,0.8
7980,1.4
8040,0.8
8100,1.8
8160,1.4
8220,1.2
8280,0.8
8340,1.0
8400,1.8
8460,1.8
8520,1.2
8580,2.0
8640,1.8
8700,1.4
8760,1.0
8820,0.8
