#Steps,score
60,0.4
120,0.6
180,1.2
240,1.0
300,1.4
360,1.0
420,1.4
480,1.2
540,1.4
600,1.4
660,1.4
720,2.4
780,0.4
840,1.6
900,1.4
960,2.0
1020,1.6
1080,1.2
1140,1.4
1200,0.8
1260,1.0
1320,0.2
1380,1.0
1440,1.0
1500,0.4
1560,1.6
1620,1.8
1680,0.8
1740,1.6
1800,0.4
1860,0.6
1920,1.4
1980,0.2
2040,0.4
2100,0.6
2160,1.2
2220,1.4
2280,1.6
2340,1.6
2400,0.6
2460,1.4
2520,1.4
2580,1.8
2640,1.2
2700,0.8
2760,1.8
2820,1.0
2880,1.4
2940,0.6
3000,2.2
3060,0.2
3120,1.6
3180,0.8
3240,1.2
3300,0.8
3360,1.8
3420,1.2
3480,1.6
3540,1.4
3600,1.4
3660,1.4
3720,1.0
3780,1.4
3840,0.4
3900,1.4
3960,0.6
4020,0.6
4080,1.6
4140,1.6
4200,1.0
4260,1.8
4320,2.0
4380,1.6
4440,1.0
4500,1.2
4560,1.4
4620,1.2
4680,1.0
4740,1.6
4800,2.2
4860,1.8
4920,1.0
4980,1.0
5040,0.4
5100,1.0
5160,1.6
5220,0.6
5280,1.8
5340,1.8
5400,1.0
5460,1.8
5520,1.0
5580,2.0
5640,0.8
5700,2.4
5760,0.8
5820,1.0
5880,1.0
5940,1.8
6000,0.4
6060,1.4
6120,1.4
6180,1.8
6240,0.8
6300,1.2
6360,2.2
6420,1.0
6480,1.0
6540,1.2
6600,1.4
6660,1.2
6720,0.8
6780,1.2
6840,1.4
6900,1.2
6960,1.2
7020,1.0
7080,1.2
7140,0.8
7200,0.4
7260,1.6
7320,2.2
7380,1.6
7440,1.6
7500,1.0
7560,1.0
7620,0.8
7680,1.6
7740,1.4
7800,1.2
7860,0.8
7920,0.8
7980,1.4
8040,1.6
8100,1.2
8160,0.6
8220,2.2
8280,0.6
8340,1.0
8400,0.8
8460,1.0
8520,2.0
8580,1.4
8640,1.6
8700,1.2
8760,1.4
8820,1.4
8880,1.2
8940,1.4
9000,1.8
9060,1.0
9120,1.2
9180,0.6
9240,1.2
9300,1.2
9360,0.8
9420,1.2
9480,1.0
9540,1.2
9600,1.0
9660,1.4
9720,1.6
9780,0.8
9840,1.0
9900,0.8
9960,2.0
10020,1.4
10080,2.2
10140,1.4
10200,1.0
10260,1.4
10320,1.0
10380,0.6
10440,0.8
10500,1.4
10560,1.2
10620,0.4
10680,1.4
10740,1.6
10800,2.2
10860,1.0
10920,3.4
10980,1.4
11040,2.0
11100,1.4
11160,1.4
11220,2.6
11280,1.0
11340,1.2
11400,1.4
11460,0.8
11520,0.6
11580,1.0
11640,1.2
11700,1.4
11760,1.8
11820,1.2
11880,0.2
11940,0.4
12000,1.6
12060,1.8
12120,2.2
12180,0.6
12240,1.6
12300,2.6
12360,1.6
12420,1.2
12480,0.8
12540,1.0
12600,1.2
12660,0.8
12720,1.0
12780,1.4
12840,1.4
12900,1.4
12960,2.2
13020,1.4
13080,1.2
13140,1.2
13200,1.0
13260,1.2
13320,1.6
13380,1.4
13440,1.0
13500,1.0
13560,1.8
13620,0.4
13680,0.8
13740,1.8
13800,1.4
13860,1.6
13920,1.4
13980,0.6
14040,0.8
14100,1.0
14160,1.8
14220,3.2
14280,1.6
14340,1.4
14400,1.6
14460,1.0
14520,1.6
14580,1.8
14640,2.0
14700,1.0
14760,1.6
14820,1.8
14880,0.6
14940,1.8
15000,0.8
