#Steps,score
600,1.2
1200,1.0
1800,1.0
2400,1.8
3000,1.6
3600,1.0
4200,0.8
4800,1.0
5400,1.4
6000,1.2
6600,2.0
7200,1.0
7800,2.0
8400,0.8
9000,2.0
9600,1.4
10200,1.2
10800,0.6
11400,1.2
12000,0.8
12600,0.8
13200,1.0
13800,0.4
14400,0.6
15000,0.8
15600,1.4
16200,1.6
16800,0.6
17400,0.6
18000,1.8
18600,1.8
19200,0.8
19800,1.2
20400,1.6
21000,0.8
21600,1.0
22200,1.0
22800,1.2
23400,0.8
24000,1.8
24600,2.0
25200,1.0
25800,1.2
26400,1.6
27000,0.8
27600,1.6
28200,1.4
28800,0.8
29400,1.2
30000,1.0
30600,2.2
31200,0.4
31800,0.6
32400,2.0
33000,1.0
33600,1.2
34200,1.0
34800,2.4
35400,1.0
36000,1.2
36600,1.2
37200,1.2
37800,1.8
38400,1.4
39000,0.6
39600,0.8
40200,1.2
40800,1.8
41400,0.6
42000,1.4
42600,0.8
43200,0.6
43800,1.2
44400,1.4
45000,1.4
45600,1.8
46200,1.2
46800,0.8
47400,1.0
48000,1.2
48600,1.6
49200,1.2
49800,1.8
50400,1.6
51000,1.0
51600,0.6
52200,1.8
52800,1.0
53400,1.0
54000,0.8
54600,0.6
55200,1.0
55800,0.8
56400,1.2
57000,2.0
57600,1.0
58200,1.6
58800,1.6
59400,0.6
60000,1.4
60600,0.4
61200,0.8
61800,1.4
62400,1.4
63000,1.4
63600,0.6
64200,1.0
64800,1.0
65400,1.2
66000,1.2
66600,1.2
67200,1.4
67800,0.8
68400,1.8
69000,1.0
69600,1.6
70200,1.6
70800,1.0
71400,1.0
72000,1.0
72600,0.6
73200,1.0
73800,0.6
74400,1.2
75000,1.4
75600,2.2
76200,0.8
76800,1.6
77400,1.4
78000,0.8
78600,2.0
79200,1.4
79800,0.6
80400,1.6
81000,0.8
81600,1.2
82200,1.0
82800,0.8
83400,1.6
84000,2.2
84600,1.4
85200,1.0
85800,1.0
86400,2.4
87000,0.8
87600,0.6
88200,2.2
88800,0.4
89400,2.6
90000,1.8
90600,1.2
91200,1.4
91800,1.2
92400,1.8
93000,2.2
93600,1.6
94200,1.0
94800,1.4
95400,0.6
96000,1.2
96600,1.8
97200,3.0
97800,1.4
98400,1.4
99000,2.2
99600,1.0
100200,1.8
100800,1.2
101400,1.6
102000,1.0
102600,0.2
103200,1.6
103800,1.2
104400,1.6
105000,1.8
105600,1.6
106200,2.0
106800,1.2
107400,2.8
108000,2.0
108600,0.8
109200,1.0
109800,1.0
110400,1.6
111000,1.8
111600,1.6
112200,0.8
112800,1.0
113400,1.2
114000,1.0
114600,1.2
115200,2.4
115800,2.4
116400,1.0
117000,1.6
117600,0.2
118200,1.2
118800,1.2
119400,1.8
120000,1.0
